th,date_time,origin
 5.7800,2022-12-01 00:00:00,H
     NA,2022-12-01 01:00:00,H
 5.6950,2022-12-01 02:00:00,H
 5.3707,2022-12-01 03:00:00,H
 4.7532,2022-12-01 04:00:00,H
 4.4773,2022-12-01 05:00:00,H
 4.2520,2022-12-01 06:00:00,H
 4.2520,2022-12-01 07:00:00,H
 4.2520,2022-12-01 08:00:00,H
 4.4600,2022-12-01 09:00:00,H
 4.5982,2022-12-01 10:00:00,H
 4.5983,2022-12-01 11:00:00,H
 4.7528,2022-12-01 12:00:00,H
 4.8047,2022-12-01 13:00:00,H
 4.9255,2022-12-01 14:00:00,H
 4.4078,2022-12-01 15:00:00,H
 4.0440,2022-12-01 16:00:00,H
 3.8528,2022-12-01 17:00:00,H
 3.6435,2022-12-01 18:00:00,H
 3.4860,2022-12-01 19:00:00,H
     NA,2022-12-01 20:00:00,H
 3.3110,2022-12-01 21:00:00,H
     NA,2022-12-01 22:00:00,H
     NA,2022-12-01 23:00:00,H
     NA,2022-12-02 00:00:00,H
 3.2050,2022-12-02 01:00:00,H
     NA,2022-12-02 02:00:00,H
 3.1525,2022-12-02 03:00:00,H
 3.1350,2022-12-02 04:00:00,H
 3.1525,2022-12-02 05:00:00,H
 3.2757,2022-12-02 06:00:00,H
 3.2757,2022-12-02 07:00:00,H
 3.4160,2022-12-02 08:00:00,H
 3.5385,2022-12-02 09:00:00,H
 3.7830,2022-12-02 10:00:00,H
 3.9573,2022-12-02 11:00:00,H
 3.9573,2022-12-02 12:00:00,H
 3.9048,2022-12-02 13:00:00,H
 4.0613,2022-12-02 14:00:00,H
 4.3387,2022-12-02 15:00:00,H
 4.1653,2022-12-02 16:00:00,H
 3.9920,2022-12-02 17:00:00,H
 3.8353,2022-12-02 18:00:00,H
 3.6960,2022-12-02 19:00:00,H
     NA,2022-12-02 20:00:00,H
 3.4510,2022-12-02 21:00:00,H
 3.5385,2022-12-02 22:00:00,H
 3.4160,2022-12-02 23:00:00,H
 2.6035,2022-12-03 00:00:00,H
 1.7488,2022-12-03 01:00:00,H
 1.8923,2022-12-03 02:00:00,H
 1.4610,2022-12-03 03:00:00,H
 1.6410,2022-12-03 04:00:00,H
 1.9102,2022-12-03 05:00:00,H
 1.6770,2022-12-03 06:00:00,H
 1.8207,2022-12-03 07:00:00,H
 1.8923,2022-12-03 08:00:00,H
 2.1072,2022-12-03 09:00:00,H
 2.3390,2022-12-03 10:00:00,H
 2.5165,2022-12-03 11:00:00,H
 2.8703,2022-12-03 12:00:00,H
 2.8880,2022-12-03 13:00:00,H
 3.0470,2022-12-03 14:00:00,H
 2.9940,2022-12-03 15:00:00,H
 3.0117,2022-12-03 16:00:00,H
 2.9763,2022-12-03 17:00:00,H
 2.9233,2022-12-03 18:00:00,H
 2.7113,2022-12-03 19:00:00,H
 2.4632,2022-12-03 20:00:00,H
 2.0712,2022-12-03 21:00:00,H
 1.3347,2022-12-03 22:00:00,H
 1.1175,2022-12-03 23:00:00,H
 1.1357,2022-12-04 00:00:00,H
 1.0993,2022-12-04 01:00:00,H
 1.0812,2022-12-04 02:00:00,H
 1.2990,2022-12-04 03:00:00,H
 1.1720,2022-12-04 04:00:00,H
 1.2808,2022-12-04 05:00:00,H
 0.9177,2022-12-04 06:00:00,H
 0.7905,2022-12-04 07:00:00,H
 1.0085,2022-12-04 08:00:00,H
 1.5510,2022-12-04 09:00:00,H
 1.8925,2022-12-04 10:00:00,H
 2.2143,2022-12-04 11:00:00,H
 2.1965,2022-12-04 12:00:00,H
 2.1430,2022-12-04 13:00:00,H
 2.0180,2022-12-04 14:00:00,H
 2.0000,2022-12-04 15:00:00,H
 1.9820,2022-12-04 16:00:00,H
     NA,2022-12-04 17:00:00,H
 1.9820,2022-12-04 18:00:00,H
 2.0717,2022-12-04 19:00:00,H
 2.0895,2022-12-04 20:00:00,H
 2.1965,2022-12-04 21:00:00,H
 2.3213,2022-12-04 22:00:00,H
 2.3212,2022-12-04 23:00:00,H
 2.3568,2022-12-05 00:00:00,H
 2.2678,2022-12-05 01:00:00,H
 2.2857,2022-12-05 02:00:00,H
 2.4457,2022-12-05 03:00:00,H
 2.5697,2022-12-05 04:00:00,H
 3.1342,2022-12-05 05:00:00,H
 3.9745,2022-12-05 06:00:00,H
 4.2000,2022-12-05 07:00:00,H
 4.2867,2022-12-05 08:00:00,H
 4.5117,2022-12-05 09:00:00,H
 5.1310,2022-12-05 10:00:00,H
 6.3560,2022-12-05 11:00:00,H
 7.1127,2022-12-05 12:00:00,H
 6.4575,2022-12-05 13:00:00,H
 6.3227,2022-12-05 14:00:00,H
 6.7278,2022-12-05 15:00:00,H
 5.9835,2022-12-05 16:00:00,H
 5.3877,2022-12-05 17:00:00,H
 4.7703,2022-12-05 18:00:00,H
 4.6325,2022-12-05 19:00:00,H
 4.4070,2022-12-05 20:00:00,H
 3.3277,2022-12-05 21:00:00,H
 2.1963,2022-12-05 22:00:00,H
 1.9103,2022-12-05 23:00:00,H
 1.7665,2022-12-06 00:00:00,H
 1.1718,2022-12-06 01:00:00,H
 0.9903,2022-12-06 02:00:00,H
 1.4247,2022-12-06 03:00:00,H
 1.3170,2022-12-06 04:00:00,H
 1.6230,2022-12-06 05:00:00,H
 1.9822,2022-12-06 06:00:00,H
 2.1252,2022-12-06 07:00:00,H
 2.3388,2022-12-06 08:00:00,H
 3.0642,2022-12-06 09:00:00,H
 4.4552,2022-12-06 10:00:00,H
 6.7935,2022-12-06 11:00:00,H
 7.4813,2022-12-06 12:00:00,H
 6.4233,2022-12-06 13:00:00,H
 6.0513,2022-12-06 14:00:00,H
 5.4732,2022-12-06 15:00:00,H
 4.6318,2022-12-06 16:00:00,H
 3.7128,2022-12-06 17:00:00,H
 3.6957,2022-12-06 18:00:00,H
 3.7830,2022-12-06 19:00:00,H
 3.6610,2022-12-06 20:00:00,H
 3.4335,2022-12-06 21:00:00,H
 3.2227,2022-12-06 22:00:00,H
     NA,2022-12-06 23:00:00,H
 3.1875,2022-12-07 00:00:00,H
     NA,2022-12-07 01:00:00,H
     NA,2022-12-07 02:00:00,H
 3.2757,2022-12-07 03:00:00,H
 2.9940,2022-12-07 04:00:00,H
 2.7643,2022-12-07 05:00:00,H
 2.4278,2022-12-07 06:00:00,H
 1.6408,2022-12-07 07:00:00,H
 0.8447,2022-12-07 08:00:00,H
 1.7438,2022-12-07 09:00:00,H
     NA,2022-12-07 10:00:00,H
 6.0173,2022-12-07 11:00:00,H
 7.1627,2022-12-07 12:00:00,H
 6.9960,2022-12-07 13:00:00,H
 6.1195,2022-12-07 14:00:00,H
 5.5755,2022-12-07 15:00:00,H
 4.4762,2022-12-07 16:00:00,H
 2.6387,2022-12-07 17:00:00,H
 1.4428,2022-12-07 18:00:00,H
 1.3708,2022-12-07 19:00:00,H
 0.8993,2022-12-07 20:00:00,H
 0.5335,2022-12-07 21:00:00,H
-0.0908,2022-12-07 22:00:00,H
 0.7902,2022-12-07 23:00:00,H
 0.8810,2022-12-08 00:00:00,H
-0.1467,2022-12-08 01:00:00,H
-0.9478,2022-12-08 02:00:00,H
-1.5515,2022-12-08 03:00:00,H
-1.5900,2022-12-08 04:00:00,H
-1.2110,2022-12-08 05:00:00,H
-1.6470,2022-12-08 06:00:00,H
-1.6662,2022-12-08 07:00:00,H
-0.7058,2022-12-08 08:00:00,H
 0.3330,2022-12-08 09:00:00,H
 1.2742,2022-12-08 10:00:00,H
 3.2750,2022-12-08 11:00:00,H
 3.2573,2022-12-08 12:00:00,H
 3.4158,2022-12-08 13:00:00,H
 3.7482,2022-12-08 14:00:00,H
 3.4152,2022-12-08 15:00:00,H
 2.5495,2022-12-08 16:00:00,H
 0.6063,2022-12-08 17:00:00,H
-0.5925,2022-12-08 18:00:00,H
-1.2113,2022-12-08 19:00:00,H
-1.6467,2022-12-08 20:00:00,H
-2.0087,2022-12-08 21:00:00,H
-2.1427,2022-12-08 22:00:00,H
-1.9323,2022-12-08 23:00:00,H
-2.0660,2022-12-09 00:00:00,H
-2.6445,2022-12-09 01:00:00,H
-2.9745,2022-12-09 02:00:00,H
-2.8383,2022-12-09 03:00:00,H
-2.6055,2022-12-09 04:00:00,H
-2.7025,2022-12-09 05:00:00,H
-2.5087,2022-12-09 06:00:00,H
-2.2197,2022-12-09 07:00:00,H
-2.0277,2022-12-09 08:00:00,H
-1.5142,2022-12-09 09:00:00,H
-1.0600,2022-12-09 10:00:00,H
-0.1837,2022-12-09 11:00:00,H
 0.1123,2022-12-09 12:00:00,H
 0.1308,2022-12-09 13:00:00,H
 0.2410,2022-12-09 14:00:00,H
 0.2780,2022-12-09 15:00:00,H
-0.2015,2022-12-09 16:00:00,H
-0.2572,2022-12-09 17:00:00,H
-0.2015,2022-12-09 18:00:00,H
-0.2015,2022-12-09 19:00:00,H
-0.0165,2022-12-09 20:00:00,H
 0.1310,2022-12-09 21:00:00,H
     NA,2022-12-09 22:00:00,H
     NA,2022-12-09 23:00:00,H
 0.2960,2022-12-10 00:00:00,H
 0.2593,2022-12-10 01:00:00,H
 0.4070,2022-12-10 02:00:00,H
     NA,2022-12-10 03:00:00,H
 0.2593,2022-12-10 04:00:00,H
 0.0760,2022-12-10 05:00:00,H
 0.1493,2022-12-10 06:00:00,H
-0.0165,2022-12-10 07:00:00,H
-0.0905,2022-12-10 08:00:00,H
     NA,2022-12-10 09:00:00,H
     NA,2022-12-10 10:00:00,H
 0.1127,2022-12-10 11:00:00,H
 0.0760,2022-12-10 12:00:00,H
 0.0575,2022-12-10 13:00:00,H
 0.0020,2022-12-10 14:00:00,H
     NA,2022-12-10 15:00:00,H
     NA,2022-12-10 16:00:00,H
-0.1460,2022-12-10 17:00:00,H
     NA,2022-12-10 18:00:00,H
     NA,2022-12-10 19:00:00,H
     NA,2022-12-10 20:00:00,H
-0.9663,2022-12-10 21:00:00,H
-1.0792,2022-12-10 22:00:00,H
-1.6657,2022-12-10 23:00:00,H
-1.6655,2022-12-11 00:00:00,H
-1.6848,2022-12-11 01:00:00,H
-1.4760,2022-12-11 02:00:00,H
-1.8180,2022-12-11 03:00:00,H
-1.9512,2022-12-11 04:00:00,H
-2.2197,2022-12-11 05:00:00,H
-2.4122,2022-12-11 06:00:00,H
-3.0142,2022-12-11 07:00:00,H
-3.5037,2022-12-11 08:00:00,H
-2.8397,2022-12-11 09:00:00,H
-1.9518,2022-12-11 10:00:00,H
-1.0225,2022-12-11 11:00:00,H
-0.4817,2022-12-11 12:00:00,H
-0.9110,2022-12-11 13:00:00,H
-1.6090,2022-12-11 14:00:00,H
-1.9513,2022-12-11 15:00:00,H
-2.7422,2022-12-11 16:00:00,H
-3.5037,2022-12-11 17:00:00,H
-4.0987,2022-12-11 18:00:00,H
-4.5192,2022-12-11 19:00:00,H
-4.8218,2022-12-11 20:00:00,H
-4.6807,2022-12-11 21:00:00,H
-4.3985,2022-12-11 22:00:00,H
-4.6802,2022-12-11 23:00:00,H
-4.8423,2022-12-12 00:00:00,H
-5.2902,2022-12-12 01:00:00,H
-5.4745,2022-12-12 02:00:00,H
-5.6393,2022-12-12 03:00:00,H
-6.0540,2022-12-12 04:00:00,H
-6.2828,2022-12-12 05:00:00,H
-6.5133,2022-12-12 06:00:00,H
-6.3245,2022-12-12 07:00:00,H
-6.1372,2022-12-12 08:00:00,H
-5.4132,2022-12-12 09:00:00,H
-4.9845,2022-12-12 10:00:00,H
-4.3790,2022-12-12 11:00:00,H
-3.9990,2022-12-12 12:00:00,H
-3.9590,2022-12-12 13:00:00,H
-3.9990,2022-12-12 14:00:00,H
-4.1982,2022-12-12 15:00:00,H
-4.5190,2022-12-12 16:00:00,H
-4.6197,2022-12-12 17:00:00,H
-4.9640,2022-12-12 18:00:00,H
-4.9030,2022-12-12 19:00:00,H
-5.1067,2022-12-12 20:00:00,H
-5.5158,2022-12-12 21:00:00,H
-5.6187,2022-12-12 22:00:00,H
-5.6803,2022-12-12 23:00:00,H
-5.6597,2022-12-13 00:00:00,H
-5.6803,2022-12-13 01:00:00,H
-5.6803,2022-12-13 02:00:00,H
-5.7010,2022-12-13 03:00:00,H
-5.8457,2022-12-13 04:00:00,H
     NA,2022-12-13 05:00:00,H
-5.9082,2022-12-13 06:00:00,H
-6.1787,2022-12-13 07:00:00,H
-6.0537,2022-12-13 08:00:00,H
-5.7427,2022-12-13 09:00:00,H
-5.0052,2022-12-13 10:00:00,H
-4.4590,2022-12-13 11:00:00,H
-4.1383,2022-12-13 12:00:00,H
-4.2183,2022-12-13 13:00:00,H
-4.1195,2022-12-13 14:00:00,H
-3.9393,2022-12-13 15:00:00,H
-4.1780,2022-12-13 16:00:00,H
     NA,2022-12-13 17:00:00,H
-3.8993,2022-12-13 18:00:00,H
-3.7407,2022-12-13 19:00:00,H
-3.4053,2022-12-13 20:00:00,H
-3.2875,2022-12-13 21:00:00,H
     NA,2022-12-13 22:00:00,H
-3.1698,2022-12-13 23:00:00,H
-3.0135,2022-12-14 00:00:00,H
-2.5862,2022-12-14 01:00:00,H
-2.4123,2022-12-14 02:00:00,H
-2.5087,2022-12-14 03:00:00,H
     NA,2022-12-14 04:00:00,H
-2.3545,2022-12-14 05:00:00,H
-2.1237,2022-12-14 06:00:00,H
-2.0277,2022-12-14 07:00:00,H
-1.8180,2022-12-14 08:00:00,H
-1.4757,2022-12-14 09:00:00,H
-1.0980,2022-12-14 10:00:00,H
-0.7602,2022-12-14 11:00:00,H
-0.5920,2022-12-14 12:00:00,H
-0.4245,2022-12-14 13:00:00,H
-0.2943,2022-12-14 14:00:00,H
-0.2757,2022-12-14 15:00:00,H
-0.3130,2022-12-14 16:00:00,H
-0.4615,2022-12-14 17:00:00,H
-0.4060,2022-12-14 18:00:00,H
     NA,2022-12-14 19:00:00,H
-0.2570,2022-12-14 20:00:00,H
     NA,2022-12-14 21:00:00,H
-0.4430,2022-12-14 22:00:00,H
     NA,2022-12-14 23:00:00,H
-0.7040,2022-12-15 00:00:00,H
-0.9102,2022-12-15 01:00:00,H
     NA,2022-12-15 02:00:00,H
     NA,2022-12-15 03:00:00,H
-1.0412,2022-12-15 04:00:00,H
-1.2300,2022-12-15 05:00:00,H
-1.3622,2022-12-15 06:00:00,H
-1.5703,2022-12-15 07:00:00,H
-1.7610,2022-12-15 08:00:00,H
-1.7990,2022-12-15 09:00:00,H
-1.5707,2022-12-15 10:00:00,H
     NA,2022-12-15 11:00:00,H
-1.3623,2022-12-15 12:00:00,H
-1.1920,2022-12-15 13:00:00,H
-1.1543,2022-12-15 14:00:00,H
-1.2110,2022-12-15 15:00:00,H
-1.4190,2022-12-15 16:00:00,H
-1.5892,2022-12-15 17:00:00,H
-1.4760,2022-12-15 18:00:00,H
-1.3810,2022-12-15 19:00:00,H
     NA,2022-12-15 20:00:00,H
-1.7227,2022-12-15 21:00:00,H
-1.9132,2022-12-15 22:00:00,H
-2.0468,2022-12-15 23:00:00,H
-2.1427,2022-12-16 00:00:00,H
-2.2390,2022-12-16 01:00:00,H
-2.2197,2022-12-16 02:00:00,H
     NA,2022-12-16 03:00:00,H
     NA,2022-12-16 04:00:00,H
-2.3545,2022-12-16 05:00:00,H
-2.3928,2022-12-16 06:00:00,H
-2.3737,2022-12-16 07:00:00,H
-2.5087,2022-12-16 08:00:00,H
-2.2197,2022-12-16 09:00:00,H
-2.1812,2022-12-16 10:00:00,H
-2.1237,2022-12-16 11:00:00,H
-1.7230,2022-12-16 12:00:00,H
-1.5708,2022-12-16 13:00:00,H
-1.7988,2022-12-16 14:00:00,H
-2.0277,2022-12-16 15:00:00,H
-2.3352,2022-12-16 16:00:00,H
