dttm,th,origin
2022-12-01 00:00:00,6.929,H
2022-12-01 01:00:00,6.728,H
2022-12-01 02:00:00,6.677,H
2022-12-01 03:00:00,6.102,H
2022-12-01 04:00:00,5.61,H
2022-12-01 05:00:00,5.353,H
2022-12-01 06:00:00,5.131,H
2022-12-01 07:00:00,5.183,H
2022-12-01 08:00:00,5.268,H
2022-12-01 09:00:00,5.285,H
2022-12-01 10:00:00,5.61,H
2022-12-01 11:00:00,5.524,H
2022-12-01 12:00:00,5.746,H
2022-12-01 13:00:00,5.797,H
2022-12-01 14:00:00,5.899,H
2022-12-01 15:00:00,5.405,H
2022-12-01 16:00:00,4.925,H
2022-12-01 17:00:00,4.718,H
2022-12-01 18:00:00,4.598,H
2022-12-01 19:00:00,4.512,H
2022-12-01 20:00:00,4.391,H
2022-12-01 21:00:00,4.269,H
2022-12-01 22:00:00,4.183,H
2022-12-01 23:00:00,4.183,H
2022-12-02 00:00:00,4.269,H
2022-12-02 01:00:00,4.131,H
2022-12-02 02:00:00,4.009,H
2022-12-02 03:00:00,4.009,H
2022-12-02 04:00:00,4.027,H
2022-12-02 05:00:00,4.009,H
2022-12-02 06:00:00,4.148,H
2022-12-02 07:00:00,4.391,H
2022-12-02 08:00:00,4.217,H
2022-12-02 09:00:00,4.529,H
2022-12-02 10:00:00,4.633,H
2022-12-02 11:00:00,4.719,H
2022-12-02 12:00:00,4.805,H
2022-12-02 13:00:00,4.942,H
2022-12-02 14:00:00,5.063,H
2022-12-02 15:00:00,5.336,H
2022-12-02 16:00:00,5.097,H
2022-12-02 17:00:00,4.753,H
2022-12-02 18:00:00,4.77,H
2022-12-02 19:00:00,4.856,H
2022-12-02 20:00:00,4.718,H
2022-12-02 21:00:00,4.701,H
2022-12-02 22:00:00,4.529,H
2022-12-02 23:00:00,4.546,H
2022-12-03 00:00:00,3.991,H
2022-12-03 01:00:00,3.311,H
2022-12-03 02:00:00,3.363,H
2022-12-03 03:00:00,2.906,H
2022-12-03 04:00:00,2.87,H
2022-12-03 05:00:00,2.87,H
2022-12-03 06:00:00,2.64,H
2022-12-03 07:00:00,2.694,H
2022-12-03 08:00:00,2.8,H
2022-12-03 09:00:00,2.888,H
2022-12-03 10:00:00,3.346,H
2022-12-03 11:00:00,3.574,H
2022-12-03 12:00:00,3.765,H
2022-12-03 13:00:00,3.591,H
2022-12-03 14:00:00,3.87,H
2022-12-03 15:00:00,3.957,H
2022-12-03 16:00:00,3.8,H
2022-12-03 17:00:00,3.748,H
2022-12-03 18:00:00,3.783,H
2022-12-03 19:00:00,3.644,H
2022-12-03 20:00:00,3.625,H
2022-12-03 21:00:00,3.276,H
2022-12-03 22:00:00,2.8,H
2022-12-03 23:00:00,2.357,H
2022-12-04 00:00:00,2.321,H
2022-12-04 01:00:00,2.268,H
2022-12-04 02:00:00,2.072,H
2022-12-04 03:00:00,2.374,H
2022-12-04 04:00:00,2.232,H
2022-12-04 05:00:00,2.179,H
2022-12-04 06:00:00,1.892,H
2022-12-04 07:00:00,1.946,H
2022-12-04 08:00:00,2.107,H
2022-12-04 09:00:00,2.552,H
2022-12-04 10:00:00,2.87,H
2022-12-04 11:00:00,3.029,H
2022-12-04 12:00:00,2.994,H
2022-12-04 13:00:00,3.223,H
2022-12-04 14:00:00,3.17,H
2022-12-04 15:00:00,2.941,H
2022-12-04 16:00:00,2.959,H
2022-12-04 17:00:00,2.959,H
2022-12-04 18:00:00,2.87,H
2022-12-04 19:00:00,2.817,H
2022-12-04 20:00:00,2.959,H
2022-12-04 21:00:00,3.276,H
2022-12-04 22:00:00,3.17,H
2022-12-04 23:00:00,3.064,H
2022-12-05 00:00:00,3.117,H
2022-12-05 01:00:00,3.205,H
2022-12-05 02:00:00,3.293,H
2022-12-05 03:00:00,3.556,H
2022-12-05 04:00:00,3.678,H
2022-12-05 05:00:00,4.598,H
2022-12-05 06:00:00,4.977,H
2022-12-05 07:00:00,5.063,H
2022-12-05 08:00:00,5.097,H
2022-12-05 09:00:00,5.729,H
2022-12-05 10:00:00,6.356,H
2022-12-05 11:00:00,6.879,H
2022-12-05 12:00:00,6.946,H
2022-12-05 13:00:00,6.896,H
2022-12-05 14:00:00,6.929,H
2022-12-05 15:00:00,7.181,H
2022-12-05 16:00:00,6.407,H
2022-12-05 17:00:00,6.018,H
2022-12-05 18:00:00,5.593,H
2022-12-05 19:00:00,5.371,H
2022-12-05 20:00:00,4.993,H
2022-12-05 21:00:00,4.442,H
2022-12-05 22:00:00,4.009,H
2022-12-05 23:00:00,3.87,H
2022-12-06 00:00:00,3.695,H
2022-12-06 01:00:00,3.065,H
2022-12-06 02:00:00,2.747,H
2022-12-06 03:00:00,3.047,H
2022-12-06 04:00:00,2.623,H
2022-12-06 05:00:00,3.117,H
2022-12-06 06:00:00,3.188,H
2022-12-06 07:00:00,3.363,H
2022-12-06 08:00:00,3.591,H
2022-12-06 09:00:00,4.165,H
2022-12-06 10:00:00,5.028,H
2022-12-06 11:00:00,5.302,H
2022-12-06 12:00:00,5.814,H
2022-12-06 13:00:00,6.66,H
2022-12-06 14:00:00,6.356,H
2022-12-06 15:00:00,6.086,H
2022-12-06 16:00:00,5.422,H
2022-12-06 17:00:00,4.442,H
2022-12-06 18:00:00,4.356,H
2022-12-06 19:00:00,4.529,H
2022-12-06 20:00:00,4.616,H
2022-12-06 21:00:00,4.339,H
2022-12-06 22:00:00,4.026,H
2022-12-06 23:00:00,3.94,H
2022-12-07 00:00:00,3.992,H
2022-12-07 01:00:00,4.165,H
2022-12-07 02:00:00,4.113,H
2022-12-07 03:00:00,3.835,H
2022-12-07 04:00:00,3.853,H
2022-12-07 05:00:00,3.992,H
2022-12-07 06:00:00,3.731,H
2022-12-07 07:00:00,3.415,H
2022-12-07 08:00:00,2.552,H
2022-12-07 09:00:00,2.975,H
2022-12-07 10:00:00,4.58,H
2022-12-07 11:00:00,4.994,H
2022-12-07 12:00:00,7.028,H
2022-12-07 13:00:00,8.098,H
2022-12-07 14:00:00,7.531,H
2022-12-07 15:00:00,6.61,H
2022-12-07 16:00:00,5.54,H
2022-12-07 17:00:00,4.408,H
2022-12-07 18:00:00,3.52,H
2022-12-07 19:00:00,3.082,H
2022-12-07 20:00:00,2.552,H
2022-12-07 21:00:00,2.125,H
2022-12-07 22:00:00,2.179,H
2022-12-07 23:00:00,2.392,H
2022-12-08 00:00:00,2.392,H
2022-12-08 01:00:00,1.551,H
2022-12-08 02:00:00,0.881,H
2022-12-08 03:00:00,0.462,H
2022-12-08 04:00:00,0.425,H
2022-12-08 05:00:00,0.626,H
2022-12-08 06:00:00,0.002,H
2022-12-08 07:00:00,0.259,H
2022-12-08 08:00:00,0.772,H
2022-12-08 09:00:00,1.316,H
2022-12-08 10:00:00,1.515,H
2022-12-08 11:00:00,0.971,H
2022-12-08 12:00:00,0.899,H
2022-12-08 13:00:00,0.99,H
2022-12-08 14:00:00,1.874,H
2022-12-08 15:00:00,2.516,H
2022-12-08 16:00:00,2.587,H
2022-12-08 17:00:00,1.407,H
2022-12-08 18:00:00,1.208,H
2022-12-08 19:00:00,0.79,H
2022-12-08 20:00:00,0.443,H
2022-12-08 21:00:00,-0.295,H
2022-12-08 22:00:00,-0.723,H
2022-12-08 23:00:00,-0.35,H
2022-12-09 00:00:00,-0.48,H
2022-12-09 01:00:00,-1.06,H
2022-12-09 02:00:00,-1.362,H
2022-12-09 03:00:00,-1.514,H
2022-12-09 04:00:00,-1.476,H
2022-12-09 05:00:00,-1.457,H
2022-12-09 06:00:00,-1.4,H
2022-12-09 07:00:00,-1.042,H
2022-12-09 08:00:00,-0.779,H
2022-12-09 09:00:00,-0.073,H
2022-12-09 10:00:00,0.002,H
2022-12-09 11:00:00,1.026,H
2022-12-09 12:00:00,1.371,H
2022-12-09 13:00:00,1.136,H
2022-12-09 14:00:00,1.335,H
2022-12-09 15:00:00,1.117,H
2022-12-09 16:00:00,0.954,H
2022-12-09 17:00:00,0.79,H
2022-12-09 18:00:00,0.754,H
2022-12-09 19:00:00,1.099,H
2022-12-09 20:00:00,1.371,H
2022-12-09 21:00:00,1.425,H
2022-12-09 22:00:00,1.208,H
2022-12-09 23:00:00,1.245,H
2022-12-10 00:00:00,1.117,H
2022-12-10 01:00:00,1.245,H
2022-12-10 02:00:00,1.317,H
2022-12-10 03:00:00,1.335,H
2022-12-10 04:00:00,1.317,H
2022-12-10 05:00:00,1.226,H
2022-12-10 06:00:00,1.154,H
2022-12-10 07:00:00,1.045,H
2022-12-10 08:00:00,1.063,H
2022-12-10 09:00:00,1.19,H
2022-12-10 10:00:00,1.299,H
2022-12-10 11:00:00,1.425,H
2022-12-10 12:00:00,1.407,H
2022-12-10 13:00:00,1.28,H
2022-12-10 14:00:00,1.154,H
2022-12-10 15:00:00,1.154,H
2022-12-10 16:00:00,0.99,H
2022-12-10 17:00:00,0.99,H
2022-12-10 18:00:00,0.954,H
2022-12-10 19:00:00,0.881,H
2022-12-10 20:00:00,0.79,H
2022-12-10 21:00:00,0.351,H
2022-12-10 22:00:00,0.093,H
2022-12-10 23:00:00,-0.361,R
2022-12-11 00:00:00,-0.555,H
2022-12-11 01:00:00,-0.35,H
2022-12-11 02:00:00,-0.555,H
2022-12-11 03:00:00,-0.667,H
2022-12-11 04:00:00,-0.76,H
2022-12-11 05:00:00,-1.023,H
2022-12-11 06:00:00,-1.23,H
2022-12-11 07:00:00,-2.029,H
2022-12-11 08:00:00,-2.547,H
2022-12-11 09:00:00,-1.647,H
2022-12-11 10:00:00,-1.364,H
2022-12-11 11:00:00,-1.438,H
2022-12-11 12:00:00,-0.096,H
2022-12-11 13:00:00,-0.41,H
2022-12-11 14:00:00,-1.041,H
2022-12-11 15:00:00,-1.268,H
2022-12-11 16:00:00,-1.78,H
2022-12-11 17:00:00,-1.99,H
2022-12-11 18:00:00,-2.413,H
2022-12-11 19:00:00,-2.878,H
2022-12-11 20:00:00,-3.111,H
2022-12-11 21:00:00,-3.014,H
2022-12-11 22:00:00,-3.367,H
2022-12-11 23:00:00,-3.701,H
2022-12-12 00:00:00,-3.702,H
2022-12-12 01:00:00,-3.981,H
2022-12-12 02:00:00,-5.148,H
2022-12-12 03:00:00,-5.619,H
2022-12-12 04:00:00,-5.353,H
2022-12-12 05:00:00,-4.944,H
2022-12-12 06:00:00,-5.066,H
2022-12-12 07:00:00,-5.005,H
2022-12-12 08:00:00,-5.393,H
2022-12-12 09:00:00,-4.965,H
2022-12-12 10:00:00,-4.419,H
2022-12-12 11:00:00,-3.741,H
2022-12-12 12:00:00,-3.406,H
2022-12-12 13:00:00,-2.956,H
2022-12-12 14:00:00,-2.78,H
2022-12-12 15:00:00,-3.053,H
2022-12-12 16:00:00,-3.96,H
2022-12-12 17:00:00,-3.899,H
2022-12-12 18:00:00,-4.16,H
2022-12-12 19:00:00,-4.862,H
2022-12-12 20:00:00,-4.903,H
2022-12-12 21:00:00,-4.802,H
2022-12-12 22:00:00,-4.601,H
2022-12-12 23:00:00,-4.338,H
2022-12-13 00:00:00,-4.419,H
2022-12-13 01:00:00,-4.5,H
2022-12-13 02:00:00,-4.459,H
2022-12-13 03:00:00,-4.62,H
2022-12-13 04:00:00,-4.519,H
2022-12-13 05:00:00,-4.66,H
2022-12-13 06:00:00,-4.681,H
2022-12-13 07:00:00,-5.188,H
2022-12-13 08:00:00,-5.066,H
2022-12-13 09:00:00,-4.742,H
2022-12-13 10:00:00,-3.763,H
2022-12-13 11:00:00,-2.878,H
2022-12-13 12:00:00,-2.839,H
2022-12-13 13:00:00,-3.016,H
2022-12-13 14:00:00,-2.414,H
2022-12-13 15:00:00,-2.394,H
2022-12-13 16:00:00,-2.277,H
2022-12-13 17:00:00,-2.316,H
2022-12-13 18:00:00,-2.412,H
2022-12-13 19:00:00,-2.047,H
2022-12-13 20:00:00,-1.78,H
2022-12-13 21:00:00,-2.028,H
2022-12-13 22:00:00,-2.009,H
2022-12-13 23:00:00,-1.99,H
2022-12-14 00:00:00,-1.856,H
2022-12-14 01:00:00,-1.78,H
2022-12-14 02:00:00,-1.136,H
2022-12-14 03:00:00,-1.305,H
2022-12-14 04:00:00,-1.419,H
2022-12-14 05:00:00,-1.173,H
2022-12-14 06:00:00,-1.041,H
2022-12-14 07:00:00,-0.891,H
2022-12-14 08:00:00,-0.966,H
2022-12-14 09:00:00,-0.704,H
2022-12-14 10:00:00,-0.164,H
2022-12-14 11:00:00,0.186,H
2022-12-14 12:00:00,0.26,H
2022-12-14 13:00:00,0.296,H
2022-12-14 14:00:00,0.845,H
2022-12-14 15:00:00,0.918,H
2022-12-14 16:00:00,0.754,H
2022-12-14 17:00:00,0.736,H
2022-12-14 18:00:00,0.845,H
2022-12-14 19:00:00,0.827,H
2022-12-14 20:00:00,0.754,H
2022-12-14 21:00:00,0.571,H
2022-12-14 22:00:00,0.388,H
2022-12-14 23:00:00,0.278,H
2022-12-15 00:00:00,-0.146,H
2022-12-15 01:00:00,-0.146,H
2022-12-15 02:00:00,-0.35,H
2022-12-15 03:00:00,-0.332,H
2022-12-15 04:00:00,-0.276,H
2022-12-15 05:00:00,-0.332,H
2022-12-15 06:00:00,-0.592,H
2022-12-15 07:00:00,-0.742,H
2022-12-15 08:00:00,-0.948,H
2022-12-15 09:00:00,-0.425,H
2022-12-15 10:00:00,-0.294,H
2022-12-15 11:00:00,-0.313,H
2022-12-15 12:00:00,0.186,H
2022-12-15 13:00:00,0.168,H
2022-12-15 14:00:00,0.204,H
2022-12-15 15:00:00,-0.054,H
2022-12-15 16:00:00,-0.369,H
2022-12-15 17:00:00,-0.295,H
2022-12-15 18:00:00,-0.183,H
2022-12-15 19:00:00,-0.387,H
2022-12-15 20:00:00,-0.574,H
2022-12-15 21:00:00,-1.023,H
2022-12-15 22:00:00,-1.136,H
2022-12-15 23:00:00,-1.079,H
2022-12-16 00:00:00,-1.286,H
2022-12-16 01:00:00,-1.211,H
2022-12-16 02:00:00,-1.136,H
2022-12-16 03:00:00,-1.249,H
2022-12-16 04:00:00,-1.324,H
2022-12-16 05:00:00,-1.344,H
2022-12-16 06:00:00,-1.419,H
2022-12-16 07:00:00,-1.647,H
2022-12-16 08:00:00,-1.495,H
2022-12-16 09:00:00,-1.098,H
2022-12-16 10:00:00,-0.779,H
2022-12-16 11:00:00,-0.649,H
2022-12-16 12:00:00,-0.146,H
2022-12-16 13:00:00,-0.017,H
2022-12-16 14:00:00,-0.388,H
2022-12-16 15:00:00,-0.798,H
2022-12-16 16:00:00,-0.985,H
2022-12-16 17:00:00,-1.136,H
2022-12-16 18:00:00,-1.249,H
2022-12-16 19:00:00,-1.723,H
2022-12-16 20:00:00,-1.609,H
2022-12-16 21:00:00,-1.742,H
2022-12-16 22:00:00,-1.875,H
2022-12-16 23:00:00,-1.742,H
2022-12-17 00:00:00,-1.952,H
2022-12-17 01:00:00,-2.085,H
2022-12-17 02:00:00,-2.703,H
2022-12-17 03:00:00,-3.386,H
2022-12-17 04:00:00,-3.981,H
2022-12-17 05:00:00,-4.479,H
2022-12-17 06:00:00,-4.439,H
2022-12-17 07:00:00,-4.863,H
2022-12-17 08:00:00,-4.883,H
2022-12-17 09:00:00,-4.041,H
2022-12-17 10:00:00,-2.956,H
2022-12-17 11:00:00,-3.445,H
2022-12-17 12:00:00,-3.035,H
2022-12-17 13:00:00,-3.073,H
2022-12-17 14:00:00,-3.171,H
2022-12-17 15:00:00,-3.583,H
2022-12-17 16:00:00,-3.701,H
2022-12-17 17:00:00,-4.118,H
2022-12-17 18:00:00,-3.88,H
2022-12-17 19:00:00,-4.48,H
2022-12-17 20:00:00,-4.62,H
2022-12-17 21:00:00,-4.56,H
2022-12-17 22:00:00,-4.201,H
2022-12-17 23:00:00,-4.259,H
2022-12-18 00:00:00,-4.64,H
2022-12-18 01:00:00,-4.964,H
2022-12-18 02:00:00,-5.392,H
2022-12-18 03:00:00,-5.68,H
2022-12-18 04:00:00,-6.368,H
2022-12-18 05:00:00,-6.873,H
2022-12-18 06:00:00,-7.299,H
2022-12-18 07:00:00,-7.128,H
2022-12-18 08:00:00,-7.107,H
2022-12-18 09:00:00,-7.213,H
2022-12-18 10:00:00,-5.952,H
2022-12-18 11:00:00,-4.301,H
2022-12-18 12:00:00,-2.918,H
2022-12-18 13:00:00,-2.01,H
2022-12-18 14:00:00,-1.4,H
2022-12-18 15:00:00,-1.571,H
2022-12-18 16:00:00,-1.932,H
2022-12-18 17:00:00,-1.628,H
2022-12-18 18:00:00,-1.628,H
2022-12-18 19:00:00,-1.723,H
2022-12-18 20:00:00,-1.343,H
2022-12-18 21:00:00,-0.986,H
2022-12-18 22:00:00,-1.004,H
2022-12-18 23:00:00,-0.499,H
2022-12-19 00:00:00,-0.239,H
2022-12-19 01:00:00,-0.09,H
2022-12-19 02:00:00,-0.035,H
2022-12-19 03:00:00,0.498,H
2022-12-19 04:00:00,1.635,H
2022-12-19 05:00:00,2.743,H
2022-12-19 06:00:00,1.425,H
2022-12-19 07:00:00,1.838,H
2022-12-19 08:00:00,1.749,H
2022-12-19 09:00:00,2.444,H
2022-12-19 10:00:00,4.024,H
2022-12-19 11:00:00,5.518,H
2022-12-19 12:00:00,6.946,H
2022-12-19 13:00:00,7.765,H
2022-12-19 14:00:00,7.715,H
2022-12-19 15:00:00,6.979,H
2022-12-19 16:00:00,7.23,H
2022-12-19 17:00:00,7.114,H
2022-12-19 18:00:00,6.811,H
2022-12-19 19:00:00,6.39,H
2022-12-19 20:00:00,7.013,H
2022-12-19 21:00:00,6.879,H
2022-12-19 22:00:00,7.097,H
2022-12-19 23:00:00,7.881,H
2022-12-20 00:00:00,7.982,H
2022-12-20 01:00:00,7.548,H
2022-12-20 02:00:00,7.982,H
2022-12-20 03:00:00,8.545,H
2022-12-20 04:00:00,8.694,H
2022-12-20 05:00:00,8.546,H
2022-12-20 06:00:00,8.612,H
2022-12-20 07:00:00,8.843,H
2022-12-20 08:00:00,8.512,H
2022-12-20 09:00:00,9.238,H
2022-12-20 10:00:00,10.693,H
2022-12-20 11:00:00,11.066,H
2022-12-20 12:00:00,12.857,H
2022-12-20 13:00:00,13.21,H
2022-12-20 14:00:00,13.899,H
2022-12-20 15:00:00,13.402,H
2022-12-20 16:00:00,12.004,H
2022-12-20 17:00:00,11.536,H
2022-12-20 18:00:00,11.487,H
2022-12-20 19:00:00,10.628,H
2022-12-20 20:00:00,10.53,H
2022-12-20 21:00:00,10.253,H
2022-12-20 22:00:00,10.253,H
2022-12-20 23:00:00,10.433,H
2022-12-21 00:00:00,10.726,H
2022-12-21 01:00:00,11.438,H
2022-12-21 02:00:00,11.584,H
2022-12-21 03:00:00,11.18,H
2022-12-21 04:00:00,11.277,H
2022-12-21 05:00:00,10.905,H
2022-12-21 06:00:00,10.416,H
2022-12-21 07:00:00,11.536,H
2022-12-21 08:00:00,11.891,H
2022-12-21 09:00:00,11.099,H
2022-12-21 10:00:00,11.891,H
2022-12-21 11:00:00,12.488,H
2022-12-21 12:00:00,12.841,H
2022-12-21 13:00:00,13.002,H
2022-12-21 14:00:00,13.002,H
2022-12-21 15:00:00,12.729,H
2022-12-21 16:00:00,12.375,H
2022-12-21 17:00:00,12.398,R
2022-12-21 18:00:00,12.398,R
2022-12-21 19:00:00,12.053,H
2022-12-21 20:00:00,12.214,H
2022-12-21 21:00:00,12.536,H
2022-12-21 22:00:00,13.146,H
2022-12-21 23:00:00,13.034,H
2022-12-22 00:00:00,12.697,H
2022-12-22 01:00:00,11.843,H
2022-12-22 02:00:00,11.924,H
2022-12-22 03:00:00,12.488,H
2022-12-22 04:00:00,13.114,H
2022-12-22 05:00:00,13.045,R
2022-12-22 06:00:00,12.768,R
2022-12-22 07:00:00,12.675,R
2022-12-22 08:00:00,12.12,R
2022-12-22 09:00:00,11.924,H
2022-12-22 10:00:00,11.956,H
2022-12-22 11:00:00,12.343,H
2022-12-22 12:00:00,12.439,H
2022-12-22 13:00:00,12.665,H
2022-12-22 14:00:00,12.117,H
2022-12-22 15:00:00,11.843,H
2022-12-22 16:00:00,12.23,H
2022-12-22 17:00:00,12.675,R
2022-12-22 18:00:00,12.198,H
2022-12-22 19:00:00,12.681,H
2022-12-22 20:00:00,11.52,H
2022-12-22 21:00:00,10.969,H
2022-12-22 22:00:00,10.936,H
2022-12-22 23:00:00,11.972,H
2022-12-23 00:00:00,12.439,H
2022-12-23 01:00:00,12.873,H
2022-12-23 02:00:00,13.259,H
2022-12-23 03:00:00,13.467,H
2022-12-23 04:00:00,13.611,H
2022-12-23 05:00:00,13.6,R
2022-12-23 06:00:00,13.507,R
2022-12-23 07:00:00,13.785,R
2022-12-23 08:00:00,13.785,R
2022-12-23 09:00:00,13.323,H
2022-12-23 10:00:00,13.643,H
2022-12-23 11:00:00,13.515,H
2022-12-23 12:00:00,13.355,H
2022-12-23 13:00:00,14.138,H
2022-12-23 14:00:00,14.058,H
2022-12-23 15:00:00,14.043,H
2022-12-23 16:00:00,14.154,R
2022-12-23 17:00:00,14.106,H
2022-12-23 18:00:00,13.803,H
2022-12-23 19:00:00,14.154,R
2022-12-23 20:00:00,14.154,R
2022-12-23 21:00:00,14.058,H
2022-12-23 22:00:00,13.643,H
2022-12-23 23:00:00,13.415,R
2022-12-24 00:00:00,13.322,R
2022-12-24 01:00:00,13.082,H
2022-12-24 02:00:00,12.825,H
2022-12-24 03:00:00,12.52,H
2022-12-24 04:00:00,12.021,H
2022-12-24 05:00:00,12.028,R
2022-12-24 06:00:00,11.843,R
2022-12-24 07:00:00,11.658,R
2022-12-24 08:00:00,11.751,R
2022-12-24 09:00:00,11.892,H
2022-12-24 10:00:00,12.536,H
