"dttm","th","origin"
"22.12.01 00:00:00"," 6.2574","R"
"22.12.01 01:00:00"," 6.2447","H"
"22.12.01 02:00:00"," 6.2107","H"
"22.12.01 03:00:00"," 5.3780","H"
"22.12.01 04:00:00"," 4.6923","H"
"22.12.01 05:00:00"," 4.4340","H"
"22.12.01 06:00:00"," 4.2090","H"
"22.12.01 07:00:00"," 4.1050","H"
"22.12.01 08:00:00"," 4.1570","H"
"22.12.01 09:00:00"," 4.6238","H"
"22.12.01 10:00:00"," 5.0702","H"
"22.12.01 11:00:00"," 4.7443","H"
"22.12.01 12:00:00"," 4.6925","H"
"22.12.01 13:00:00"," 4.8305","H"
"22.12.01 14:00:00"," 4.7787","H"
"22.12.01 15:00:00"," 4.2608","H"
"22.12.01 16:00:00"," 3.9317","H"
"22.12.01 17:00:00"," 3.7578","H"
"22.12.01 18:00:00"," 3.4785","H"
"22.12.01 19:00:00"," 3.4610","H"
"22.12.01 20:00:00"," 3.3035","H"
"22.12.01 21:00:00"," 3.4260","H"
"22.12.01 22:00:00"," 3.3124","R"
"22.12.01 23:00:00"," 3.3385","H"
"22.12.02 00:00:00"," 3.4435","H"
"22.12.02 01:00:00"," 3.3735","H"
"22.12.02 02:00:00"," 3.0927","H"
"22.12.02 03:00:00"," 3.1630","H"
"22.12.02 04:00:00"," 3.0575","H"
"22.12.02 05:00:00"," 3.0927","H"
"22.12.02 06:00:00"," 3.1628","H"
"22.12.02 07:00:00"," 3.2158","H"
"22.12.02 08:00:00"," 3.4085","H"
"22.12.02 09:00:00"," 3.3910","H"
"22.12.02 10:00:00"," 3.6358","H"
"22.12.02 11:00:00"," 3.7577","H"
"22.12.02 12:00:00"," 3.8100","H"
"22.12.02 13:00:00"," 3.9837","H"
"22.12.02 14:00:00"," 4.2090","H"
"22.12.02 15:00:00"," 4.4168","H"
"22.12.02 16:00:00"," 4.2610","H"
"22.12.02 17:00:00"," 3.9663","H"
"22.12.02 18:00:00"," 3.7752","H"
"22.12.02 19:00:00"," 3.7055","H"
"22.12.02 20:00:00"," 3.8275","H"
"22.12.02 21:00:00"," 3.8448","H"
"22.12.02 22:00:00"," 3.7402","H"
"22.12.02 23:00:00"," 3.6069","R"
"22.12.03 00:00:00"," 3.1620","H"
"22.12.03 01:00:00"," 2.5455","H"
"22.12.03 02:00:00"," 2.5808","H"
"22.12.03 03:00:00"," 1.9942","H"
"22.12.03 04:00:00"," 1.9765","H"
"22.12.03 05:00:00"," 2.0302","H"
"22.12.03 06:00:00"," 1.9228","H"
"22.12.03 07:00:00"," 2.0123","H"
"22.12.03 08:00:00"," 1.9227","H"
"22.12.03 09:00:00"," 2.0480","H"
"22.12.03 10:00:00"," 2.2618","H"
"22.12.03 11:00:00"," 2.2263","H"
"22.12.03 12:00:00"," 2.4747","H"
"22.12.03 13:00:00"," 2.6340","H"
"22.12.03 14:00:00"," 2.9167","H"
"22.12.03 15:00:00"," 2.9518","H"
"22.12.03 16:00:00"," 3.0400","H"
"22.12.03 17:00:00"," 3.1103","H"
"22.12.03 18:00:00"," 3.0048","H"
"22.12.03 19:00:00"," 2.9695","H"
"22.12.03 20:00:00"," 3.1103","H"
"22.12.03 21:00:00"," 2.7223","H"
"22.12.03 22:00:00"," 2.0475","H"
"22.12.03 23:00:00"," 1.5278","H"
"22.12.04 00:00:00"," 1.5820","H"
"22.12.04 01:00:00"," 1.5640","H"
"22.12.04 02:00:00"," 1.4560","H"
"22.12.04 03:00:00"," 1.7435","H"
"22.12.04 04:00:00"," 1.5280","H"
"22.12.04 05:00:00"," 1.6180","H"
"22.12.04 06:00:00"," 1.2037","H"
"22.12.04 07:00:00"," 1.2940","H"
"22.12.04 08:00:00"," 1.4740","H"
"22.12.04 09:00:00"," 1.7797","H"
"22.12.04 10:00:00"," 1.8512","H"
"22.12.04 11:00:00"," 2.2083","H"
"22.12.04 12:00:00"," 1.9765","H"
"22.12.04 13:00:00"," 1.9767","H"
"22.12.04 14:00:00"," 1.8870","H"
"22.12.04 15:00:00"," 1.7438","H"
"22.12.04 16:00:00"," 1.8690","H"
"22.12.04 17:00:00"," 1.8153","H"
"22.12.04 18:00:00"," 1.8868","H"
"22.12.04 19:00:00"," 1.9767","H"
"22.12.04 20:00:00"," 2.2262","H"
"22.12.04 21:00:00"," 2.4392","H"
"22.12.04 22:00:00"," 2.6340","H"
"22.12.04 23:00:00"," 2.4570","H"
"22.12.05 00:00:00"," 2.6163","H"
"22.12.05 01:00:00"," 2.7753","H"
"22.12.05 02:00:00"," 2.7577","H"
"22.12.05 03:00:00"," 3.0747","H"
"22.12.05 04:00:00"," 3.4082","H"
"22.12.05 05:00:00"," 4.4338","H"
"22.12.05 06:00:00"," 4.7270","H"
"22.12.05 07:00:00"," 4.8648","H"
"22.12.05 08:00:00"," 5.1048","H"
"22.12.05 09:00:00"," 5.6338","H"
"22.12.05 10:00:00"," 6.1770","H"
"22.12.05 11:00:00"," 6.5822","H"
"22.12.05 12:00:00"," 6.6832","H"
"22.12.05 13:00:00"," 6.8172","H"
"22.12.05 14:00:00"," 6.6325","H"
"22.12.05 15:00:00"," 7.0187","H"
"22.12.05 16:00:00"," 6.3457","H"
"22.12.05 17:00:00"," 5.9395","H"
"22.12.05 18:00:00"," 5.5830","H"
"22.12.05 19:00:00"," 5.3780","H"
"22.12.05 20:00:00"," 4.9842","H"
"22.12.05 21:00:00"," 4.3302","H"
"22.12.05 22:00:00"," 3.4600","H"
"22.12.05 23:00:00"," 3.1805","H"
"22.12.06 00:00:00"," 3.3557","H"
"22.12.06 01:00:00"," 2.6692","H"
"22.12.06 02:00:00"," 2.2973","H"
"22.12.06 03:00:00"," 3.0045","H"
"22.12.06 04:00:00"," 2.4392","H"
"22.12.06 05:00:00"," 2.6515","H"
"22.12.06 06:00:00"," 2.7753","H"
"22.12.06 07:00:00"," 2.8107","H"
"22.12.06 08:00:00"," 3.1805","H"
"22.12.06 09:00:00"," 3.4782","H"
"22.12.06 10:00:00"," 4.0530","H"
"22.12.06 11:00:00"," 4.7440","H"
