dttm,temp_fill,origin,th
2022.12.01 00:00:00,6.261371153666718,R,6.2614
2022.12.01 01:00:00,6.4797,H,6.4797
2022.12.01 02:00:00,5.5658,H,5.5658
2022.12.01 03:00:00,4.778,H,4.778
2022.12.01 04:00:00,4.157,H,4.157
2022.12.01 05:00:00,3.8793,H,3.8793
2022.12.01 06:00:00,3.6882,H,3.6882
2022.12.01 07:00:00,3.7055,H,3.7055
2022.12.01 08:00:00,3.7577,H,3.7577
2022.12.01 09:00:00,4.1213,H,4.1213
2022.12.01 10:00:00,4.572,H,4.572
2022.12.01 11:00:00,4.74025436928605,R,4.7403
2022.12.01 12:00:00,4.6753,H,4.6753
2022.12.01 13:00:00,4.7787,H,4.7787
2022.12.01 14:00:00,4.7615,H,4.7615
2022.12.01 15:00:00,4.105,H,4.105
2022.12.01 16:00:00,3.6007,H,3.6007
2022.12.01 17:00:00,3.321,H,3.321
2022.12.01 18:00:00,3.163,H,3.163
2022.12.01 19:00:00,3.5994167810005497,R,3.5994
2022.12.01 20:00:00,2.952,H,2.952
2022.12.01 21:00:00,2.9167,H,2.9167
2022.12.01 22:00:00,3.2855,H,3.2855
2022.12.01 23:00:00,4.0697,H,4.0697
2022.12.02 00:00:00,3.8967,H,3.8967
2022.12.02 01:00:00,3.6878,H,3.6878
2022.12.02 02:00:00,3.3902,H,3.3902
2022.12.02 03:00:00,2.8813,H,2.8813
2022.12.02 04:00:00,2.8813,H,2.8813
2022.12.02 05:00:00,3.314207383929175,R,3.3142
2022.12.02 06:00:00,2.9873,H,2.9873
2022.12.02 07:00:00,3.4092771829529664,R,3.4093
2022.12.02 08:00:00,3.2333,H,3.2333
2022.12.02 09:00:00,3.4785,H,3.4785
2022.12.02 10:00:00,3.966,H,3.966
2022.12.02 11:00:00,4.2437,H,4.2437
2022.12.02 12:00:00,4.3302,H,4.3302
2022.12.02 13:00:00,4.8302,H,4.8302
2022.12.02 14:00:00,4.6065,H,4.6065
2022.12.02 15:00:00,4.6583,H,4.6583
2022.12.02 16:00:00,4.053,H,4.053
2022.12.02 17:00:00,3.74,H,3.74
2022.12.02 18:00:00,3.9796959770957163,R,3.9797
2022.12.02 19:00:00,3.4785,H,3.4785
2022.12.02 20:00:00,3.884626178071925,R,3.8846
2022.12.02 21:00:00,3.531,H,3.531
2022.12.02 22:00:00,4.416,H,4.416
2022.12.02 23:00:00,4.087,H,4.087
2022.12.03 00:00:00,3.2323,H,3.2323
2022.12.03 01:00:00,2.6865,H,2.6865
2022.12.03 02:00:00,3.3197,H,3.3197
2022.12.03 03:00:00,2.5618,H,2.5618
2022.12.03 04:00:00,2.1727,H,2.1727
2022.12.03 05:00:00,1.8153,H,1.8153
2022.12.03 06:00:00,1.672,H,1.672
2022.12.03 07:00:00,1.7257,H,1.7257
2022.12.03 08:00:00,1.564,H,1.564
2022.12.03 09:00:00,2.0118,H,2.0118
2022.12.03 10:00:00,2.616,H,2.616
2022.12.03 11:00:00,2.8812,H,2.8812
2022.12.03 12:00:00,3.4608,H,3.4608
2022.12.03 13:00:00,3.2322,H,3.2322
2022.12.03 14:00:00,3.9143,H,3.9143
2022.12.03 15:00:00,3.8967,H,3.8967
2022.12.03 16:00:00,3.4253,H,3.4253
2022.12.03 17:00:00,2.7577,H,2.7577
2022.12.03 18:00:00,2.6868,H,2.6868
2022.12.03 19:00:00,2.3148,H,2.3148
2022.12.03 20:00:00,1.9407,H,1.9407
2022.12.03 21:00:00,1.7615,H,1.7615
2022.12.03 22:00:00,1.8332,H,1.8332
2022.12.03 23:00:00,1.5817,H,1.5817
2022.12.04 00:00:00,1.492,H,1.492
2022.12.04 01:00:00,1.9585,H,1.9585
2022.12.04 02:00:00,1.5625,H,1.5625
2022.12.04 03:00:00,0.8953,H,0.8953
2022.12.04 04:00:00,0.6773,H,0.6773
2022.12.04 05:00:00,0.7498,H,0.7498
2022.12.04 06:00:00,0.44,H,0.44
2022.12.04 07:00:00,0.4583,H,0.4583
2022.12.04 08:00:00,0.7497,H,0.7497
2022.12.04 09:00:00,1.2758,H,1.2758
2022.12.04 10:00:00,1.9932,H,1.9932
2022.12.04 11:00:00,2.4922,H,2.4922
2022.12.04 12:00:00,2.8282,H,2.8282
2022.12.04 13:00:00,3.0563,H,3.0563
2022.12.04 14:00:00,2.9338,H,2.9338
2022.12.04 15:00:00,3.0922,H,3.0922
2022.12.04 16:00:00,2.2258,H,2.2258
2022.12.04 17:00:00,1.9227,H,1.9227
2022.12.04 18:00:00,2.1193,H,2.1193
2022.12.04 19:00:00,2.4568,H,2.4568
2022.12.04 20:00:00,2.9338,H,2.9338
2022.12.04 21:00:00,2.8637,H,2.8637
2022.12.04 22:00:00,2.6508,H,2.6508
2022.12.04 23:00:00,2.616,H,2.616
2022.12.05 00:00:00,2.5536489917388407,R,2.5536
2022.12.05 01:00:00,3.2485,H,3.2485
2022.12.05 02:00:00,2.4037,H,2.4037
2022.12.05 03:00:00,2.4037,H,2.4037
2022.12.05 04:00:00,2.2083,H,2.2083
2022.12.05 05:00:00,3.4062,H,3.4062
2022.12.05 06:00:00,4.6925,H,4.6925
2022.12.05 07:00:00,5.595882560500176,R,5.5959
2022.12.05 08:00:00,5.500812761476385,R,5.5008
2022.12.05 09:00:00,5.8378,H,5.8378
2022.12.05 10:00:00,6.8497,H,6.8497
2022.12.05 11:00:00,6.451510751714301,R,6.4515
2022.12.05 12:00:00,6.641650349761885,R,6.6417
2022.12.05 13:00:00,6.641650349761885,R,6.6417
2022.12.05 14:00:00,7.4367,H,7.4367
2022.12.05 15:00:00,6.9268597468332604,R,6.9269
2022.12.05 16:00:00,7.212069143904635,R,7.2121
2022.12.05 17:00:00,5.48,H,5.48
2022.12.05 18:00:00,4.7098,H,4.7098
2022.12.05 19:00:00,4.3642,H,4.3642
2022.12.05 20:00:00,4.0338,H,4.0338
2022.12.05 21:00:00,2.5968,H,2.5968
2022.12.05 22:00:00,1.8328,H,1.8328
2022.12.05 23:00:00,1.5817,H,1.5817
2022.12.06 00:00:00,0.3647,H,0.3647
2022.12.06 01:00:00,-0.4455,H,-0.4455
2022.12.06 02:00:00,-0.8743,H,-0.8743
2022.12.06 03:00:00,0.1642,H,0.1642
2022.12.06 04:00:00,0.1095,H,0.1095
2022.12.06 05:00:00,0.8407,H,0.8407
2022.12.06 06:00:00,1.276,H,1.276
2022.12.06 07:00:00,1.474,H,1.474
