date_time,th
2022-12-01 00:00:00,NA
2022-12-01 01:00:00,5.9655
2022-12-01 02:00:00,6.085
2022-12-01 03:00:00,5.7085
2022-12-01 04:00:00,5.1062
2022-12-01 05:00:00,4.9157
2022-12-01 06:00:00,4.8117
2022-12-01 07:00:00,4.8117
2022-12-01 08:00:00,4.7943
2022-12-01 09:00:00,5.0023
2022-12-01 10:00:00,5.0543
2022-12-01 11:00:00,5.0197
2022-12-01 12:00:00,5.037
2022-12-01 13:00:00,5.0717
2022-12-01 14:00:00,5.1582
2022-12-01 15:00:00,4.6903
2022-12-01 16:00:00,4.4815
2022-12-01 17:00:00,4.3072
2022-12-01 18:00:00,4.01
2022-12-01 19:00:00,3.9047
2022-12-01 20:00:00,3.7815
2022-12-01 21:00:00,3.6583
2022-12-01 22:00:00,3.623
2022-12-01 23:00:00,3.6407
2022-12-02 00:00:00,3.676
2022-12-02 01:00:00,3.6053
2022-12-02 02:00:00,3.4817
2022-12-02 03:00:00,3.411
2022-12-02 04:00:00,3.3933
2022-12-02 05:00:00,3.4463
2022-12-02 06:00:00,3.517
2022-12-02 07:00:00,3.6053
2022-12-02 08:00:00,3.6407
2022-12-02 09:00:00,3.7288
2022-12-02 10:00:00,4.0623
2022-12-02 11:00:00,4.255
2022-12-02 12:00:00,4.29
2022-12-02 13:00:00,4.255
2022-12-02 14:00:00,4.464
2022-12-02 15:00:00,4.7077
2022-12-02 16:00:00,4.5338
2022-12-02 17:00:00,4.3073
2022-12-02 18:00:00,4.08
2022-12-02 19:00:00,4.045
2022-12-02 20:00:00,4.0625
2022-12-02 21:00:00,3.9222
2022-12-02 22:00:00,3.8517
2022-12-02 23:00:00,3.7638
2022-12-03 00:00:00,2.8942
2022-12-03 01:00:00,1.7827
2022-12-03 02:00:00,2
2022-12-03 03:00:00,1.819
2022-12-03 04:00:00,2.0358
2022-12-03 05:00:00,2.216
2022-12-03 06:00:00,2.054
2022-12-03 07:00:00,2.198
2022-12-03 08:00:00,2.072
2022-12-03 09:00:00,2.324
2022-12-03 10:00:00,2.4317
2022-12-03 11:00:00,2.7183
2022-12-03 12:00:00,2.95
2022-12-03 13:00:00,3.0212
2022-12-03 14:00:00,3.2873
2022-12-03 15:00:00,3.358
2022-12-03 16:00:00,3.4463
2022-12-03 17:00:00,3.3403
2022-12-03 18:00:00,3.2163
2022-12-03 19:00:00,2.9857
2022-12-03 20:00:00,2.5393
2022-12-03 21:00:00,2.1618
2022-12-03 22:00:00,1.5465
2022-12-03 23:00:00,1.273
2022-12-04 00:00:00,1.401
2022-12-04 01:00:00,1.2553
2022-12-04 02:00:00,1.2917
2022-12-04 03:00:00,1.4922
2022-12-04 04:00:00,1.3647
2022-12-04 05:00:00,1.4558
2022-12-04 06:00:00,1.1457
2022-12-04 07:00:00,1.0727
2022-12-04 08:00:00,1.3282
2022-12-04 09:00:00,1.692
2022-12-04 10:00:00,2.0177
2022-12-04 11:00:00,2.432
2022-12-04 12:00:00,2.5213
2022-12-04 13:00:00,2.5035
2022-12-04 14:00:00,2.396
2022-12-04 15:00:00,2.378
2022-12-04 16:00:00,2.378
2022-12-04 17:00:00,2.36
2022-12-04 18:00:00,2.342
2022-12-04 19:00:00,2.36
2022-12-04 20:00:00,2.4678
2022-12-04 21:00:00,2.557
2022-12-04 22:00:00,2.647
2022-12-04 23:00:00,2.647
2022-12-05 00:00:00,2.7185
2022-12-05 01:00:00,2.6288
2022-12-05 02:00:00,2.5393
2022-12-05 03:00:00,2.7363
2022-12-05 04:00:00,2.8077
2022-12-05 05:00:00,3.586
2022-12-05 06:00:00,4.6207
2022-12-05 07:00:00,4.9677
2022-12-05 08:00:00,5.0888
2022-12-05 09:00:00,5.4682
2022-12-05 10:00:00,6.2725
2022-12-05 11:00:00,7.7252
2022-12-05 12:00:00,8.0935
2022-12-05 13:00:00,7.6922
2022-12-05 14:00:00,7.1542
2022-12-05 15:00:00,7.5578
2022-12-05 16:00:00,6.8665
2022-12-05 17:00:00,6.1533
2022-12-05 18:00:00,5.3993
2022-12-05 19:00:00,5.1922
2022-12-05 20:00:00,5.0523
2022-12-05 21:00:00,3.6225
2022-12-05 22:00:00,2.2695
2022-12-05 23:00:00,1.9275
2022-12-06 00:00:00,1.8007
2022-12-06 01:00:00,0.9985
2022-12-06 02:00:00,0.4272
2022-12-06 03:00:00,1.0535
2022-12-06 04:00:00,1.3465
2022-12-06 05:00:00,1.7645
2022-12-06 06:00:00,2.18
2022-12-06 07:00:00,2.4857
2022-12-06 08:00:00,2.6287
2022-12-06 09:00:00,3.393
2022-12-06 10:00:00,5.276
2022-12-06 11:00:00,6.9827
2022-12-06 12:00:00,7.1675
2022-12-06 13:00:00,7.4703
2022-12-06 14:00:00,6.102
2022-12-06 15:00:00,5.7603
2022-12-06 16:00:00,5.1748
2022-12-06 17:00:00,4.1843
2022-12-06 18:00:00,4.15
2022-12-06 19:00:00,4.15
2022-12-06 20:00:00,4.045
2022-12-06 21:00:00,3.8518
2022-12-06 22:00:00,3.6053
2022-12-06 23:00:00,3.5347
2022-12-07 00:00:00,3.5877
2022-12-07 01:00:00,3.5523
2022-12-07 02:00:00,3.5877
2022-12-07 03:00:00,3.5877
2022-12-07 04:00:00,3.3403
2022-12-07 05:00:00,3.1098
2022-12-07 06:00:00,2.7538
2022-12-07 07:00:00,1.655
2022-12-07 08:00:00,0.8325
2022-12-07 09:00:00,1.718
2022-12-07 10:00:00,4.6983
2022-12-07 11:00:00,7.369
2022-12-07 12:00:00,7.4735
2022-12-07 13:00:00,6.6467
2022-12-07 14:00:00,6.2045
2022-12-07 15:00:00,5.8115
2022-12-07 16:00:00,4.9148
2022-12-07 17:00:00,2.6243
2022-12-07 18:00:00,1.1637
2022-12-07 19:00:00,0.8332
2022-12-07 20:00:00,0.4272
2022-12-07 21:00:00,0.371
2022-12-07 22:00:00,-0.225
2022-12-07 23:00:00,0.6853
2022-12-08 00:00:00,0.7407
2022-12-08 01:00:00,-0.319
2022-12-08 02:00:00,-1.2845
2022-12-08 03:00:00,-1.8412
2022-12-08 04:00:00,-1.7642
2022-12-08 05:00:00,-1.3415
2022-12-08 06:00:00,-1.8225
2022-12-08 07:00:00,-1.7457
2022-12-08 08:00:00,-1.0757
2022-12-08 09:00:00,0.3152
2022-12-08 10:00:00,2.2818
2022-12-08 11:00:00,3.9512
2022-12-08 12:00:00,3.3642
2022-12-08 13:00:00,5.8425
2022-12-08 14:00:00,3.6753
2022-12-08 15:00:00,3.7285
2022-12-08 16:00:00,2.7325
2022-12-08 17:00:00,0.5918
2022-12-08 18:00:00,-0.7903
2022-12-08 19:00:00,-1.132
2022-12-08 20:00:00,-1.5338
2022-12-08 21:00:00,-1.9377
2022-12-08 22:00:00,-2.0932
2022-12-08 23:00:00,-1.9183
2022-12-09 00:00:00,-2.1317
2022-12-09 01:00:00,-2.7765
2022-12-09 02:00:00,-3.0722
2022-12-09 03:00:00,-2.678
2022-12-09 04:00:00,-2.5605
2022-12-09 05:00:00,-2.5605
2022-12-09 06:00:00,-2.3652
2022-12-09 07:00:00,-1.9958
2022-12-09 08:00:00,-1.8218
2022-12-09 09:00:00,-1.3225
2022-12-09 10:00:00,-0.961
2022-12-09 11:00:00,-0.1125
2022-12-09 12:00:00,0.2417
2022-12-09 13:00:00,0.0927
2022-12-09 14:00:00,0.316
2022-12-09 15:00:00,0.3347
2022-12-09 16:00:00,0.0928
2022-12-09 17:00:00,0.1303
2022-12-09 18:00:00,0.093
2022-12-09 19:00:00,0.2045
2022-12-09 20:00:00,0.3347
2022-12-09 21:00:00,0.483
2022-12-09 22:00:00,0.483
2022-12-09 23:00:00,0.5015
2022-12-10 00:00:00,0.594
2022-12-10 01:00:00,0.594
2022-12-10 02:00:00,0.6865
2022-12-10 03:00:00,0.705
2022-12-10 04:00:00,0.668
2022-12-10 05:00:00,0.5385
2022-12-10 06:00:00,0.483
2022-12-10 07:00:00,0.483
2022-12-10 08:00:00,0.52
2022-12-10 09:00:00,0.594
2022-12-10 10:00:00,0.6495
2022-12-10 11:00:00,0.7417
2022-12-10 12:00:00,0.668
2022-12-10 13:00:00,0.594
2022-12-10 14:00:00,0.5755
2022-12-10 15:00:00,0.52
2022-12-10 16:00:00,0.4275
2022-12-10 17:00:00,0.3347
2022-12-10 18:00:00,0.26
2022-12-10 19:00:00,0.26
2022-12-10 20:00:00,-0.2267
2022-12-10 21:00:00,-1.2653
2022-12-10 22:00:00,-1.0938
2022-12-10 23:00:00,-1.8218
2022-12-11 00:00:00,-1.5907
2022-12-11 01:00:00,-1.4947
2022-12-11 02:00:00,-1.265
2022-12-11 03:00:00,-1.5912
2022-12-11 04:00:00,-1.7833
2022-12-11 05:00:00,-2.0347
2022-12-11 06:00:00,-2.1513
2022-12-11 07:00:00,-3.1925
2022-12-11 08:00:00,-3.6497
2022-12-11 09:00:00,-2.7183
2022-12-11 10:00:00,-1.3445
2022-12-11 11:00:00,-0.5097
2022-12-11 12:00:00,-0.4335
2022-12-11 13:00:00,-1.0367
2022-12-11 14:00:00,-1.4945
2022-12-11 15:00:00,-1.7063
2022-12-11 16:00:00,-2.6015
2022-12-11 17:00:00,-3.61
2022-12-11 18:00:00,-4.2945
2022-12-11 19:00:00,-4.7843
2022-12-11 20:00:00,-5.0722
2022-12-11 21:00:00,-4.295
2022-12-11 22:00:00,-4.1122
2022-12-11 23:00:00,-4.4775
2022-12-12 00:00:00,-4.8462
2022-12-12 01:00:00,-5.2582
2022-12-12 02:00:00,-5.2997
2022-12-12 03:00:00,-5.4663
2022-12-12 04:00:00,-6.074
2022-12-12 05:00:00,-6.3282
2022-12-12 06:00:00,-6.456
2022-12-12 07:00:00,-6.2008
2022-12-12 08:00:00,-5.7383
2022-12-12 09:00:00,-5.0722
2022-12-12 10:00:00,-4.7432
2022-12-12 11:00:00,-4.3352
2022-12-12 12:00:00,-4.132
2022-12-12 13:00:00,-3.7695
2022-12-12 14:00:00,-3.9705
2022-12-12 15:00:00,-4.0713
2022-12-12 16:00:00,-4.213
2022-12-12 17:00:00,-4.3757
2022-12-12 18:00:00,-4.4978
2022-12-12 19:00:00,-4.559
2022-12-12 20:00:00,-5.0723
2022-12-12 21:00:00,-5.2997
2022-12-12 22:00:00,-5.4247
2022-12-12 23:00:00,-5.383
2022-12-13 00:00:00,-5.3622
2022-12-13 01:00:00,-5.383
2022-12-13 02:00:00,-5.6538
2022-12-13 03:00:00,-5.5497
2022-12-13 04:00:00,-5.7793
2022-12-13 05:00:00,-5.758
2022-12-13 06:00:00,-5.8212
2022-12-13 07:00:00,-6.011
2022-12-13 08:00:00,-6.011
2022-12-13 09:00:00,-5.5707
2022-12-13 10:00:00,-4.949
2022-12-13 11:00:00,-4.4372
2022-12-13 12:00:00,-4.3553
2022-12-13 13:00:00,-4.3553
2022-12-13 14:00:00,-3.8712
2022-12-13 15:00:00,-3.7898
2022-12-13 16:00:00,-3.85
2022-12-13 17:00:00,-3.79
2022-12-13 18:00:00,-3.5492
2022-12-13 19:00:00,-3.37
2022-12-13 20:00:00,-3.0922
2022-12-13 21:00:00,-2.9537
2022-12-13 22:00:00,-2.9737
2022-12-13 23:00:00,-2.7958
2022-12-14 00:00:00,-2.6585
2022-12-14 01:00:00,-2.3847
2022-12-14 02:00:00,-2.1705
2022-12-14 03:00:00,-2.2677
2022-12-14 04:00:00,-2.1512
2022-12-14 05:00:00,-1.957
2022-12-14 06:00:00,-1.764
2022-12-14 07:00:00,-1.7447
2022-12-14 08:00:00,-1.5332
2022-12-14 09:00:00,-1.2843
2022-12-14 10:00:00,-0.885
2022-12-14 11:00:00,-0.3933
2022-12-14 12:00:00,-0.356
2022-12-14 13:00:00,-0.1873
2022-12-14 14:00:00,-3e-4
2022-12-14 15:00:00,0.0743
2022-12-14 16:00:00,0.1487
2022-12-14 17:00:00,-0.0563
2022-12-14 18:00:00,0.037
2022-12-14 19:00:00,0.093
2022-12-14 20:00:00,0.223
2022-12-14 21:00:00,0.0183
2022-12-14 22:00:00,-0.131
2022-12-14 23:00:00,-0.1683
2022-12-15 00:00:00,-0.3933
2022-12-15 01:00:00,-0.525
2022-12-15 02:00:00,-0.639
2022-12-15 03:00:00,-0.639
2022-12-15 04:00:00,-0.7902
2022-12-15 05:00:00,-1.0173
2022-12-15 06:00:00,-1.0747
2022-12-15 07:00:00,-1.3605
2022-12-15 08:00:00,-1.61
2022-12-15 09:00:00,-1.5907
2022-12-15 10:00:00,-1.4178
2022-12-15 11:00:00,-1.3223
2022-12-15 12:00:00,-1.3033
2022-12-15 13:00:00,-1.0365
2022-12-15 14:00:00,-0.9982
2022-12-15 15:00:00,-1.0365
2022-12-15 16:00:00,-1.189
2022-12-15 17:00:00,-1.265
2022-12-15 18:00:00,-1.151
2022-12-15 19:00:00,-1.094
2022-12-15 20:00:00,-1.189
2022-12-15 21:00:00,-1.3987
2022-12-15 22:00:00,-1.6868
2022-12-15 23:00:00,-1.8217
2022-12-16 00:00:00,-1.8797
2022-12-16 01:00:00,-1.899
2022-12-16 02:00:00,-1.8603
2022-12-16 03:00:00,-1.899
2022-12-16 04:00:00,-1.9377
2022-12-16 05:00:00,-2.015
2022-12-16 06:00:00,-2.015
2022-12-16 07:00:00,-2.0345
2022-12-16 08:00:00,-2.132
2022-12-16 09:00:00,-1.9763
2022-12-16 10:00:00,-2.0735
2022-12-16 11:00:00,-2.0735
2022-12-16 12:00:00,-1.841
2022-12-16 13:00:00,-1.5332
2022-12-16 14:00:00,-1.5715
2022-12-16 15:00:00,-1.9185
2022-12-16 16:00:00,-2.1512
2022-12-16 17:00:00,-2.2093
2022-12-16 18:00:00,-2.2292
2022-12-16 19:00:00,-2.5607
2022-12-16 20:00:00,-2.5997
2022-12-16 21:00:00,-3.1523
2022-12-16 22:00:00,-3.59
2022-12-16 23:00:00,-3.1513
2022-12-17 00:00:00,-3.1315
2022-12-17 01:00:00,-3.1517
2022-12-17 02:00:00,-4.7242
2022-12-17 03:00:00,-4.7847
2022-12-17 04:00:00,-5.6752
2022-12-17 05:00:00,-5.7165
2022-12-17 06:00:00,-6.011
2022-12-17 07:00:00,-6.1162
2022-12-17 08:00:00,-6.095
2022-12-17 09:00:00,-5.8643
2022-12-17 10:00:00,-5.4875
2022-12-17 11:00:00,-5.2585
2022-12-17 12:00:00,-5.0722
2022-12-17 13:00:00,-4.846
2022-12-17 14:00:00,-4.743
2022-12-17 15:00:00,-4.8258
2022-12-17 16:00:00,-5.3622
2022-12-17 17:00:00,-5.2377
2022-12-17 18:00:00,-5.6122
2022-12-17 19:00:00,-5.7583
2022-12-17 20:00:00,-5.9475
2022-12-17 21:00:00,-5.6957
2022-12-17 22:00:00,-5.7372
2022-12-17 23:00:00,-5.8842
2022-12-18 00:00:00,-6.074
2022-12-18 01:00:00,-6.3282
