"Plot-Titel: 10347327"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347327, SEN S/N: 10347327)","Intensität, Lux (LGR S/N: 10347327, SEN S/N: 10347327)","Koppler verbunden (LGR S/N: 10347327)","Host verbunden (LGR S/N: 10347327)","Angehalten (LGR S/N: 10347327)","Dateiende (LGR S/N: 10347327)"
1,11.30.22 01:00:00 AM,6.573,0.0,,,,
2,11.30.22 01:10:00 AM,6.573,0.0,,,,
3,11.30.22 01:20:00 AM,6.573,0.0,,,,
4,11.30.22 01:30:00 AM,6.573,0.0,,,,
5,11.30.22 01:40:00 AM,6.573,0.0,,,,
6,11.30.22 01:50:00 AM,6.573,0.0,,,,
7,11.30.22 02:00:00 AM,6.573,0.0,,,,
8,11.30.22 02:10:00 AM,6.573,0.0,,,,
9,11.30.22 02:20:00 AM,6.573,0.0,,,,
10,11.30.22 02:30:00 AM,6.573,0.0,,,,
11,11.30.22 02:40:00 AM,6.370,0.0,,,,
12,11.30.22 02:50:00 AM,6.370,0.0,,,,
13,11.30.22 03:00:00 AM,6.268,0.0,,,,
14,11.30.22 03:10:00 AM,6.268,0.0,,,,
15,11.30.22 03:20:00 AM,6.268,0.0,,,,
16,11.30.22 03:30:00 AM,6.166,0.0,,,,
17,11.30.22 03:40:00 AM,6.166,0.0,,,,
18,11.30.22 03:50:00 AM,6.268,0.0,,,,
19,11.30.22 04:00:00 AM,6.268,0.0,,,,
20,11.30.22 04:10:00 AM,6.370,0.0,,,,
21,11.30.22 04:20:00 AM,6.471,0.0,,,,
22,11.30.22 04:30:00 AM,6.471,0.0,,,,
23,11.30.22 04:40:00 AM,6.573,0.0,,,,
24,11.30.22 04:50:00 AM,6.573,0.0,,,,
25,11.30.22 05:00:00 AM,6.471,0.0,,,,
26,11.30.22 05:10:00 AM,6.370,0.0,,,,
27,11.30.22 05:20:00 AM,6.268,0.0,,,,
28,11.30.22 05:30:00 AM,6.268,0.0,,,,
29,11.30.22 05:40:00 AM,6.064,0.0,,,,
30,11.30.22 05:50:00 AM,5.757,0.0,,,,
