"Plot-Titel: 10347367"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10347367, SEN S/N: 10347367)","Intensität, Lux (LGR S/N: 10347367, SEN S/N: 10347367)","Dateiende (LGR S/N: 10347367)"
1,11.30.22 01:00:00 AM,20.043,0.0,
2,11.30.22 01:00:10 AM,20.043,0.0,
3,11.30.22 01:00:20 AM,20.043,0.0,
4,11.30.22 01:00:30 AM,20.043,0.0,
5,11.30.22 01:00:40 AM,20.043,0.0,
6,11.30.22 01:00:50 AM,20.043,0.0,
7,11.30.22 01:01:00 AM,20.043,0.0,
8,11.30.22 01:01:10 AM,20.043,0.0,
9,11.30.22 01:01:20 AM,20.043,0.0,
10,11.30.22 01:01:30 AM,20.043,0.0,
11,11.30.22 01:01:40 AM,20.043,0.0,
12,11.30.22 01:01:50 AM,20.043,0.0,
13,11.30.22 01:02:00 AM,20.043,0.0,
14,11.30.22 01:02:10 AM,20.043,0.0,
15,11.30.22 01:02:20 AM,20.043,0.0,
16,11.30.22 01:02:30 AM,20.043,0.0,
17,11.30.22 01:02:40 AM,20.043,0.0,
18,11.30.22 01:02:50 AM,20.043,0.0,
19,11.30.22 01:03:00 AM,20.043,0.0,
20,11.30.22 01:03:10 AM,20.043,0.0,
21,11.30.22 01:03:20 AM,20.043,0.0,
22,11.30.22 01:03:30 AM,20.043,0.0,
23,11.30.22 01:03:40 AM,20.043,0.0,
24,11.30.22 01:03:50 AM,20.043,0.0,
25,11.30.22 01:04:00 AM,20.043,0.0,
26,11.30.22 01:04:10 AM,20.043,0.0,
27,11.30.22 01:04:20 AM,20.043,0.0,
28,11.30.22 01:04:30 AM,20.043,0.0,
29,11.30.22 01:04:40 AM,20.043,0.0,
30,11.30.22 01:04:50 AM,20.043,0.0,
31,11.30.22 01:05:00 AM,20.043,0.0,
32,11.30.22 01:05:10 AM,20.043,0.0,
33,11.30.22 01:05:20 AM,20.043,0.0,
34,11.30.22 01:05:30 AM,20.043,0.0,
35,11.30.22 01:05:40 AM,20.043,0.0,
36,11.30.22 01:05:50 AM,20.043,0.0,
37,11.30.22 01:06:00 AM,20.043,0.0,
38,11.30.22 01:06:10 AM,20.043,0.0,
39,11.30.22 01:06:20 AM,20.043,0.0,
40,11.30.22 01:06:30 AM,20.043,0.0,
41,11.30.22 01:06:40 AM,20.043,0.0,
42,11.30.22 01:06:50 AM,20.043,0.0,
43,11.30.22 01:07:00 AM,20.043,0.0,
44,11.30.22 01:07:10 AM,20.043,0.0,
45,11.30.22 01:07:20 AM,20.043,0.0,
46,11.30.22 01:07:30 AM,20.043,0.0,
47,11.30.22 01:07:40 AM,20.043,0.0,
48,11.30.22 01:07:50 AM,20.043,0.0,
49,11.30.22 01:08:00 AM,20.043,0.0,
50,11.30.22 01:08:10 AM,20.043,0.0,
51,11.30.22 01:08:20 AM,20.043,0.0,
52,11.30.22 01:08:30 AM,20.043,0.0,
53,11.30.22 01:08:40 AM,20.043,0.0,
54,11.30.22 01:08:50 AM,20.043,0.0,
55,11.30.22 01:09:00 AM,20.043,0.0,
56,11.30.22 01:09:10 AM,20.043,0.0,
57,11.30.22 01:09:20 AM,20.043,0.0,
58,11.30.22 01:09:30 AM,20.043,0.0,
59,11.30.22 01:09:40 AM,20.043,0.0,
60,11.30.22 01:09:50 AM,20.043,0.0,
61,11.30.22 01:10:00 AM,20.043,0.0,
62,11.30.22 01:10:10 AM,20.043,0.0,
63,11.30.22 01:10:20 AM,20.043,0.0,
64,11.30.22 01:10:30 AM,20.043,0.0,
65,11.30.22 01:10:40 AM,20.043,0.0,
66,11.30.22 01:10:50 AM,20.043,0.0,
67,11.30.22 01:11:00 AM,20.043,0.0,
68,11.30.22 01:11:10 AM,20.043,0.0,
69,11.30.22 01:11:20 AM,20.043,0.0,
70,11.30.22 01:11:30 AM,20.043,0.0,
71,11.30.22 01:11:40 AM,20.043,0.0,
72,11.30.22 01:11:50 AM,20.043,0.0,
73,11.30.22 01:12:00 AM,20.043,0.0,
74,11.30.22 01:12:10 AM,20.043,0.0,
75,11.30.22 01:12:20 AM,20.043,0.0,
76,11.30.22 01:12:30 AM,20.043,0.0,
