"Plot-Titel: 10349997"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_TEMP)","Intensität, Lux (LGR S/N: 10349997, SEN S/N: 10349997, LBL: CFB045_NW_Light)","Koppler verbunden (LGR S/N: 10349997)","Host verbunden (LGR S/N: 10349997)","Angehalten (LGR S/N: 10349997)","Dateiende (LGR S/N: 10349997)"
1,11.30.22 01:00:00 AM,7.381,0.0,,,,
2,11.30.22 01:10:00 AM,7.381,0.0,,,,
3,11.30.22 01:20:00 AM,7.280,0.0,,,,
4,11.30.22 01:30:00 AM,7.381,0.0,,,,
5,11.30.22 01:40:00 AM,7.280,0.0,,,,
6,11.30.22 01:50:00 AM,7.280,0.0,,,,
7,11.30.22 02:00:00 AM,7.280,0.0,,,,
8,11.30.22 02:10:00 AM,7.280,0.0,,,,
9,11.30.22 02:20:00 AM,7.179,0.0,,,,
10,11.30.22 02:30:00 AM,7.179,0.0,,,,
11,11.30.22 02:40:00 AM,7.179,0.0,,,,
12,11.30.22 02:50:00 AM,7.079,0.0,,,,
13,11.30.22 03:00:00 AM,6.978,0.0,,,,
14,11.30.22 03:10:00 AM,6.978,0.0,,,,
15,11.30.22 03:20:00 AM,6.978,0.0,,,,
16,11.30.22 03:30:00 AM,6.978,0.0,,,,
17,11.30.22 03:40:00 AM,6.877,0.0,,,,
18,11.30.22 03:50:00 AM,6.775,0.0,,,,
19,11.30.22 04:00:00 AM,6.877,0.0,,,,
20,11.30.22 04:10:00 AM,6.978,0.0,,,,
21,11.30.22 04:20:00 AM,7.079,0.0,,,,
22,11.30.22 04:30:00 AM,6.978,0.0,,,,
23,11.30.22 04:40:00 AM,6.978,0.0,,,,
24,11.30.22 04:50:00 AM,6.978,0.0,,,,
25,11.30.22 05:00:00 AM,6.978,0.0,,,,
26,11.30.22 05:10:00 AM,6.877,0.0,,,,
27,11.30.22 05:20:00 AM,6.775,0.0,,,,
28,11.30.22 05:30:00 AM,6.775,0.0,,,,
29,11.30.22 05:40:00 AM,6.674,0.0,,,,
30,11.30.22 05:50:00 AM,6.471,0.0,,,,
31,11.30.22 06:00:00 AM,6.370,0.0,,,,
32,11.30.22 06:10:00 AM,6.370,0.0,,,,
33,11.30.22 06:20:00 AM,6.471,0.0,,,,
34,11.30.22 06:30:00 AM,6.573,0.0,,,,
35,11.30.22 06:40:00 AM,6.573,0.0,,,,
36,11.30.22 06:50:00 AM,6.573,0.0,,,,
37,11.30.22 07:00:00 AM,6.573,0.0,,,,
38,11.30.22 07:10:00 AM,6.573,0.0,,,,
39,11.30.22 07:20:00 AM,6.573,0.0,,,,
40,11.30.22 07:30:00 AM,6.573,0.0,,,,
41,11.30.22 07:40:00 AM,6.573,0.0,,,,
42,11.30.22 07:50:00 AM,6.573,21.5,,,,
43,11.30.22 08:00:00 AM,6.573,215.3,,,,
44,11.30.22 08:10:00 AM,6.674,236.8,,,,
45,11.30.22 08:20:00 AM,6.775,301.4,,,,
46,11.30.22 08:30:00 AM,6.877,322.9,,,,
47,11.30.22 08:40:00 AM,6.877,441.3,,,,
48,11.30.22 08:50:00 AM,6.978,688.9,,,,
49,11.30.22 09:00:00 AM,6.978,785.8,,,,
50,11.30.22 09:10:00 AM,7.079,721.2,,,,
51,11.30.22 09:20:00 AM,7.179,721.2,,,,
52,11.30.22 09:30:00 AM,7.280,592.0,,,,
53,11.30.22 09:40:00 AM,7.280,538.2,,,,
54,11.30.22 09:50:00 AM,7.381,818.1,,,,
55,11.30.22 10:00:00 AM,7.582,1377.8,,,,
56,11.30.22 10:10:00 AM,7.782,2066.7,,,,
57,11.30.22 10:20:00 AM,8.282,2755.6,,,,
58,11.30.22 10:30:00 AM,8.680,3444.5,,,,
59,11.30.22 10:40:00 AM,9.077,3272.2,,,,
60,11.30.22 10:50:00 AM,9.472,3616.7,,,,
61,11.30.22 11:00:00 AM,9.768,3616.7,,,,
62,11.30.22 11:10:00 AM,9.965,3961.1,,,,
63,11.30.22 11:20:00 AM,9.965,2411.1,,,,
64,11.30.22 11:30:00 AM,9.571,2152.8,,,,
65,11.30.22 11:40:00 AM,9.373,2411.1,,,,
66,11.30.22 11:50:00 AM,9.571,2669.5,,,,
67,11.30.22 12:00:00 PM,9.866,3272.2,,,,
68,11.30.22 12:10:00 PM,10.161,3272.2,,,,
69,11.30.22 12:20:00 PM,10.259,2927.8,,,,
70,11.30.22 12:30:00 PM,10.161,2497.2,,,,
71,11.30.22 12:40:00 PM,10.357,3444.5,,,,
72,11.30.22 12:50:00 PM,11.041,5166.7,,,,
73,11.30.22 01:00:00 PM,12.110,13089.0,,,,
74,11.30.22 01:10:00 PM,14.230,19977.9,,,,
75,11.30.22 01:20:00 PM,18.616,37200.2,,,,
76,11.30.22 01:30:00 PM,22.717,34444.7,,,,
77,11.30.22 01:40:00 PM,21.760,5338.9,,,,
78,11.30.22 01:50:00 PM,18.045,7233.4,,,,
79,11.30.22 02:00:00 PM,13.558,2152.8,,,,
80,11.30.22 02:10:00 PM,12.013,1894.5,,,,
81,11.30.22 02:20:00 PM,11.431,1980.6,,,,
82,11.30.22 02:30:00 PM,11.041,1377.8,,,,
83,11.30.22 02:40:00 PM,10.553,861.1,,,,
84,11.30.22 02:50:00 PM,10.357,990.3,,,,
85,11.30.22 03:00:00 PM,10.063,1054.9,,,,
86,11.30.22 03:10:00 PM,10.161,828.8,,,,
87,11.30.22 03:20:00 PM,10.063,1087.2,,,,
88,11.30.22 03:30:00 PM,10.063,1248.6,,,,
89,11.30.22 03:40:00 PM,9.866,699.7,,,,
90,11.30.22 03:50:00 PM,9.768,398.3,,,,
91,11.30.22 04:00:00 PM,9.472,247.6,,,,
92,11.30.22 04:10:00 PM,9.176,96.9,,,,
93,11.30.22 04:20:00 PM,9.176,53.8,,,,
94,11.30.22 04:30:00 PM,9.176,32.3,,,,
95,11.30.22 04:40:00 PM,8.978,21.5,,,,
96,11.30.22 04:50:00 PM,8.978,0.0,,,,
97,11.30.22 05:00:00 PM,8.779,0.0,,,,
98,11.30.22 05:10:00 PM,8.680,0.0,,,,
99,11.30.22 05:20:00 PM,8.680,0.0,,,,
100,11.30.22 05:30:00 PM,8.481,0.0,,,,
101,11.30.22 05:40:00 PM,8.481,0.0,,,,
102,11.30.22 05:50:00 PM,8.382,0.0,,,,
103,11.30.22 06:00:00 PM,8.481,0.0,,,,
104,11.30.22 06:10:00 PM,8.382,0.0,,,,
105,11.30.22 06:20:00 PM,8.282,0.0,,,,
106,11.30.22 06:30:00 PM,8.282,0.0,,,,
