"Plot-Titel: 10350056"
"Anz.","Datum Zeit, GMT+01:00","Temp., °C (LGR S/N: 10350056, SEN S/N: 10350056)","Intensität, Lux (LGR S/N: 10350056, SEN S/N: 10350056)","Batterie defekt (LGR S/N: 10350056)","Koppler verbunden (LGR S/N: 10350056)","Host verbunden (LGR S/N: 10350056)","Angehalten (LGR S/N: 10350056)","Dateiende (LGR S/N: 10350056)"
1,11.30.22 01:00:00 AM,7.682,0.0,,,,,
2,11.30.22 01:10:00 AM,7.682,0.0,,,,,
3,11.30.22 01:20:00 AM,7.682,0.0,,,,,
4,11.30.22 01:30:00 AM,7.682,0.0,,,,,
5,11.30.22 01:40:00 AM,7.682,0.0,,,,,
6,11.30.22 01:50:00 AM,7.582,0.0,,,,,
7,11.30.22 02:00:00 AM,7.582,0.0,,,,,
8,11.30.22 02:10:00 AM,7.582,0.0,,,,,
9,11.30.22 02:20:00 AM,7.582,0.0,,,,,
10,11.30.22 02:30:00 AM,7.582,0.0,,,,,
11,11.30.22 02:40:00 AM,7.582,0.0,,,,,
12,11.30.22 02:50:00 AM,7.582,0.0,,,,,
13,11.30.22 03:00:00 AM,7.682,0.0,,,,,
14,11.30.22 03:10:00 AM,7.682,0.0,,,,,
15,11.30.22 03:20:00 AM,7.582,0.0,,,,,
16,11.30.22 03:30:00 AM,7.582,0.0,,,,,
17,11.30.22 03:40:00 AM,7.682,0.0,,,,,
18,11.30.22 03:50:00 AM,7.682,0.0,,,,,
19,11.30.22 04:00:00 AM,7.682,0.0,,,,,
20,11.30.22 04:10:00 AM,7.682,0.0,,,,,
21,11.30.22 04:20:00 AM,7.582,0.0,,,,,
22,11.30.22 04:30:00 AM,7.582,0.0,,,,,
23,11.30.22 04:40:00 AM,7.682,0.0,,,,,
24,11.30.22 04:50:00 AM,7.682,0.0,,,,,
25,11.30.22 05:00:00 AM,7.682,0.0,,,,,
26,11.30.22 05:10:00 AM,7.582,0.0,,,,,
27,11.30.22 05:20:00 AM,7.582,0.0,,,,,
28,11.30.22 05:30:00 AM,7.582,0.0,,,,,
29,11.30.22 05:40:00 AM,7.682,0.0,,,,,
30,11.30.22 05:50:00 AM,7.582,0.0,,,,,
31,11.30.22 06:00:00 AM,7.381,0.0,,,,,
32,11.30.22 06:10:00 AM,7.280,0.0,,,,,
33,11.30.22 06:20:00 AM,7.179,0.0,,,,,
34,11.30.22 06:30:00 AM,7.079,0.0,,,,,
35,11.30.22 06:40:00 AM,7.079,0.0,,,,,
36,11.30.22 06:50:00 AM,6.978,0.0,,,,,
37,11.30.22 07:00:00 AM,7.079,0.0,,,,,
38,11.30.22 07:10:00 AM,7.079,0.0,,,,,
39,11.30.22 07:20:00 AM,7.079,0.0,,,,,
40,11.30.22 07:30:00 AM,7.079,0.0,,,,,
41,11.30.22 07:40:00 AM,7.179,0.0,,,,,
42,11.30.22 07:50:00 AM,7.179,10.8,,,,,
43,11.30.22 08:00:00 AM,7.280,107.6,,,,,
44,11.30.22 08:10:00 AM,7.481,150.7,,,,,
45,11.30.22 08:20:00 AM,7.481,258.3,,,,,
46,11.30.22 08:30:00 AM,7.481,279.9,,,,,
47,11.30.22 08:40:00 AM,7.481,344.4,,,,,
48,11.30.22 08:50:00 AM,7.481,516.7,,,,,
49,11.30.22 09:00:00 AM,7.582,290.6,,,,,
50,11.30.22 09:10:00 AM,7.582,301.4,,,,,
51,11.30.22 09:20:00 AM,7.682,247.6,,,,,
52,11.30.22 09:30:00 AM,7.682,215.3,,,,,
53,11.30.22 09:40:00 AM,7.582,172.2,,,,,
54,11.30.22 09:50:00 AM,7.582,247.6,,,,,
55,11.30.22 10:00:00 AM,7.582,376.7,,,,,
56,11.30.22 10:10:00 AM,7.782,721.2,,,,,
57,11.30.22 10:20:00 AM,8.082,979.5,,,,,
58,11.30.22 10:30:00 AM,8.082,602.8,,,,,
59,11.30.22 10:40:00 AM,8.082,581.3,,,,,
60,11.30.22 10:50:00 AM,8.182,721.2,,,,,
61,11.30.22 11:00:00 AM,8.282,828.8,,,,,
62,11.30.22 11:10:00 AM,8.282,645.8,,,,,
63,11.30.22 11:20:00 AM,8.382,462.9,,,,,
64,11.30.22 11:30:00 AM,8.481,656.6,,,,,
65,11.30.22 11:40:00 AM,8.581,688.9,,,,,
66,11.30.22 11:50:00 AM,8.680,581.3,,,,,
67,11.30.22 12:00:00 PM,8.680,818.1,,,,,
68,11.30.22 12:10:00 PM,8.879,1001.0,,,,,
69,11.30.22 12:20:00 PM,8.978,882.6,,,,,
70,11.30.22 12:30:00 PM,8.978,613.5,,,,,
71,11.30.22 12:40:00 PM,9.176,979.5,,,,,
72,11.30.22 12:50:00 PM,9.571,1463.9,,,,,
73,11.30.22 01:00:00 PM,9.768,1894.5,,,,,
74,11.30.22 01:10:00 PM,10.553,4650.0,,,,,
75,11.30.22 01:20:00 PM,10.944,1722.2,,,,,
76,11.30.22 01:30:00 PM,10.944,4650.0,,,,,
77,11.30.22 01:40:00 PM,11.431,4305.6,,,,,
78,11.30.22 01:50:00 PM,10.553,1463.9,,,,,
79,11.30.22 02:00:00 PM,10.944,1894.5,,,,,
80,11.30.22 02:10:00 PM,10.748,1141.0,,,,,
81,11.30.22 02:20:00 PM,10.357,882.6,,,,,
82,11.30.22 02:30:00 PM,10.063,602.8,,,,,
83,11.30.22 02:40:00 PM,9.866,376.7,,,,,
84,11.30.22 02:50:00 PM,9.669,312.2,,,,,
85,11.30.22 03:00:00 PM,9.571,322.9,,,,,
86,11.30.22 03:10:00 PM,9.472,290.6,,,,,
87,11.30.22 03:20:00 PM,9.373,322.9,,,,,
88,11.30.22 03:30:00 PM,9.275,409.0,,,,,
89,11.30.22 03:40:00 PM,9.275,269.1,,,,,
90,11.30.22 03:50:00 PM,9.176,236.8,,,,,
91,11.30.22 04:00:00 PM,9.077,86.1,,,,,
92,11.30.22 04:10:00 PM,8.879,86.1,,,,,
93,11.30.22 04:20:00 PM,8.779,53.8,,,,,
94,11.30.22 04:30:00 PM,8.779,43.1,,,,,
95,11.30.22 04:40:00 PM,8.680,32.3,,,,,
96,11.30.22 04:50:00 PM,8.581,0.0,,,,,
97,11.30.22 05:00:00 PM,8.581,0.0,,,,,
98,11.30.22 05:10:00 PM,8.481,0.0,,,,,
99,11.30.22 05:20:00 PM,8.481,0.0,,,,,
100,11.30.22 05:30:00 PM,8.382,0.0,,,,,
101,11.30.22 05:40:00 PM,8.182,0.0,,,,,
102,11.30.22 05:50:00 PM,8.082,0.0,,,,,
103,11.30.22 06:00:00 PM,8.182,0.0,,,,,
104,11.30.22 06:10:00 PM,8.282,0.0,,,,,
105,11.30.22 06:20:00 PM,8.282,0.0,,,,,
106,11.30.22 06:30:00 PM,8.082,0.0,,,,,
107,11.30.22 06:40:00 PM,7.983,0.0,,,,,
108,11.30.22 06:50:00 PM,7.983,0.0,,,,,
109,11.30.22 07:00:00 PM,7.882,0.0,,,,,
110,11.30.22 07:10:00 PM,7.882,0.0,,,,,
111,11.30.22 07:20:00 PM,7.782,0.0,,,,,
112,11.30.22 07:30:00 PM,7.782,0.0,,,,,
113,11.30.22 07:40:00 PM,7.782,0.0,,,,,
114,11.30.22 07:50:00 PM,7.782,0.0,,,,,
115,11.30.22 08:00:00 PM,7.782,0.0,,,,,
116,11.30.22 08:10:00 PM,7.782,0.0,,,,,
117,11.30.22 08:20:00 PM,7.782,0.0,,,,,
118,11.30.22 08:30:00 PM,7.782,0.0,,,,,
119,11.30.22 08:40:00 PM,7.782,0.0,,,,,
120,11.30.22 08:50:00 PM,7.782,0.0,,,,,
121,11.30.22 09:00:00 PM,7.682,0.0,,,,,
122,11.30.22 09:10:00 PM,7.582,0.0,,,,,
123,11.30.22 09:20:00 PM,7.582,0.0,,,,,
124,11.30.22 09:30:00 PM,7.582,0.0,,,,,
125,11.30.22 09:40:00 PM,7.582,0.0,,,,,
126,11.30.22 09:50:00 PM,7.582,0.0,,,,,
127,11.30.22 10:00:00 PM,7.582,0.0,,,,,
128,11.30.22 10:10:00 PM,7.582,0.0,,,,,
129,11.30.22 10:20:00 PM,7.481,0.0,,,,,
130,11.30.22 10:30:00 PM,7.481,0.0,,,,,
131,11.30.22 10:40:00 PM,7.481,0.0,,,,,
132,11.30.22 10:50:00 PM,7.381,0.0,,,,,
133,11.30.22 11:00:00 PM,7.381,0.0,,,,,
134,11.30.22 11:10:00 PM,7.381,0.0,,,,,
135,11.30.22 11:20:00 PM,7.381,0.0,,,,,
136,11.30.22 11:30:00 PM,7.381,0.0,,,,,
137,11.30.22 11:40:00 PM,7.280,0.0,,,,,
138,11.30.22 11:50:00 PM,7.179,0.0,,,,,
139,12.01.22 12:00:00 AM,7.079,0.0,,,,,
140,12.01.22 12:10:00 AM,7.079,0.0,,,,,
141,12.01.22 12:20:00 AM,7.079,0.0,,,,,
142,12.01.22 12:30:00 AM,7.079,0.0,,,,,
143,12.01.22 12:40:00 AM,6.978,0.0,,,,,
144,12.01.22 12:50:00 AM,6.978,0.0,,,,,
145,12.01.22 01:00:00 AM,6.877,0.0,,,,,
146,12.01.22 01:10:00 AM,6.877,0.0,,,,,
147,12.01.22 01:20:00 AM,6.877,0.0,,,,,
148,12.01.22 01:30:00 AM,6.978,0.0,,,,,
149,12.01.22 01:40:00 AM,6.978,0.0,,,,,
150,12.01.22 01:50:00 AM,6.877,0.0,,,,,
151,12.01.22 02:00:00 AM,6.877,0.0,,,,,
152,12.01.22 02:10:00 AM,6.877,0.0,,,,,
153,12.01.22 02:20:00 AM,6.877,0.0,,,,,
154,12.01.22 02:30:00 AM,6.877,0.0,,,,,
155,12.01.22 02:40:00 AM,6.775,0.0,,,,,
156,12.01.22 02:50:00 AM,6.775,0.0,,,,,
157,12.01.22 03:00:00 AM,6.674,0.0,,,,,
158,12.01.22 03:10:00 AM,6.573,0.0,,,,,
159,12.01.22 03:20:00 AM,6.471,0.0,,,,,
160,12.01.22 03:30:00 AM,6.268,0.0,,,,,
161,12.01.22 03:40:00 AM,6.166,0.0,,,,,
162,12.01.22 03:50:00 AM,6.166,0.0,,,,,
163,12.01.22 04:00:00 AM,6.064,0.0,,,,,
164,12.01.22 04:10:00 AM,5.962,0.0,,,,,
165,12.01.22 04:20:00 AM,5.860,0.0,,,,,
166,12.01.22 04:30:00 AM,5.757,0.0,,,,,
167,12.01.22 04:40:00 AM,5.655,0.0,,,,,
168,12.01.22 04:50:00 AM,5.655,0.0,,,,,
169,12.01.22 05:00:00 AM,5.655,0.0,,,,,
170,12.01.22 05:10:00 AM,5.552,0.0,,,,,
171,12.01.22 05:20:00 AM,5.552,0.0,,,,,
172,12.01.22 05:30:00 AM,5.450,0.0,,,,,
173,12.01.22 05:40:00 AM,5.347,0.0,,,,,
174,12.01.22 05:50:00 AM,5.244,0.0,,,,,
175,12.01.22 06:00:00 AM,5.244,0.0,,,,,
176,12.01.22 06:10:00 AM,5.244,0.0,,,,,
177,12.01.22 06:20:00 AM,5.244,0.0,,,,,
178,12.01.22 06:30:00 AM,5.244,0.0,,,,,
179,12.01.22 06:40:00 AM,5.141,0.0,,,,,
180,12.01.22 06:50:00 AM,5.244,0.0,,,,,
181,12.01.22 07:00:00 AM,5.244,0.0,,,,,
182,12.01.22 07:10:00 AM,5.141,0.0,,,,,
183,12.01.22 07:20:00 AM,5.141,0.0,,,,,
