id,dttm,temp,lux
1,2023-10-23 00:00,9.999,0
2,2023-10-23 00:10,9.901,0
3,2023-10-23 00:20,9.803,0
4,2023-10-23 00:30,9.803,0
5,2023-10-23 00:40,9.607,0
6,2023-10-23 00:50,9.508,0
7,2023-10-23 01:00,9.508,0
8,2023-10-23 01:10,9.607,0
9,2023-10-23 01:20,9.508,0
10,2023-10-23 01:30,9.311,0
11,2023-10-23 01:40,9.015,0
12,2023-10-23 01:50,8.818,0
13,2023-10-23 02:00,8.62,0
14,2023-10-23 02:10,8.322,0
15,2023-10-23 02:20,8.223,0
16,2023-10-23 02:30,8.024,0
17,2023-10-23 02:40,7.724,0
18,2023-10-23 02:50,7.625,0
19,2023-10-23 03:00,7.424,0
20,2023-10-23 03:10,7.324,0
21,2023-10-23 03:20,7.123,0
22,2023-10-23 03:30,7.023,0
23,2023-10-23 03:40,6.922,0
24,2023-10-23 03:50,6.821,0
25,2023-10-23 04:00,6.62,0
26,2023-10-23 04:10,6.62,0
27,2023-10-23 04:20,6.62,0
28,2023-10-23 04:30,6.519,0
29,2023-10-23 04:40,6.316,0
30,2023-10-23 04:50,6.113,0
31,2023-10-23 05:00,6.012,0
32,2023-10-23 05:10,6.012,0
33,2023-10-23 05:20,5.91,0
34,2023-10-23 05:30,5.808,0
35,2023-10-23 05:40,5.604,0
36,2023-10-23 05:50,5.502,0
37,2023-10-23 06:00,5.399,0
38,2023-10-23 06:10,5.399,0
39,2023-10-23 06:20,5.297,0
40,2023-10-23 06:30,5.194,0
41,2023-10-23 06:40,5.297,0
42,2023-10-23 06:50,5.194,0
43,2023-10-23 07:00,5.194,0
44,2023-10-23 07:10,5.297,0
45,2023-10-23 07:20,5.297,0
46,2023-10-23 07:30,5.399,0
47,2023-10-23 07:40,5.502,0
48,2023-10-23 07:50,5.502,0
49,2023-10-23 08:00,5.604,0
50,2023-10-23 08:10,5.604,0
51,2023-10-23 08:20,5.604,0
52,2023-10-23 08:30,5.706,0
53,2023-10-23 08:40,5.706,0
54,2023-10-23 08:50,5.808,0
