name,hobo_id,github_name,data_available,region,latitude,longitude,exposition,altitude,influence,description
anonym1,10349997,anonym1,no,Freiburg,48.0315,7.8699,W,2,low,"Hanging from a piece of wire on the terrace facing the back garden of the house"
anonym2,10350012,anonym2,no,Freiburg,48.0174,7.8528,W,10,moderate,"hanging from cableties from balkony raylings in shade of tree"
anonym3,10088313,anonym3,no,Freiburg,48.0018,7.7911,N,0.04,low,"hanging from cableties at groundlevel at the backsid of a carport"
anonym4,10132405,anonym4,no,Freiburg,47.9758,7.8284,W,10,moderate,"Hanging on a west-side balcony behind some plants that grow along the balcony ralings"
anonym5,10350089,anonym5,no,Freiburg,47.9762,7.797,N,1.85,low,"Hanging on north side of a garde hut, underneath the roof of a woodshelter"
anonym6,10350002,anonym6,no,Freiburg,47.9893,7.7932,E,0.05,low,"Situated in some kind of dense bushes on the ground"
anonym7,10760820,anonym7,no,Freiburg,47.9773,7.8,N,1.94,low,"Hanging in open bike shed, completely shielded form rain and direct radiation"
anonym8,10760762,anonym8,no,Freiburg,47.9869,7.8436,W,1.7,low,"In Garden under roof with leafs of wine, trees in area   #changed coordinates"
anonym9,10760709,anonym9,no,Freiburg,47.9973,7.8254,N,8.5,moderate ,"balcony on the second floor, hanging on a board, under the roof of the upper floor, no direkt rain, near street lamps but in the shade of them, 1m from the building"
anonym10,10350016,anonym10,no,Freiburg,48.0081,7.8215,S,15,moderate ,"hanging on a balcony on the 5th floor covered by a plastic plant pot"
anonym11,10347314,anonym11,no,Freiburg,48.0057,7.8639,W,6,moderat,"hanging on the balcony under the roof"
anonym12,10350006,anonym12,no,Freiburg,48.0074,7.8201,S,1.1,low,"on the terrace, attached to the back of a seat made of pallets (between wooden planks) that stands against the wall/window (very well insulated house), no direct sunlight"
anonym13,10610853,anonym13,no,Freiburg,47.985,7.8361,N,12,moderate,"Hanging from ceiling on the balcony facing towards a highly frequented road"
anonym14,10347362,anonym14,no,Freiburg,47.982,7.7947,N,1.8,low,"hanging behind a tree, with 30 cm distance from the stem"
anonym15,10350017,anonym15,no,Freiburg,47.9885,7.85,N,2.5,low,"below plant pot. ontop of a wooden beam, the frame of an unused garage. South and east side were shielded by a wall facade."
anonym16,10801132,anonym16,no,Freiburg,47.5959,7.4837,S,20,low,"On balcony shielded to direct sunlight by concrete railing. Potentially warm air flows from the insight, when opening the balcony door."
