dttm,temp,origin
2023.10.23 00,9.2617,H
2023.10.23 01,8.2392,H
2023.10.23 02,7.6073,H
2023.10.23 03,7.1565,H
2023.10.23 04,6.8045,H
2023.10.23 05,6.9052,H
2023.10.23 06,7.3733,H
2023.10.23 07,8.7500,H
2023.10.23 08,8.3385,H
2023.10.23 09,9.2127,H
2023.10.23 10,10.2598,H
2023.10.23 11,10.4553,H
2023.10.23 12,11.0397,H
2023.10.23 13,11.9128,H
2023.10.23 14,13.4238,H
2023.10.23 15,12.7987,H
2023.10.23 16,11.6387,H
2023.10.23 17,12.2353,H
2023.10.23 18,12.1220,H
2023.10.23 19,10.5695,H
2023.10.23 20,10.5207,H
2023.10.23 21,10.5857,H
2023.10.23 22,10.9272,H
2023.10.23 23,10.6833,H
2023.10.24 00,10.5043,H
2023.10.24 01,10.4390,H
2023.10.24 02,10.5367,H
2023.10.24 03,11.2507,H
2023.10.24 04,12.0422,H
2023.10.24 05,12.5252,H
2023.10.24 06,12.7667,H
2023.10.24 07,12.7343,H
2023.10.24 08,12.7823,H
2023.10.24 09,13.1515,H
2023.10.24 10,12.5895,H
2023.10.24 11,12.3162,H
2023.10.24 12,12.6538,H
2023.10.24 13,13.0073,H
2023.10.24 14,12.9412,R
2023.10.24 15,15.3053,H
2023.10.24 16,14.2547,H
2023.10.24 17,13.4555,H
2023.10.24 18,12.3965,H
2023.10.24 19,12.2520,H
2023.10.24 20,11.9295,H
2023.10.24 21,11.3155,H
2023.10.24 22,11.0407,H
2023.10.24 23,10.8293,H
2023.10.25 00,10.5370,H
2023.10.25 01,10.0480,H
2023.10.25 02,9.1798,H
2023.10.25 03,8.7355,H
2023.10.25 04,8.8510,H
2023.10.25 05,8.8508,H
2023.10.25 06,8.3882,H
2023.10.25 07,9.2927,H
2023.10.25 08,11.8648,H
2023.10.25 09,14.1422,H
2023.10.25 10,15.7355,H
2023.10.25 11,16.5930,H
2023.10.25 12,16.8942,H
2023.10.25 13,14.4453,H
2023.10.25 14,13.6797,H
2023.10.25 15,14.4620,H
2023.10.25 16,14.1268,H
2023.10.25 17,13.1033,H
2023.10.25 18,12.6535,H
2023.10.25 19,13.1825,H
2023.10.25 20,11.8328,H
2023.10.25 21,12.3962,H
2023.10.25 22,13.4238,H
2023.10.25 23,13.2958,H
2023.10.26 00,12.9430,H
2023.10.26 01,13.2475,H
2023.10.26 02,13.4240,H
2023.10.26 03,12.7337,H
2023.10.26 04,11.3317,H
2023.10.26 05,11.1862,H
2023.10.26 06,11.4772,H
2023.10.26 07,11.6388,H
2023.10.26 08,12.4440,H
2023.10.26 09,14.0152,H
2023.10.26 10,15.0517,H
2023.10.26 11,16.0375,H
2023.10.26 12,17.0692,H
2023.10.26 13,16.4977,H
2023.10.26 14,14.6688,H
2023.10.26 15,12.8625,H
2023.10.26 16,12.2842,H
2023.10.26 17,12.0103,H
2023.10.26 18,11.4125,H
2023.10.26 19,10.8620,H
2023.10.26 20,10.4553,H
2023.10.26 21,10.0480,H
2023.10.26 22,9.5902,H
2023.10.26 23,9.5575,H
2023.10.27 00,9.5248,H
2023.10.27 01,9.4592,H
2023.10.27 02,9.3232,R
2023.10.27 03,9.2254,R
2023.10.27 04,9.2254,R
2023.10.27 05,11.1700,H
2023.10.27 06,11.2023,H
2023.10.27 07,11.2508,H
2023.10.27 08,11.3640,H
2023.10.27 09,11.9777,H
2023.10.27 10,11.9935,H
2023.10.27 11,12.0897,H
2023.10.27 12,12.4765,H
2023.10.27 13,12.2680,H
2023.10.27 14,12.9588,H
2023.10.27 15,12.8434,R
2023.10.27 16,14.2123,R
2023.10.27 17,13.0550,H
2023.10.27 18,12.1553,H
2023.10.27 19,11.4125,H
2023.10.27 20,10.8782,H
2023.10.27 21,10.1295,H
2023.10.27 22,9.8683,H
2023.10.27 23,10.8943,H
2023.10.28 00,11.5095,H
2023.10.28 01,11.7843,H
2023.10.28 02,11.8167,H
2023.10.28 03,11.8975,H
2023.10.28 04,11.7520,H
2023.10.28 05,12.0908,H
2023.10.28 06,12.2842,H
2023.10.28 07,12.3965,H
2023.10.28 08,13.0393,H
2023.10.28 09,13.9513,H
2023.10.28 10,15.0040,H
2023.10.28 11,15.7833,H
2023.10.28 12,15.8627,H
2023.10.28 13,16.1012,H
2023.10.28 14,15.5923,H
2023.10.28 15,15.1790,H
2023.10.28 16,14.1590,H
2023.10.28 17,13.4240,H
2023.10.28 18,13.0232,H
2023.10.28 19,12.4932,H
2023.10.28 20,13.0712,H
2023.10.28 21,13.2638,H
2023.10.28 22,13.9992,H
2023.10.28 23,15.4177,H
2023.10.29 00,16.1012,H
2023.10.29 01,14.3820,H
2023.10.29 02,12.7663,H
2023.10.29 03,12.7456,R
2023.10.29 04,17.0532,H
2023.10.29 05,16.3073,H
2023.10.29 06,17.2433,H
2023.10.29 07,17.0057,H
2023.10.29 08,15.9582,H
2023.10.29 09,15.8310,H
2023.10.29 10,18.1470,H
2023.10.29 11,20.1297,H
2023.10.29 12,20.5587,H
2023.10.29 13,21.3705,H
2023.10.29 14,20.8605,H
2023.10.29 15,20.3518,H
2023.10.29 16,20.1295,H
2023.10.29 17,19.9548,H
2023.10.29 18,19.2410,H
2023.10.29 19,17.9727,H
2023.10.29 20,15.9737,H
2023.10.29 21,15.2585,H
2023.10.29 22,15.6083,H
2023.10.29 23,15.3537,H
2023.10.30 00,14.5420,H
2023.10.30 01,13.7598,H
2023.10.30 02,13.3117,H
2023.10.30 03,12.8467,H
2023.10.30 04,12.3642,H
2023.10.30 05,12.0908,H
