"Plot Title: Experiment"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347362, SEN S/N: 10347362)","Intensity, Lux (LGR S/N: 10347362, SEN S/N: 10347362)","Coupler Attached (LGR S/N: 10347362)","Coupler Detached (LGR S/N: 10347362)","Host Connected (LGR S/N: 10347362)","Stopped (LGR S/N: 10347362)","End Of File (LGR S/N: 10347362)"
1,10/22/23 10:00:00 PM,11.041,0.0,,,,,
2,10/22/23 10:10:00 PM,10.846,0.0,,,,,
3,10/22/23 10:20:00 PM,10.748,0.0,,,,,
4,10/22/23 10:30:00 PM,10.846,0.0,,,,,
5,10/22/23 10:40:00 PM,10.748,0.0,,,,,
6,10/22/23 10:50:00 PM,10.748,0.0,,,,,
7,10/22/23 11:00:00 PM,10.748,0.0,,,,,
8,10/22/23 11:10:00 PM,10.651,0.0,,,,,
9,10/22/23 11:20:00 PM,10.259,0.0,,,,,
10,10/22/23 11:30:00 PM,9.866,0.0,,,,,
11,10/22/23 11:40:00 PM,9.472,0.0,,,,,
12,10/22/23 11:50:00 PM,9.275,0.0,,,,,
13,10/23/23 12:00:00 AM,9.275,0.0,,,,,
14,10/23/23 12:10:00 AM,9.176,0.0,,,,,
15,10/23/23 12:20:00 AM,8.680,0.0,,,,,
16,10/23/23 12:30:00 AM,8.282,0.0,,,,,
17,10/23/23 12:40:00 AM,8.282,0.0,,,,,
18,10/23/23 12:50:00 AM,8.182,0.0,,,,,
19,10/23/23 01:00:00 AM,7.983,0.0,,,,,
20,10/23/23 01:10:00 AM,7.782,0.0,,,,,
21,10/23/23 01:20:00 AM,7.682,0.0,,,,,
22,10/23/23 01:30:00 AM,7.983,0.0,,,,,
23,10/23/23 01:40:00 AM,7.983,0.0,,,,,
24,10/23/23 01:50:00 AM,7.782,0.0,,,,,
25,10/23/23 02:00:00 AM,7.782,0.0,,,,,
26,10/23/23 02:10:00 AM,7.682,0.0,,,,,
27,10/23/23 02:20:00 AM,7.280,0.0,,,,,
28,10/23/23 02:30:00 AM,6.877,0.0,,,,,
29,10/23/23 02:40:00 AM,6.877,0.0,,,,,
30,10/23/23 02:50:00 AM,6.877,0.0,,,,,
31,10/23/23 03:00:00 AM,6.877,0.0,,,,,
32,10/23/23 03:10:00 AM,6.877,0.0,,,,,
33,10/23/23 03:20:00 AM,6.877,0.0,,,,,
34,10/23/23 03:30:00 AM,6.877,0.0,,,,,
35,10/23/23 03:40:00 AM,6.877,0.0,,,,,
36,10/23/23 03:50:00 AM,6.877,0.0,,,,,
37,10/23/23 04:00:00 AM,6.877,0.0,,,,,
38,10/23/23 04:10:00 AM,6.775,0.0,,,,,
39,10/23/23 04:20:00 AM,6.674,0.0,,,,,
40,10/23/23 04:30:00 AM,6.573,0.0,,,,,
41,10/23/23 04:40:00 AM,6.573,0.0,,,,,
42,10/23/23 04:50:00 AM,6.775,0.0,,,,,
43,10/23/23 05:00:00 AM,6.877,0.0,,,,,
44,10/23/23 05:10:00 AM,6.775,0.0,,,,,
45,10/23/23 05:20:00 AM,6.775,0.0,,,,,
46,10/23/23 05:30:00 AM,6.471,0.0,,,,,
47,10/23/23 05:40:00 AM,6.674,0.0,,,,,
48,10/23/23 05:50:00 AM,6.978,0.0,,,,,
49,10/23/23 06:00:00 AM,6.471,0.0,,,,,
50,10/23/23 06:10:00 AM,6.268,0.0,,,,,
