"Plot Title: 10610854"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10610854, SEN S/N: 10610854)","Intensity, Lux (LGR S/N: 10610854, SEN S/N: 10610854)","Coupler Attached (LGR S/N: 10610854)","Host Connected (LGR S/N: 10610854)","Stopped (LGR S/N: 10610854)","End Of File (LGR S/N: 10610854)"
1,10/22/23 10:00:00 PM,10.748,0.0,,,,
2,10/22/23 10:10:00 PM,10.553,0.0,,,,
3,10/22/23 10:20:00 PM,10.357,0.0,,,,
4,10/22/23 10:30:00 PM,10.259,0.0,,,,
5,10/22/23 10:40:00 PM,10.161,0.0,,,,
6,10/22/23 10:50:00 PM,10.063,0.0,,,,
7,10/22/23 11:00:00 PM,9.965,0.0,,,,
8,10/22/23 11:10:00 PM,9.866,0.0,,,,
9,10/22/23 11:20:00 PM,9.768,0.0,,,,
10,10/22/23 11:30:00 PM,9.669,0.0,,,,
11,10/22/23 11:40:00 PM,9.472,0.0,,,,
12,10/22/23 11:50:00 PM,9.275,0.0,,,,
13,10/23/23 12:00:00 AM,9.275,0.0,,,,
14,10/23/23 12:10:00 AM,9.176,0.0,,,,
15,10/23/23 12:20:00 AM,8.978,0.0,,,,
16,10/23/23 12:30:00 AM,8.779,0.0,,,,
17,10/23/23 12:40:00 AM,8.581,0.0,,,,
18,10/23/23 12:50:00 AM,8.481,0.0,,,,
19,10/23/23 01:00:00 AM,8.382,0.0,,,,
20,10/23/23 01:10:00 AM,8.282,0.0,,,,
21,10/23/23 01:20:00 AM,8.182,0.0,,,,
22,10/23/23 01:30:00 AM,8.082,0.0,,,,
23,10/23/23 01:40:00 AM,8.082,0.0,,,,
24,10/23/23 01:50:00 AM,8.182,0.0,,,,
25,10/23/23 02:00:00 AM,8.082,0.0,,,,
26,10/23/23 02:10:00 AM,7.882,0.0,,,,
27,10/23/23 02:20:00 AM,7.782,0.0,,,,
28,10/23/23 02:30:00 AM,7.782,0.0,,,,
29,10/23/23 02:40:00 AM,7.682,0.0,,,,
30,10/23/23 02:50:00 AM,7.582,0.0,,,,
31,10/23/23 03:00:00 AM,7.381,0.0,,,,
32,10/23/23 03:10:00 AM,7.280,0.0,,,,
33,10/23/23 03:20:00 AM,7.179,0.0,,,,
34,10/23/23 03:30:00 AM,7.179,0.0,,,,
35,10/23/23 03:40:00 AM,7.179,0.0,,,,
36,10/23/23 03:50:00 AM,7.079,0.0,,,,
37,10/23/23 04:00:00 AM,7.079,0.0,,,,
38,10/23/23 04:10:00 AM,6.978,0.0,,,,
39,10/23/23 04:20:00 AM,6.978,0.0,,,,
40,10/23/23 04:30:00 AM,6.877,0.0,,,,
41,10/23/23 04:40:00 AM,6.775,0.0,,,,
42,10/23/23 04:50:00 AM,6.775,0.0,,,,
43,10/23/23 05:00:00 AM,6.877,0.0,,,,
44,10/23/23 05:10:00 AM,7.079,0.0,,,,
45,10/23/23 05:20:00 AM,7.079,0.0,,,,
46,10/23/23 05:30:00 AM,7.079,0.0,,,,
47,10/23/23 05:40:00 AM,7.381,0.0,,,,
48,10/23/23 05:50:00 AM,7.481,0.0,,,,
49,10/23/23 06:00:00 AM,7.481,0.0,,,,
50,10/23/23 06:10:00 AM,7.481,0.0,,,,
51,10/23/23 06:20:00 AM,7.481,0.0,,,,
52,10/23/23 06:30:00 AM,7.682,0.0,,,,
53,10/23/23 06:40:00 AM,7.782,0.0,,,,
54,10/23/23 06:50:00 AM,7.682,0.0,,,,
55,10/23/23 07:00:00 AM,7.782,0.0,,,,
56,10/23/23 07:10:00 AM,7.882,0.0,,,,
57,10/23/23 07:20:00 AM,7.983,10.8,,,,
58,10/23/23 07:30:00 AM,8.082,21.5,,,,
59,10/23/23 07:40:00 AM,8.182,32.3,,,,
60,10/23/23 07:50:00 AM,8.282,53.8,,,,
61,10/23/23 08:00:00 AM,8.382,86.1,,,,
62,10/23/23 08:10:00 AM,8.581,107.6,,,,
63,10/23/23 08:20:00 AM,8.680,107.6,,,,
64,10/23/23 08:30:00 AM,8.779,96.9,,,,
65,10/23/23 08:40:00 AM,8.879,118.4,,,,
66,10/23/23 08:50:00 AM,8.879,183.0,,,,
67,10/23/23 09:00:00 AM,9.077,215.3,,,,
68,10/23/23 09:10:00 AM,9.373,215.3,,,,
69,10/23/23 09:20:00 AM,9.472,129.2,,,,
70,10/23/23 09:30:00 AM,9.472,150.7,,,,
71,10/23/23 09:40:00 AM,9.571,236.8,,,,
72,10/23/23 09:50:00 AM,9.866,419.8,,,,
73,10/23/23 10:00:00 AM,10.161,312.2,,,,
74,10/23/23 10:10:00 AM,10.357,301.4,,,,
75,10/23/23 10:20:00 AM,10.357,398.3,,,,
76,10/23/23 10:30:00 AM,10.553,355.2,,,,
77,10/23/23 10:40:00 AM,10.651,172.2,,,,
78,10/23/23 10:50:00 AM,10.651,236.8,,,,
79,10/23/23 11:00:00 AM,10.651,139.9,,,,
80,10/23/23 11:10:00 AM,10.553,96.9,,,,
81,10/23/23 11:20:00 AM,10.455,96.9,,,,
82,10/23/23 11:30:00 AM,10.357,172.2,,,,
83,10/23/23 11:40:00 AM,10.357,236.8,,,,
84,10/23/23 11:50:00 AM,10.455,279.9,,,,
85,10/23/23 12:00:00 PM,10.553,226.0,,,,
86,10/23/23 12:10:00 PM,10.553,290.6,,,,
87,10/23/23 12:20:00 PM,10.553,322.9,,,,
88,10/23/23 12:30:00 PM,10.846,721.2,,,,
89,10/23/23 12:40:00 PM,11.334,419.8,,,,
90,10/23/23 12:50:00 PM,11.334,258.3,,,,
91,10/23/23 01:00:00 PM,11.139,398.3,,,,
92,10/23/23 01:10:00 PM,11.334,570.5,,,,
93,10/23/23 01:20:00 PM,11.431,581.3,,,,
94,10/23/23 01:30:00 PM,11.625,462.9,,,,
95,10/23/23 01:40:00 PM,11.819,398.3,,,,
96,10/23/23 01:50:00 PM,11.819,495.1,,,,
97,10/23/23 02:00:00 PM,12.304,721.2,,,,
98,10/23/23 02:10:00 PM,12.594,645.8,,,,
99,10/23/23 02:20:00 PM,12.594,764.2,,,,
100,10/23/23 02:30:00 PM,12.883,409.0,,,,
101,10/23/23 02:40:00 PM,12.883,505.9,,,,
102,10/23/23 02:50:00 PM,12.690,322.9,,,,
103,10/23/23 03:00:00 PM,12.497,419.8,,,,
104,10/23/23 03:10:00 PM,12.497,366.0,,,,
105,10/23/23 03:20:00 PM,12.304,366.0,,,,
106,10/23/23 03:30:00 PM,12.110,258.3,,,,
107,10/23/23 03:40:00 PM,11.916,183.0,,,,
108,10/23/23 03:50:00 PM,11.819,215.3,,,,
109,10/23/23 04:00:00 PM,11.819,193.8,,,,
110,10/23/23 04:10:00 PM,11.722,150.7,,,,
111,10/23/23 04:20:00 PM,11.528,107.6,,,,
112,10/23/23 04:30:00 PM,11.528,86.1,,,,
113,10/23/23 04:40:00 PM,11.334,64.6,,,,
114,10/23/23 04:50:00 PM,11.334,21.5,,,,
115,10/23/23 05:00:00 PM,11.139,0.0,,,,
116,10/23/23 05:10:00 PM,11.139,0.0,,,,
117,10/23/23 05:20:00 PM,11.041,0.0,,,,
118,10/23/23 05:30:00 PM,11.041,0.0,,,,
119,10/23/23 05:40:00 PM,10.944,0.0,,,,
120,10/23/23 05:50:00 PM,10.944,0.0,,,,
121,10/23/23 06:00:00 PM,10.846,0.0,,,,
122,10/23/23 06:10:00 PM,10.846,0.0,,,,
123,10/23/23 06:20:00 PM,10.748,0.0,,,,
124,10/23/23 06:30:00 PM,10.846,0.0,,,,
125,10/23/23 06:40:00 PM,10.748,0.0,,,,
126,10/23/23 06:50:00 PM,10.748,0.0,,,,
127,10/23/23 07:00:00 PM,10.748,0.0,,,,
128,10/23/23 07:10:00 PM,10.651,0.0,,,,
129,10/23/23 07:20:00 PM,10.651,0.0,,,,
130,10/23/23 07:30:00 PM,10.651,0.0,,,,
131,10/23/23 07:40:00 PM,10.651,0.0,,,,
132,10/23/23 07:50:00 PM,10.553,0.0,,,,
133,10/23/23 08:00:00 PM,10.553,0.0,,,,
134,10/23/23 08:10:00 PM,10.553,0.0,,,,
135,10/23/23 08:20:00 PM,10.553,0.0,,,,
