"Plot Title: 10760762"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760762, SEN S/N: 10760762)","Coupler Attached (LGR S/N: 10760762)","Host Connected (LGR S/N: 10760762)","Stopped (LGR S/N: 10760762)","End Of File (LGR S/N: 10760762)"
1,10/22/23 10:00:00 PM,10.846,,,,
2,10/22/23 10:10:00 PM,10.748,,,,
3,10/22/23 10:20:00 PM,10.748,,,,
4,10/22/23 10:30:00 PM,10.846,,,,
5,10/22/23 10:40:00 PM,10.846,,,,
6,10/22/23 10:50:00 PM,10.748,,,,
7,10/22/23 11:00:00 PM,10.748,,,,
8,10/22/23 11:10:00 PM,10.553,,,,
9,10/22/23 11:20:00 PM,10.553,,,,
10,10/22/23 11:30:00 PM,10.455,,,,
11,10/22/23 11:40:00 PM,10.455,,,,
12,10/22/23 11:50:00 PM,10.357,,,,
13,10/23/23 12:00:00 AM,10.259,,,,
14,10/23/23 12:10:00 AM,10.161,,,,
15,10/23/23 12:20:00 AM,9.866,,,,
16,10/23/23 12:30:00 AM,9.669,,,,
17,10/23/23 12:40:00 AM,9.669,,,,
18,10/23/23 12:50:00 AM,9.768,,,,
19,10/23/23 01:00:00 AM,9.669,,,,
20,10/23/23 01:10:00 AM,9.472,,,,
21,10/23/23 01:20:00 AM,9.373,,,,
22,10/23/23 01:30:00 AM,9.176,,,,
23,10/23/23 01:40:00 AM,9.176,,,,
24,10/23/23 01:50:00 AM,9.275,,,,
25,10/23/23 02:00:00 AM,9.077,,,,
26,10/23/23 02:10:00 AM,8.779,,,,
27,10/23/23 02:20:00 AM,8.680,,,,
28,10/23/23 02:30:00 AM,8.581,,,,
29,10/23/23 02:40:00 AM,8.481,,,,
30,10/23/23 02:50:00 AM,8.382,,,,
31,10/23/23 03:00:00 AM,8.382,,,,
32,10/23/23 03:10:00 AM,8.382,,,,
33,10/23/23 03:20:00 AM,8.182,,,,
34,10/23/23 03:30:00 AM,8.082,,,,
35,10/23/23 03:40:00 AM,7.983,,,,
36,10/23/23 03:50:00 AM,7.882,,,,
37,10/23/23 04:00:00 AM,7.882,,,,
38,10/23/23 04:10:00 AM,7.682,,,,
39,10/23/23 04:20:00 AM,7.481,,,,
40,10/23/23 04:30:00 AM,7.481,,,,
41,10/23/23 04:40:00 AM,7.481,,,,
42,10/23/23 04:50:00 AM,7.582,,,,
43,10/23/23 05:00:00 AM,7.682,,,,
44,10/23/23 05:10:00 AM,7.782,,,,
45,10/23/23 05:20:00 AM,7.782,,,,
46,10/23/23 05:30:00 AM,7.682,,,,
47,10/23/23 05:40:00 AM,7.782,,,,
48,10/23/23 05:50:00 AM,7.882,,,,
49,10/23/23 06:00:00 AM,7.782,,,,
50,10/23/23 06:10:00 AM,7.882,,,,
51,10/23/23 06:20:00 AM,7.983,,,,
52,10/23/23 06:30:00 AM,7.983,,,,
53,10/23/23 06:40:00 AM,7.983,,,,
54,10/23/23 06:50:00 AM,8.082,,,,
55,10/23/23 07:00:00 AM,8.182,,,,
56,10/23/23 07:10:00 AM,8.082,,,,
57,10/23/23 07:20:00 AM,8.082,,,,
58,10/23/23 07:30:00 AM,8.481,,,,
59,10/23/23 07:40:00 AM,8.481,,,,
60,10/23/23 07:50:00 AM,8.481,,,,
61,10/23/23 08:00:00 AM,8.581,,,,
62,10/23/23 08:10:00 AM,8.779,,,,
63,10/23/23 08:20:00 AM,8.978,,,,
64,10/23/23 08:30:00 AM,9.077,,,,
65,10/23/23 08:40:00 AM,9.176,,,,
66,10/23/23 08:50:00 AM,9.373,,,,
67,10/23/23 09:00:00 AM,9.571,,,,
68,10/23/23 09:10:00 AM,9.571,,,,
69,10/23/23 09:20:00 AM,9.571,,,,
70,10/23/23 09:30:00 AM,9.669,,,,
71,10/23/23 09:40:00 AM,9.768,,,,
72,10/23/23 09:50:00 AM,10.063,,,,
