date_time,th,origin
2024-10-31 00:00,8.986,R
2024-10-31 01:00,8.95,R
2024-10-31 02:00,8.927,R
2024-10-31 03:00,8.824,R
2024-10-31 04:00,8.714,R
2024-10-31 05:00,8.492,R
2024-10-31 06:00,8.737,R
2024-10-31 07:00,8.91,R
2024-10-31 08:00,8.732,H
2024-10-31 09:00,8.54,R
2024-10-31 10:00,9.04,H
2024-10-31 11:00,9.346,H
2024-10-31 12:00,8.894,R
2024-10-31 13:00,9.016,R
2024-10-31 14:00,9.027,R
2024-10-31 15:00,9.039,R
2024-10-31 16:00,8.94,R
2024-10-31 17:00,8.899,R
2024-10-31 18:00,8.872,R
2024-10-31 19:00,8.844,R
2024-10-31 20:00,8.841,R
2024-10-31 21:00,8.795,R
2024-10-31 22:00,8.794,R
2024-10-31 23:00,8.73,R
2024-11-01 00:00,8.521,H
2024-11-01 01:00,8.13,H
2024-11-01 02:00,7.805,R
2024-11-01 03:00,7.66,R
2024-11-01 04:00,7.673,H
2024-11-01 05:00,7.667,R
2024-11-01 06:00,7.636,R
2024-11-01 07:00,7.542,H
2024-11-01 08:00,7.479,R
2024-11-01 09:00,8.082,H
2024-11-01 10:00,8.472,H
2024-11-01 11:00,8.991,H
2024-11-01 12:00,9.973,H
2024-11-01 13:00,10.342,H
2024-11-01 14:00,10.901,H
2024-11-01 15:00,11.171,H
2024-11-01 16:00,10.853,H
2024-11-01 17:00,9.974,H
2024-11-01 18:00,9.777,R
2024-11-01 19:00,9.539,H
2024-11-01 20:00,8.391,H
2024-11-01 21:00,8.032,H
2024-11-01 22:00,7.585,R
2024-11-01 23:00,7.673,R
2024-11-02 00:00,7.523,R
2024-11-02 01:00,7.394,H
2024-11-02 02:00,7.114,H
2024-11-02 03:00,6.602,H
2024-11-02 04:00,6.487,H
2024-11-02 05:00,6.372,R
2024-11-02 06:00,6.619,H
2024-11-02 07:00,6.636,H
2024-11-02 08:00,6.425,R
2024-11-02 09:00,6.834,H
2024-11-02 10:00,7.279,H
2024-11-02 11:00,7.967,H
2024-11-02 12:00,8.228,H
2024-11-02 13:00,7.965,R
2024-11-02 14:00,7.959,R
2024-11-02 15:00,7.911,R
2024-11-02 16:00,7.754,R
2024-11-02 17:00,7.673,H
2024-11-02 18:00,7.435,R
2024-11-02 19:00,7.409,R
2024-11-02 20:00,7.498,R
2024-11-02 21:00,7.437,R
2024-11-02 22:00,7.213,H
2024-11-02 23:00,7.043,R
2024-11-03 00:00,6.801,H
2024-11-03 01:00,6.923,R
2024-11-03 02:00,6.536,H
2024-11-03 03:00,5.92,H
2024-11-03 04:00,6.187,H
2024-11-03 05:00,5.887,H
2024-11-03 06:00,6.036,R
2024-11-03 07:00,5.84,R
2024-11-03 08:00,6.336,H
2024-11-03 09:00,7.262,H
2024-11-03 10:00,8.228,H
2024-11-03 11:00,8.942,H
2024-11-03 12:00,9.748,H
2024-11-03 13:00,10.294,H
2024-11-03 14:00,10.725,H
2024-11-03 15:00,10.294,H
2024-11-03 16:00,9.572,H
2024-11-03 17:00,8.423,H
2024-11-03 18:00,7.575,H
2024-11-03 19:00,7.631,R
2024-11-03 20:00,7.295,H
2024-11-03 21:00,7.289,R
2024-11-03 22:00,7.121,R
2024-11-03 23:00,6.935,R
2024-11-04 00:00,6.854,R
2024-11-04 01:00,6.403,H
2024-11-04 02:00,6.104,H
2024-11-04 03:00,5.904,H
2024-11-04 04:00,5.636,H
2024-11-04 05:00,5.351,H
2024-11-04 06:00,5.22,R
2024-11-04 07:00,5.255,R
2024-11-04 08:00,5.603,H
2024-11-04 09:00,5.603,H
2024-11-04 10:00,6.086,H
2024-11-04 11:00,6.552,H
2024-11-04 12:00,5.727,R
2024-11-04 13:00,5.828,R
2024-11-04 14:00,6.636,H
2024-11-04 15:00,6.404,H
2024-11-04 16:00,6.12,H
2024-11-04 17:00,5.835,R
2024-11-04 18:00,5.797,R
2024-11-04 19:00,5.845,R
2024-11-04 20:00,5.865,R
2024-11-04 21:00,5.847,R
2024-11-04 22:00,5.611,R
2024-11-04 23:00,5.435,H
2024-11-05 00:00,5.115,H
2024-11-05 01:00,4.93,H
