"Plot Title: 10347358"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347358, SEN S/N: 10347358, LBL: temp)","Intensity, Lux (LGR S/N: 10347358, SEN S/N: 10347358, LBL: leitfäh)","Coupler Attached (LGR S/N: 10347358)","Host Connected (LGR S/N: 10347358)","Stopped (LGR S/N: 10347358)","End Of File (LGR S/N: 10347358)"
1,10/30/2024 11:00:00 AM,23.004,0.0,,,,
2,10/30/2024 11:10:00 AM,22.525,0.0,,,,
3,10/30/2024 11:20:00 AM,22.717,0.0,,,,
4,10/30/2024 11:30:00 AM,38.379,99200.7,,,,
5,10/30/2024 11:40:00 AM,44.457,93689.5,,,,
6,10/30/2024 11:50:00 AM,43.480,88178.4,,,,
7,10/30/2024 12:00:00 PM,42.282,88178.4,,,,
8,10/30/2024 12:10:00 PM,41.108,93689.5,,,,
9,10/30/2024 12:20:00 PM,17.570,63378.2,,,,
10,10/30/2024 12:30:00 PM,16.713,63378.2,,,,
11,10/30/2024 12:40:00 PM,16.808,66133.8,,,,
12,10/30/2024 12:50:00 PM,17.950,742.7,,,,
13,10/30/2024 01:00:00 PM,17.950,775.0,,,,
14,10/30/2024 01:10:00 PM,17.760,914.9,,,,
15,10/30/2024 01:20:00 PM,17.950,882.6,,,,
16,10/30/2024 01:30:00 PM,18.236,710.4,,,,
17,10/30/2024 01:40:00 PM,18.616,505.9,,,,
18,10/30/2024 01:50:00 PM,18.806,376.7,,,,
19,10/30/2024 02:00:00 PM,18.711,247.6,,,,
20,10/30/2024 02:10:00 PM,18.331,64.6,,,,
21,10/30/2024 02:20:00 PM,16.903,0.0,,,,
22,10/30/2024 02:30:00 PM,16.046,0.0,,,,
23,10/30/2024 02:40:00 PM,15.569,0.0,,,,
24,10/30/2024 02:50:00 PM,15.187,0.0,,,,
25,10/30/2024 03:00:00 PM,15.187,0.0,,,,
26,10/30/2024 03:10:00 PM,15.187,0.0,,,,
27,10/30/2024 03:20:00 PM,14.038,0.0,,,,
28,10/30/2024 03:30:00 PM,12.207,0.0,,,,
29,10/30/2024 03:40:00 PM,11.334,0.0,,,,
30,10/30/2024 03:50:00 PM,10.944,0.0,,,,
31,10/30/2024 04:00:00 PM,10.553,0.0,,,,
32,10/30/2024 04:10:00 PM,10.259,0.0,,,,
33,10/30/2024 04:20:00 PM,9.965,0.0,,,,
34,10/30/2024 04:30:00 PM,9.866,0.0,,,,
35,10/30/2024 04:40:00 PM,9.768,0.0,,,,
36,10/30/2024 04:50:00 PM,9.669,0.0,,,,
37,10/30/2024 05:00:00 PM,9.472,0.0,,,,
38,10/30/2024 05:10:00 PM,9.373,0.0,,,,
39,10/30/2024 05:20:00 PM,9.373,0.0,,,,
40,10/30/2024 05:30:00 PM,9.275,0.0,,,,
41,10/30/2024 05:40:00 PM,9.176,0.0,,,,
42,10/30/2024 05:50:00 PM,9.077,0.0,,,,
43,10/30/2024 06:00:00 PM,9.077,0.0,,,,
44,10/30/2024 06:10:00 PM,9.077,0.0,,,,
45,10/30/2024 06:20:00 PM,9.077,0.0,,,,
46,10/30/2024 06:30:00 PM,8.978,0.0,,,,
47,10/30/2024 06:40:00 PM,9.077,0.0,,,,
48,10/30/2024 06:50:00 PM,9.077,0.0,,,,
49,10/30/2024 07:00:00 PM,8.978,0.0,,,,
50,10/30/2024 07:10:00 PM,8.978,0.0,,,,
51,10/30/2024 07:20:00 PM,8.978,0.0,,,,
52,10/30/2024 07:30:00 PM,8.978,0.0,,,,
53,10/30/2024 07:40:00 PM,8.879,0.0,,,,
54,10/30/2024 07:50:00 PM,8.879,0.0,,,,
55,10/30/2024 08:00:00 PM,8.779,0.0,,,,
56,10/30/2024 08:10:00 PM,8.879,0.0,,,,
57,10/30/2024 08:20:00 PM,8.879,0.0,,,,
58,10/30/2024 08:30:00 PM,8.879,0.0,,,,
59,10/30/2024 08:40:00 PM,8.879,0.0,,,,
60,10/30/2024 08:50:00 PM,8.779,0.0,,,,
61,10/30/2024 09:00:00 PM,8.779,0.0,,,,
62,10/30/2024 09:10:00 PM,8.779,0.0,,,,
63,10/30/2024 09:20:00 PM,8.779,10.8,,,,
64,10/30/2024 09:30:00 PM,8.779,10.8,,,,
65,10/30/2024 09:40:00 PM,8.779,10.8,,,,
66,10/30/2024 09:50:00 PM,8.779,10.8,,,,
67,10/30/2024 10:00:00 PM,8.779,10.8,,,,
68,10/30/2024 10:10:00 PM,8.879,10.8,,,,
69,10/30/2024 10:20:00 PM,8.879,10.8,,,,
70,10/30/2024 10:30:00 PM,8.879,10.8,,,,
71,10/30/2024 10:40:00 PM,8.879,10.8,,,,
72,10/30/2024 10:50:00 PM,8.978,10.8,,,,
73,10/30/2024 11:00:00 PM,8.978,10.8,,,,
74,10/30/2024 11:10:00 PM,8.978,10.8,,,,
75,10/30/2024 11:20:00 PM,8.978,10.8,,,,
76,10/30/2024 11:30:00 PM,9.077,10.8,,,,
77,10/30/2024 11:40:00 PM,9.077,10.8,,,,
78,10/30/2024 11:50:00 PM,9.077,10.8,,,,
79,10/31/2024 12:00:00 AM,9.077,10.8,,,,
80,10/31/2024 12:10:00 AM,9.077,10.8,,,,
81,10/31/2024 12:20:00 AM,9.077,10.8,,,,
82,10/31/2024 12:30:00 AM,9.077,10.8,,,,
83,10/31/2024 12:40:00 AM,9.077,10.8,,,,
84,10/31/2024 12:50:00 AM,9.077,10.8,,,,
85,10/31/2024 01:00:00 AM,9.077,10.8,,,,
86,10/31/2024 01:10:00 AM,9.077,10.8,,,,
87,10/31/2024 01:20:00 AM,9.077,10.8,,,,
88,10/31/2024 01:30:00 AM,9.077,10.8,,,,
89,10/31/2024 01:40:00 AM,9.077,10.8,,,,
90,10/31/2024 01:50:00 AM,8.978,10.8,,,,
91,10/31/2024 02:00:00 AM,8.978,10.8,,,,
92,10/31/2024 02:10:00 AM,8.978,10.8,,,,
93,10/31/2024 02:20:00 AM,9.077,21.5,,,,
94,10/31/2024 02:30:00 AM,9.077,21.5,,,,
95,10/31/2024 02:40:00 AM,8.978,21.5,,,,
96,10/31/2024 02:50:00 AM,8.978,21.5,,,,
97,10/31/2024 03:00:00 AM,8.879,21.5,,,,
98,10/31/2024 03:10:00 AM,8.879,21.5,,,,
99,10/31/2024 03:20:00 AM,8.978,21.5,,,,
100,10/31/2024 03:30:00 AM,8.978,32.3,,,,
101,10/31/2024 03:40:00 AM,8.978,21.5,,,,
102,10/31/2024 03:50:00 AM,8.879,21.5,,,,
103,10/31/2024 04:00:00 AM,8.879,21.5,,,,
104,10/31/2024 04:10:00 AM,8.879,21.5,,,,
105,10/31/2024 04:20:00 AM,8.879,32.3,,,,
106,10/31/2024 04:30:00 AM,8.779,32.3,,,,
107,10/31/2024 04:40:00 AM,8.779,32.3,,,,
108,10/31/2024 04:50:00 AM,8.680,32.3,,,,
109,10/31/2024 05:00:00 AM,8.581,32.3,,,,
110,10/31/2024 05:10:00 AM,8.581,32.3,,,,
111,10/31/2024 05:20:00 AM,8.581,32.3,,,,
112,10/31/2024 05:30:00 AM,8.581,32.3,,,,
113,10/31/2024 05:40:00 AM,8.581,32.3,,,,
114,10/31/2024 05:50:00 AM,8.581,32.3,,,,
115,10/31/2024 06:00:00 AM,8.581,32.3,,,,
116,10/31/2024 06:10:00 AM,8.581,32.3,,,,
117,10/31/2024 06:20:00 AM,8.680,32.3,,,,
118,10/31/2024 06:30:00 AM,8.680,32.3,,,,
119,10/31/2024 06:40:00 AM,8.978,43.1,,,,
120,10/31/2024 06:50:00 AM,9.077,43.1,,,,
121,10/31/2024 07:00:00 AM,8.978,43.1,,,,
122,10/31/2024 07:10:00 AM,8.978,43.1,,,,
123,10/31/2024 07:20:00 AM,8.978,43.1,,,,
124,10/31/2024 07:30:00 AM,8.978,32.3,,,,
125,10/31/2024 07:40:00 AM,8.879,32.3,,,,
126,10/31/2024 07:50:00 AM,8.879,32.3,,,,
127,10/31/2024 08:00:00 AM,8.680,32.3,,,,
128,10/31/2024 08:10:00 AM,8.581,32.3,,,,
129,10/31/2024 08:20:00 AM,8.680,43.1,,,,
130,10/31/2024 08:30:00 AM,8.680,43.1,,,,
131,10/31/2024 08:40:00 AM,8.779,43.1,,,,
132,10/31/2024 08:50:00 AM,8.779,43.1,,,,
133,10/31/2024 09:00:00 AM,8.779,43.1,,,,
134,10/31/2024 09:10:00 AM,8.680,43.1,,,,
135,10/31/2024 09:20:00 AM,8.680,43.1,,,,
136,10/31/2024 09:30:00 AM,8.779,43.1,,,,
137,10/31/2024 09:40:00 AM,8.779,43.1,,,,
138,10/31/2024 09:50:00 AM,8.779,43.1,,,,
139,10/31/2024 10:00:00 AM,8.879,53.8,,,,
140,10/31/2024 10:10:00 AM,8.978,53.8,,,,
141,10/31/2024 10:20:00 AM,8.978,107.6,,,,
142,10/31/2024 10:30:00 AM,9.077,118.4,,,,
143,10/31/2024 10:40:00 AM,9.176,129.2,,,,
144,10/31/2024 10:50:00 AM,9.176,129.2,,,,
145,10/31/2024 11:00:00 AM,9.373,139.9,,,,
146,10/31/2024 11:10:00 AM,9.472,139.9,,,,
147,10/31/2024 11:20:00 AM,9.571,139.9,,,,
148,10/31/2024 11:30:00 AM,9.373,129.2,,,,
149,10/31/2024 11:40:00 AM,9.275,129.2,,,,
150,10/31/2024 11:50:00 AM,9.275,129.2,,,,
151,10/31/2024 12:00:00 PM,9.275,118.4,,,,
152,10/31/2024 12:10:00 PM,9.176,118.4,,,,
153,10/31/2024 12:20:00 PM,9.176,107.6,,,,
154,10/31/2024 12:30:00 PM,9.176,107.6,,,,
155,10/31/2024 12:40:00 PM,9.176,107.6,,,,
156,10/31/2024 12:50:00 PM,9.275,107.6,,,,
157,10/31/2024 01:00:00 PM,9.275,107.6,,,,
158,10/31/2024 01:10:00 PM,9.275,107.6,,,,
159,10/31/2024 01:20:00 PM,9.373,96.9,,,,
160,10/31/2024 01:30:00 PM,9.373,96.9,,,,
161,10/31/2024 01:40:00 PM,9.472,107.6,,,,
162,10/31/2024 01:50:00 PM,9.373,96.9,,,,
163,10/31/2024 02:00:00 PM,9.472,96.9,,,,
164,10/31/2024 02:10:00 PM,9.472,96.9,,,,
165,10/31/2024 02:20:00 PM,9.373,96.9,,,,
166,10/31/2024 02:30:00 PM,9.373,96.9,,,,
167,10/31/2024 02:40:00 PM,9.373,107.6,,,,
168,10/31/2024 02:50:00 PM,9.373,107.6,,,,
169,10/31/2024 03:00:00 PM,9.275,107.6,,,,
170,10/31/2024 03:10:00 PM,9.275,118.4,,,,
171,10/31/2024 03:20:00 PM,9.275,118.4,,,,
172,10/31/2024 03:30:00 PM,9.275,118.4,,,,
173,10/31/2024 03:40:00 PM,9.275,129.2,,,,
174,10/31/2024 03:50:00 PM,9.275,129.2,,,,
175,10/31/2024 04:00:00 PM,9.275,139.9,,,,
176,10/31/2024 04:10:00 PM,9.176,139.9,,,,
177,10/31/2024 04:20:00 PM,9.077,150.7,,,,
178,10/31/2024 04:30:00 PM,9.077,161.5,,,,
179,10/31/2024 04:40:00 PM,9.077,172.2,,,,
180,10/31/2024 04:50:00 PM,9.077,172.2,,,,
181,10/31/2024 05:00:00 PM,8.978,193.8,,,,
182,10/31/2024 05:10:00 PM,8.978,204.5,,,,
183,10/31/2024 05:20:00 PM,8.978,236.8,,,,
184,10/31/2024 05:30:00 PM,8.978,279.9,,,,
185,10/31/2024 05:40:00 PM,8.978,301.4,,,,
186,10/31/2024 05:50:00 PM,8.978,312.2,,,,
187,10/31/2024 06:00:00 PM,8.978,344.4,,,,
188,10/31/2024 06:10:00 PM,8.978,355.2,,,,
189,10/31/2024 06:20:00 PM,8.978,387.5,,,,
190,10/31/2024 06:30:00 PM,8.978,398.3,,,,
191,10/31/2024 06:40:00 PM,8.978,419.8,,,,
192,10/31/2024 06:50:00 PM,8.978,441.3,,,,
193,10/31/2024 07:00:00 PM,8.978,473.6,,,,
194,10/31/2024 07:10:00 PM,8.978,495.1,,,,
195,10/31/2024 07:20:00 PM,8.879,516.7,,,,
196,10/31/2024 07:30:00 PM,8.978,549.0,,,,
197,10/31/2024 07:40:00 PM,8.978,570.5,,,,
198,10/31/2024 07:50:00 PM,8.978,602.8,,,,
199,10/31/2024 08:00:00 PM,8.978,645.8,,,,
200,10/31/2024 08:10:00 PM,8.879,1550.0,,,,
201,10/31/2024 08:20:00 PM,8.978,2325.0,,,,
202,10/31/2024 08:30:00 PM,8.978,3616.7,,,,
203,10/31/2024 08:40:00 PM,8.879,10677.8,,,,
204,10/31/2024 08:50:00 PM,8.879,19977.9,,,,
205,10/31/2024 09:00:00 PM,8.879,104711.8,,,,
206,10/31/2024 09:10:00 PM,8.879,115734.1,,,,
207,10/31/2024 09:20:00 PM,8.879,159823.3,,,,
208,10/31/2024 09:30:00 PM,8.879,170845.6,,,,
209,10/31/2024 09:40:00 PM,8.879,170845.6,,,,
210,10/31/2024 09:50:00 PM,8.879,187379.0,,,,
211,10/31/2024 10:00:00 PM,8.879,198401.3,,,,
212,10/31/2024 10:10:00 PM,8.879,209423.6,,,,
213,10/31/2024 10:20:00 PM,8.879,209423.6,,,,
214,10/31/2024 10:30:00 PM,8.879,220445.9,,,,
215,10/31/2024 10:40:00 PM,8.879,220445.9,,,,
216,10/31/2024 10:50:00 PM,8.879,220445.9,,,,
217,10/31/2024 11:00:00 PM,8.879,242490.5,,,,
218,10/31/2024 11:10:00 PM,8.879,242490.5,,,,
219,10/31/2024 11:20:00 PM,8.879,242490.5,,,,
220,10/31/2024 11:30:00 PM,8.879,242490.5,,,,
221,10/31/2024 11:40:00 PM,8.779,253512.8,,,,
222,10/31/2024 11:50:00 PM,8.680,253512.8,,,,
223,11/01/2024 12:00:00 AM,8.581,253512.8,,,,
224,11/01/2024 12:10:00 AM,8.581,253512.8,,,,
225,11/01/2024 12:20:00 AM,8.481,253512.8,,,,
226,11/01/2024 12:30:00 AM,8.382,264535.1,,,,
227,11/01/2024 12:40:00 AM,8.282,264535.1,,,,
