"Plot Title: 10347387"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347387, SEN S/N: 10347387)","Intensity, Lux (LGR S/N: 10347387, SEN S/N: 10347387)","Good Battery (LGR S/N: 10347387)","Bad Battery (LGR S/N: 10347387)","Coupler Attached (LGR S/N: 10347387)","Host Connected (LGR S/N: 10347387)","Stopped (LGR S/N: 10347387)","End Of File (LGR S/N: 10347387)"
1,10/30/2024 01:00:00 PM,21.664,64.6,Logged,,,,,
2,10/30/2024 01:10:00 PM,20.710,64.6,,,,,,
3,10/30/2024 01:20:00 PM,20.710,64.6,,,,,,
4,10/30/2024 01:30:00 PM,20.996,75.3,,,,,,
5,10/30/2024 01:40:00 PM,20.996,64.6,,,,,,
6,10/30/2024 01:50:00 PM,20.901,0.0,,,,,,
7,10/30/2024 02:00:00 PM,20.901,947.2,,,,,,
8,10/30/2024 02:10:00 PM,21.378,1550.0,,,,,,
9,10/30/2024 02:20:00 PM,22.142,1313.2,,,,,,
10,10/30/2024 02:30:00 PM,23.004,1377.8,,,,,,
11,10/30/2024 02:40:00 PM,24.255,936.5,,,,,,
12,10/30/2024 02:50:00 PM,26.000,1011.8,,,,,,
13,10/30/2024 03:00:00 PM,27.764,979.5,,,,,,
14,10/30/2024 03:10:00 PM,29.552,861.1,,,,,,
15,10/30/2024 03:20:00 PM,31.064,796.5,,,,,,
16,10/30/2024 03:30:00 PM,32.086,667.4,,,,,,
17,10/30/2024 03:40:00 PM,32.188,570.5,,,,,,
18,10/30/2024 03:50:00 PM,31.268,527.4,,,,,,
19,10/30/2024 04:00:00 PM,29.953,484.4,,,,,,
20,10/30/2024 04:10:00 PM,16.713,355.2,,,,,,
21,10/30/2024 04:20:00 PM,12.594,150.7,,,,,,
22,10/30/2024 04:30:00 PM,10.944,43.1,,,,,,
23,10/30/2024 04:40:00 PM,9.965,32.3,,,,,,
24,10/30/2024 04:50:00 PM,9.571,21.5,,,,,,
25,10/30/2024 05:00:00 PM,9.373,0.0,,,,,,
26,10/30/2024 05:10:00 PM,9.275,0.0,,,,,,
27,10/30/2024 05:20:00 PM,9.275,0.0,,,,,,
28,10/30/2024 05:30:00 PM,9.275,0.0,,,,,,
29,10/30/2024 05:40:00 PM,9.176,0.0,,,,,,
30,10/30/2024 05:50:00 PM,9.077,0.0,,,,,,
31,10/30/2024 06:00:00 PM,9.077,0.0,,,,,,
32,10/30/2024 06:10:00 PM,8.978,0.0,,,,,,
33,10/30/2024 06:20:00 PM,8.978,0.0,,,,,,
34,10/30/2024 06:30:00 PM,8.978,0.0,,,,,,
35,10/30/2024 06:40:00 PM,8.978,0.0,,,,,,
36,10/30/2024 06:50:00 PM,8.978,0.0,,,,,,
37,10/30/2024 07:00:00 PM,8.978,0.0,,,,,,
38,10/30/2024 07:10:00 PM,8.978,0.0,,,,,,
39,10/30/2024 07:20:00 PM,8.879,0.0,,,,,,
40,10/30/2024 07:30:00 PM,8.978,0.0,,,,,,
41,10/30/2024 07:40:00 PM,8.779,0.0,,,,,,
42,10/30/2024 07:50:00 PM,8.779,0.0,,,,,,
43,10/30/2024 08:00:00 PM,8.779,0.0,,,,,,
44,10/30/2024 08:10:00 PM,8.779,0.0,,,,,,
45,10/30/2024 08:20:00 PM,8.779,0.0,,,,,,
46,10/30/2024 08:30:00 PM,8.779,0.0,,,,,,
47,10/30/2024 08:40:00 PM,8.779,0.0,,,,,,
48,10/30/2024 08:50:00 PM,8.680,0.0,,,,,,
49,10/30/2024 09:00:00 PM,8.779,0.0,,,,,,
50,10/30/2024 09:10:00 PM,8.779,0.0,,,,,,
51,10/30/2024 09:20:00 PM,8.779,0.0,,,,,,
52,10/30/2024 09:30:00 PM,8.779,0.0,,,,,,
53,10/30/2024 09:40:00 PM,8.879,0.0,,,,,,
54,10/30/2024 09:50:00 PM,8.779,0.0,,,,,,
55,10/30/2024 10:00:00 PM,8.879,0.0,,,,,,
56,10/30/2024 10:10:00 PM,8.879,0.0,,,,,,
57,10/30/2024 10:20:00 PM,8.879,0.0,,,,,,
58,10/30/2024 10:30:00 PM,8.978,0.0,,,,,,
59,10/30/2024 10:40:00 PM,8.978,0.0,,,,,,
60,10/30/2024 10:50:00 PM,8.978,0.0,,,,,,
61,10/30/2024 11:00:00 PM,8.978,0.0,,,,,,
62,10/30/2024 11:10:00 PM,8.978,0.0,,,,,,
63,10/30/2024 11:20:00 PM,9.077,0.0,,,,,,
64,10/30/2024 11:30:00 PM,9.077,0.0,,,,,,
65,10/30/2024 11:40:00 PM,9.077,0.0,,,,,,
66,10/30/2024 11:50:00 PM,9.077,0.0,,,,,,
67,10/31/2024 12:00:00 AM,9.077,0.0,,,,,,
68,10/31/2024 12:10:00 AM,9.077,0.0,,,,,,
69,10/31/2024 12:20:00 AM,9.077,0.0,,,,,,
70,10/31/2024 12:30:00 AM,9.176,0.0,,,,,,
71,10/31/2024 12:40:00 AM,9.176,0.0,,,,,,
72,10/31/2024 12:50:00 AM,9.176,0.0,,,,,,
73,10/31/2024 01:00:00 AM,9.176,0.0,,,,,,
