"Plot Title: 10350005"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350005, SEN S/N: 10350005)","Intensity, Lux (LGR S/N: 10350005, SEN S/N: 10350005)","Bad Battery (LGR S/N: 10350005)","Host Connected (LGR S/N: 10350005)","Coupler Attached (LGR S/N: 10350005)","End Of File (LGR S/N: 10350005)"
1,10/30/2024 11:00:00 AM,23.677,215.3,,,,
2,10/30/2024 11:10:00 AM,22.812,247.6,,,,
3,10/30/2024 11:20:00 AM,22.525,419.8,,,,
4,10/30/2024 11:30:00 AM,37.714,21.5,,,,
5,10/30/2024 11:40:00 AM,44.089,10.8,,,,
6,10/30/2024 11:50:00 AM,43.359,0.0,,,,
7,10/30/2024 12:00:00 PM,42.164,0.0,,,,
8,10/30/2024 12:10:00 PM,41.108,0.0,,,,
9,10/30/2024 12:20:00 PM,17.570,10.8,,,,
10,10/30/2024 12:30:00 PM,16.808,21.5,,,,
11,10/30/2024 12:40:00 PM,16.903,32.3,,,,
12,10/30/2024 12:50:00 PM,17.284,32.3,,,,
13,10/30/2024 01:00:00 PM,18.331,452.1,,,,
14,10/30/2024 01:10:00 PM,19.948,21.5,,,,
15,10/30/2024 01:20:00 PM,20.138,129.2,,,,
16,10/30/2024 01:30:00 PM,21.091,75.3,,,,
17,10/30/2024 01:40:00 PM,21.855,139.9,,,,
18,10/30/2024 01:50:00 PM,22.333,10.8,,,,
19,10/30/2024 02:00:00 PM,20.805,4477.8,,,,
20,10/30/2024 02:10:00 PM,14.230,785.8,,,,
21,10/30/2024 02:20:00 PM,12.304,764.2,,,,
22,10/30/2024 02:30:00 PM,12.883,624.3,,,,
23,10/30/2024 02:40:00 PM,11.819,559.7,,,,
24,10/30/2024 02:50:00 PM,11.528,398.3,,,,
25,10/30/2024 03:00:00 PM,11.722,473.6,,,,
26,10/30/2024 03:10:00 PM,11.334,807.3,,,,
27,10/30/2024 03:20:00 PM,11.236,602.8,,,,
28,10/30/2024 03:30:00 PM,11.916,1722.2,,,,
29,10/30/2024 03:40:00 PM,11.139,818.1,,,,
