"Plot Title: 10350012"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350012, SEN S/N: 10350012)","Intensity, Lux (LGR S/N: 10350012, SEN S/N: 10350012)","Coupler Detached (LGR S/N: 10350012)","Bad Battery (LGR S/N: 10350012)","Coupler Attached (LGR S/N: 10350012)","Host Connected (LGR S/N: 10350012)","Stopped (LGR S/N: 10350012)","End Of File (LGR S/N: 10350012)"
1,10/30/2024 10:50:14 AM,27.862,0.0,,,,,,
2,10/30/2024 10:50:22 AM,,,Logged,,,,,
3,10/30/2024 11:00:14 AM,25.222,452.1,,,,,,
4,10/30/2024 11:10:14 AM,23.677,570.5,,,,,,
5,10/30/2024 11:20:14 AM,23.100,645.8,,,,,,
6,10/30/2024 11:30:14 AM,39.615,0.0,,,,,,
7,10/30/2024 11:40:14 AM,44.828,0.0,,,,,,
8,10/30/2024 11:50:14 AM,43.480,0.0,,,,,,
9,10/30/2024 12:00:14 PM,42.282,0.0,,,,,,
10,10/30/2024 12:10:14 PM,41.225,0.0,,,,,,
11,10/30/2024 12:20:14 PM,17.760,0.0,,,,,,
12,10/30/2024 12:30:14 PM,16.713,0.0,,,,,,
13,10/30/2024 12:40:14 PM,16.808,0.0,,,,,,
14,10/30/2024 12:50:14 PM,17.950,344.4,,,,,,
15,10/30/2024 01:00:14 PM,19.758,118.4,,,,,,
16,10/30/2024 01:10:14 PM,20.805,0.0,,,,,,
17,10/30/2024 01:20:14 PM,22.429,0.0,,,,,,
18,10/30/2024 01:30:14 PM,23.004,0.0,,,,,,
19,10/30/2024 01:40:14 PM,23.677,0.0,,,,,,
20,10/30/2024 01:50:14 PM,23.966,0.0,,,,,,
21,10/30/2024 02:00:14 PM,24.351,1722.2,,,,,,
22,10/30/2024 02:10:14 PM,20.329,183.0,,,,,,
23,10/30/2024 02:20:14 PM,15.569,64.6,,,,,,
24,10/30/2024 02:30:14 PM,13.750,53.8,,,,,,
25,10/30/2024 02:40:14 PM,12.883,32.3,,,,,,
26,10/30/2024 02:50:14 PM,12.497,21.5,,,,,,
27,10/30/2024 03:00:14 PM,12.304,21.5,,,,,,
28,10/30/2024 03:10:14 PM,12.304,75.3,,,,,,
29,10/30/2024 03:20:14 PM,12.110,64.6,,,,,,
30,10/30/2024 03:30:14 PM,11.334,269.1,,,,,,
31,10/30/2024 03:40:14 PM,10.748,236.8,,,,,,
32,10/30/2024 03:50:14 PM,10.455,204.5,,,,,,
33,10/30/2024 04:00:14 PM,10.259,172.2,,,,,,
34,10/30/2024 04:10:14 PM,10.063,129.2,,,,,,
35,10/30/2024 04:20:14 PM,9.866,96.9,,,,,,
36,10/30/2024 04:30:14 PM,9.669,53.8,,,,,,
37,10/30/2024 04:40:14 PM,9.669,53.8,,,,,,
38,10/30/2024 04:50:14 PM,9.571,21.5,,,,,,
39,10/30/2024 05:00:14 PM,9.472,0.0,,,,,,
40,10/30/2024 05:10:14 PM,9.373,0.0,,,,,,
41,10/30/2024 05:20:14 PM,9.373,0.0,,,,,,
42,10/30/2024 05:30:14 PM,9.373,0.0,,,,,,
43,10/30/2024 05:40:14 PM,9.176,0.0,,,,,,
44,10/30/2024 05:50:14 PM,9.176,0.0,,,,,,
45,10/30/2024 06:00:14 PM,9.077,0.0,,,,,,
46,10/30/2024 06:10:14 PM,9.077,0.0,,,,,,
47,10/30/2024 06:20:14 PM,9.077,0.0,,,,,,
48,10/30/2024 06:30:14 PM,9.077,0.0,,,,,,
49,10/30/2024 06:40:14 PM,9.077,0.0,,,,,,
50,10/30/2024 06:50:14 PM,9.077,0.0,,,,,,
51,10/30/2024 07:00:14 PM,8.978,0.0,,,,,,
52,10/30/2024 07:10:14 PM,8.978,0.0,,,,,,
53,10/30/2024 07:20:14 PM,8.978,0.0,,,,,,
54,10/30/2024 07:30:14 PM,8.978,0.0,,,,,,
55,10/30/2024 07:40:14 PM,8.978,0.0,,,,,,
56,10/30/2024 07:50:14 PM,8.879,0.0,,,,,,
