"Plot Title: 10350050"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350050, SEN S/N: 10350050)","Intensity, Lux (LGR S/N: 10350050, SEN S/N: 10350050)","Bad Battery (LGR S/N: 10350050)","Coupler Attached (LGR S/N: 10350050)","Coupler Detached (LGR S/N: 10350050)","Host Connected (LGR S/N: 10350050)","Stopped (LGR S/N: 10350050)","End Of File (LGR S/N: 10350050)"
1,30/10/2024 11:00:00 AM,22.621,387.5,,,,,,
2,30/10/2024 11:10:00 AM,22.525,581.3,,,,,,
3,30/10/2024 11:20:00 AM,22.812,775.0,,,,,,
4,30/10/2024 11:30:00 AM,38.268,10.8,,,,,,
5,30/10/2024 11:40:00 AM,44.334,0.0,,,,,,
6,30/10/2024 11:50:00 AM,43.480,0.0,,,,,,
7,30/10/2024 12:00:00 PM,42.401,0.0,,,,,,
8,30/10/2024 12:10:00 PM,41.341,0.0,,,,,,
9,30/10/2024 12:20:00 PM,18.045,0.0,,,,,,
10,30/10/2024 12:30:00 PM,16.808,0.0,,,,,,
11,30/10/2024 12:40:00 PM,16.903,0.0,,,,,,
12,30/10/2024 12:50:00 PM,18.140,1119.5,,,,,,
13,30/10/2024 01:00:00 PM,20.519,0.0,,,,,,
14,30/10/2024 01:10:00 PM,24.931,0.0,,,,,,
15,30/10/2024 01:20:00 PM,27.665,0.0,,,,,,
16,30/10/2024 01:30:00 PM,29.352,0.0,,,,,,
17,30/10/2024 01:40:00 PM,30.457,0.0,,,,,,
18,30/10/2024 01:50:00 PM,31.268,0.0,,,,,,
19,30/10/2024 02:00:00 PM,31.574,0.0,,,,,,
20,30/10/2024 02:10:00 PM,25.902,0.0,,,,,,
21,30/10/2024 02:20:00 PM,23.388,0.0,,,,,,
22,30/10/2024 02:30:00 PM,22.429,0.0,,,,,,
23,30/10/2024 02:40:00 PM,21.378,0.0,,,,,,
24,30/10/2024 02:50:00 PM,19.853,0.0,,,,,,
25,30/10/2024 03:00:00 PM,20.138,0.0,,,,,,
26,30/10/2024 03:10:00 PM,20.901,0.0,,,,,,
27,30/10/2024 03:20:00 PM,20.234,0.0,,,,,,
28,30/10/2024 03:30:00 PM,18.236,204.5,,,,,,
29,30/10/2024 03:40:00 PM,12.980,21.5,,,,,,
30,30/10/2024 03:50:00 PM,11.431,226.0,,,,,,
31,30/10/2024 04:00:00 PM,10.651,161.5,,,,,,
32,30/10/2024 04:10:00 PM,10.161,129.2,,,,,,
33,30/10/2024 04:20:00 PM,9.768,96.9,,,,,,
34,30/10/2024 04:30:00 PM,9.669,53.8,,,,,,
35,30/10/2024 04:40:00 PM,9.571,53.8,,,,,,
36,30/10/2024 04:50:00 PM,9.571,21.5,,,,,,
37,30/10/2024 05:00:00 PM,9.472,0.0,,,,,,
38,30/10/2024 05:10:00 PM,9.373,0.0,,,,,,
39,30/10/2024 05:20:00 PM,9.275,0.0,,,,,,
40,30/10/2024 05:30:00 PM,9.275,0.0,,,,,,
41,30/10/2024 05:40:00 PM,9.176,0.0,,,,,,
42,30/10/2024 05:50:00 PM,9.077,0.0,,,,,,
43,30/10/2024 06:00:00 PM,9.077,0.0,,,,,,
44,30/10/2024 06:10:00 PM,9.077,0.0,,,,,,
45,30/10/2024 06:20:00 PM,9.077,0.0,,,,,,
46,30/10/2024 06:30:00 PM,8.978,0.0,,,,,,
47,30/10/2024 06:40:00 PM,8.978,0.0,,,,,,
48,30/10/2024 06:50:00 PM,9.077,0.0,,,,,,
49,30/10/2024 07:00:00 PM,8.978,0.0,,,,,,
50,30/10/2024 07:10:00 PM,8.978,0.0,,,,,,
51,30/10/2024 07:20:00 PM,8.978,0.0,,,,,,
