"Plot Title: 10350065"
"#","Date Time, GMT+01:00","Line 1 Open (LGR S/N: 10350065)","Coupler Detached (LGR S/N: 10350065)","Stopped (LGR S/N: 10350065)","Coupler Attached (LGR S/N: 10350065)","Good Battery (LGR S/N: 10350065)","Line 2 Open (LGR S/N: 10350065)","Started (LGR S/N: 10350065)","Ext. Line Event (LGR S/N: 10350065)","Line 1 Closed (LGR S/N: 10350065)","Line 3 Open (LGR S/N: 10350065)","Interval Change (LGR S/N: 10350065)","Bad Battery (LGR S/N: 10350065)","Line 3 Closed (LGR S/N: 10350065)","Custom Event (LGR S/N: 10350065)","Line 2 Closed (LGR S/N: 10350065)","End Of File (LGR S/N: 10350065)"
1,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,,Logged
2,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
3,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
4,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
5,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
6,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
7,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
8,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
9,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
10,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
11,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
12,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
13,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
14,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
15,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
16,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
17,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
18,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,,Logged,
19,01/01/1970 12:00:00 AM,,,,,,,,,,,,,Logged,,,
20,01/01/1970 12:00:00 AM,,,,,,,,,,,,,,Logged,,
21,11/08/2024 12:19:21 PM,Logged,Logged,,,,,,,,,,,,,,
22,11/08/2024 02:00:56 PM,Logged,,,,,,,,,,,,,,,
23,11/10/2024 11:14:53 AM,,,Logged,,,,,,,,,,,,,
24,07/16/2042 01:38:02 AM,,,,,,,,,,,,Logged,,,,
25,12/12/2066 12:16:15 AM,,,,Logged,,,,,,,,,,,,
26,01/01/1970 12:00:00 AM,,,,Logged,,,,,,,,,,,,
27,12/23/2066 02:02:10 AM,,,,,Logged,,,,,,,,,,,
28,04/05/2067 12:42:41 PM,,,,,,Logged,Logged,,,,,,,,,
29,09/18/2070 06:57:05 PM,,Logged,,,,,,,,,,,,,,
30,02/11/2071 12:11:13 PM,,Logged,,,,,,,,,,,,,,
31,08/16/2071 04:42:45 AM,,Logged,,,,,,,,,,,,,,
32,08/26/2072 10:09:14 AM,,Logged,,,,,,Logged,,,,,,,,
33,01/01/1970 12:00:00 AM,,,,,,,,Logged,,,,,,,,
34,01/01/1970 12:00:00 AM,,,,,,,,Logged,,,,,,,,
35,01/01/1970 12:00:00 AM,,,,,,,,Logged,,,,,,,,
36,08/26/2072 12:25:55 PM,,,,,,,Logged,,,,,,,,,
37,11/02/2072 11:27:15 PM,,,,,,,Logged,,Logged,Logged,,,,,,
38,02/17/2041 01:07:56 PM,,,,,,,,,Logged,,,,,,,
39,11/03/2072 11:58:20 AM,,Logged,,,,,Logged,,,,Logged,,,,,
40,03/03/2048 04:16:32 AM,,,,,,,Logged,,,,,,,,,
41,03/21/2055 02:23:44 PM,,,,,,,Logged,,,,,,,,,
42,11/06/2072 12:58:30 PM,,Logged,,,,Logged,,,,,,,,,,
43,12/25/2074 05:58:14 AM,,,,,,Logged,,,,,,,,,,
44,01/26/2075 02:33:36 AM,,,,,,Logged,,,,,,,,,,
45,02/17/2041 01:07:56 PM,,,,,,Logged,,,Logged,,,,,,,
46,07/16/2042 01:38:02 AM,,,,,,Logged,,,,,,Logged,,,,
47,07/30/2049 10:56:09 AM,,,,,,Logged,,,,,,,,,,
48,01/26/2075 02:44:50 AM,Logged,Logged,,,,,,,,,,,,,,
49,02/17/2041 01:10:41 PM,,Logged,,,,,,,,,,,,,,
50,03/03/2048 04:16:32 AM,,Logged,,,,,,,,,,,,,,
51,07/30/2049 10:56:09 AM,Logged,,,,,Logged,,,,,,,,,,
52,03/21/2055 02:23:44 PM,,Logged,,,,,Logged,,,,,,,,,
53,10/24/2077 07:30:24 AM,,,,,,Logged,,,,,,,,,,
54,10/24/2077 07:33:12 AM,,Logged,,,,,,,,,,,,,,
55,03/24/2079 02:37:22 AM,,Logged,,,,Logged,,,,,,,,,,
56,11/15/2084 06:54:02 AM,,Logged,,,,,Logged,,,,,,,,,
57,06/22/2107 12:00:38 AM,,,,,,Logged,,,,,,,,,,
58,06/22/2107 12:03:25 AM,,Logged,,,,,,,,,,,,,,
59,11/17/2108 06:43:02 AM,Logged,,,,,Logged,,,,,,,,,,
60,07/06/2114 09:21:31 AM,,Logged,,,,,Logged,,,,,,,,,
61,12/01/2115 09:48:52 PM,,,,,,Logged,,,,,,Logged,,,,
62,07/16/2121 11:38:17 PM,,Logged,,,,,Logged,,,,,,,,,
63,12/12/2122 12:05:38 PM,,,,,,Logged,,,,,,Logged,,,,
64,07/27/2128 01:55:03 PM,,Logged,,,,,Logged,,,,,,,,,
65,12/23/2129 02:22:24 AM,Logged,,,,,Logged,,,,,,,,,,
66,08/11/2135 05:00:53 AM,,Logged,,,,,Logged,,,,,,,,,
67,01/05/2137 05:28:14 PM,,,,,,Logged,,,,,,Logged,,,,
68,08/24/2142 08:06:44 PM,,Logged,,,,,Logged,,,,,,,,,
69,01/21/2144 02:46:21 AM,Logged,,,,,Logged,,,,,,,,,,
70,09/08/2149 05:24:51 AM,,Logged,,,,,Logged,,,,,,,,,
71,02/05/2151 06:16:45 AM,,Logged,,,,Logged,,,,,,,,,,
72,10/02/2156 11:22:30 AM,,Logged,,,,,Logged,,,,,,,,,
73,05/20/2179 07:45:34 AM,,,,,,Logged,,,,,,,,,,
74,05/20/2179 07:48:24 AM,,Logged,,,,,,,,,,,,,,
75,01/05/2202 04:11:24 AM,,,,,,Logged,,,,,,,,,,
76,01/05/2202 04:14:12 AM,,Logged,,,,,,,,,,,,,,
77,06/02/2203 04:41:33 PM,,,,,,Logged,,,,,,Logged,,,,
78,01/15/2209 06:30:58 PM,,Logged,,,,,Logged,,,,,,,,,
79,06/14/2210 01:10:36 AM,,Logged,,,,Logged,,,,,,,,,,
80,02/06/2216 05:27:17 AM,,Logged,,,,,Logged,,,,,,,,,
81,07/05/2217 06:19:11 AM,,Logged,,,,Logged,,,,,,,,,,
82,02/27/2223 10:35:51 AM,,Logged,,,,,Logged,,,,,,,,,
83,02/26/2240 05:05:03 PM,,,,,,,,,Logged,,,,,,,
84,01/01/1970 12:00:00 AM,,,,,,,,,Logged,,,,,,,
85,01/01/1970 12:00:00 AM,,,,,,,,,Logged,,,,,,,
86,10/02/2245 03:42:23 AM,,,,,,Logged,,,,,,,,,,
87,10/02/2245 03:45:08 AM,,Logged,,,,,,,,,,,,,,
88,02/26/2247 10:00:12 PM,,,,,,Logged,,,,Logged,,,,,,
89,08/04/2248 02:04:10 PM,,,,,,,,,,,,Logged,,,,
90,06/26/2248 09:45:13 PM,,,,,,,,,,,,Logged,,,,
91,06/08/2162 10:49:38 PM,,,,,,,,,,,,Logged,,,,
92,12/19/2033 03:03:03 PM,,,,,,,,,,,,Logged,,,,
93,07/19/1991 11:59:32 AM,,,,,,,,,,,,Logged,,,,
94,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
95,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
96,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
97,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
98,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
99,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
100,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
101,01/01/1970 12:00:00 AM,,,,,,,,,,,,Logged,,,,
