"Plot Title: 10347365"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347365, SEN S/N: 10347365, LBL: temp)","Coupler Attached (LGR S/N: 10347365)","Host Connected (LGR S/N: 10347365)","Stopped (LGR S/N: 10347365)","End Of File (LGR S/N: 10347365)"
1,10/29/2025 11:00:00 AM,16.046,,,,
2,10/29/2025 11:10:00 AM,16.332,,,,
3,10/29/2025 11:20:00 AM,16.332,,,,
4,10/29/2025 11:30:00 AM,12.594,,,,
5,10/29/2025 11:40:00 AM,7.782,,,,
6,10/29/2025 11:50:00 AM,5.962,,,,
7,10/29/2025 12:00:00 PM,5.037,,,,
8,10/29/2025 12:10:00 PM,4.207,,,,
9,10/29/2025 12:20:00 PM,7.481,,,,
10,10/29/2025 12:30:00 PM,9.571,,,,
11,10/29/2025 12:40:00 PM,10.846,,,,
12,10/29/2025 12:50:00 PM,14.134,,,,
13,10/29/2025 01:00:00 PM,18.426,,,,
14,10/29/2025 01:10:00 PM,22.717,,,,
15,10/29/2025 01:20:00 PM,22.908,,,,
16,10/29/2025 01:30:00 PM,25.708,,,,
17,10/29/2025 01:40:00 PM,25.416,,,,
18,10/29/2025 01:50:00 PM,23.484,,,,
19,10/29/2025 02:00:00 PM,22.333,,,,
20,10/29/2025 02:10:00 PM,21.378,,,,
21,10/29/2025 02:20:00 PM,20.996,,,,
22,10/29/2025 02:30:00 PM,20.805,,,,
23,10/29/2025 02:40:00 PM,20.805,,,,
24,10/29/2025 02:50:00 PM,20.805,,,,
25,10/29/2025 03:00:00 PM,20.901,,,,
26,10/29/2025 03:10:00 PM,20.996,,,,
27,10/29/2025 03:20:00 PM,21.091,,,,
28,10/29/2025 03:30:00 PM,21.091,,,,
29,10/29/2025 03:40:00 PM,20.996,,,,
30,10/29/2025 03:50:00 PM,20.710,,,,
31,10/29/2025 04:00:00 PM,20.519,,,,
32,10/29/2025 04:10:00 PM,20.424,,,,
33,10/29/2025 04:20:00 PM,19.853,,,,
34,10/29/2025 04:30:00 PM,19.282,,,,
35,10/29/2025 04:40:00 PM,15.473,,,,
36,10/29/2025 04:50:00 PM,14.038,,,,
37,10/29/2025 05:00:00 PM,13.750,,,,
38,10/29/2025 05:10:00 PM,13.750,,,,
39,10/29/2025 05:20:00 PM,14.038,,,,
40,10/29/2025 05:30:00 PM,14.325,,,,
41,10/29/2025 05:40:00 PM,14.613,,,,
42,10/29/2025 05:50:00 PM,14.804,,,,
43,10/29/2025 06:00:00 PM,15.187,,,,
44,10/29/2025 06:10:00 PM,15.378,,,,
45,10/29/2025 06:20:00 PM,15.378,,,,
46,10/29/2025 06:30:00 PM,15.378,,,,
47,10/29/2025 06:40:00 PM,15.473,,,,
48,10/29/2025 06:50:00 PM,15.569,,,,
49,10/29/2025 07:00:00 PM,15.569,,,,
50,10/29/2025 07:10:00 PM,15.664,,,,
51,10/29/2025 07:20:00 PM,15.664,,,,
52,10/29/2025 07:30:00 PM,15.664,,,,
53,10/29/2025 07:40:00 PM,15.664,,,,
54,10/29/2025 07:50:00 PM,15.760,,,,
55,10/29/2025 08:00:00 PM,15.664,,,,
56,10/29/2025 08:10:00 PM,15.664,,,,
57,10/29/2025 08:20:00 PM,15.473,,,,
58,10/29/2025 08:30:00 PM,15.569,,,,
59,10/29/2025 08:40:00 PM,15.569,,,,
60,10/29/2025 08:50:00 PM,15.664,,,,
61,10/29/2025 09:00:00 PM,15.473,,,,
62,10/29/2025 09:10:00 PM,15.378,,,,
63,10/29/2025 09:20:00 PM,14.900,,,,
64,10/29/2025 09:30:00 PM,14.134,,,,
65,10/29/2025 09:40:00 PM,13.750,,,,
66,10/29/2025 09:50:00 PM,12.980,,,,
67,10/29/2025 10:00:00 PM,12.401,,,,
68,10/29/2025 10:10:00 PM,12.110,,,,
69,10/29/2025 10:20:00 PM,11.916,,,,
70,10/29/2025 10:30:00 PM,11.528,,,,
71,10/29/2025 10:40:00 PM,11.431,,,,
72,10/29/2025 10:50:00 PM,11.236,,,,
73,10/29/2025 11:00:00 PM,11.041,,,,
74,10/29/2025 11:10:00 PM,10.944,,,,
75,10/29/2025 11:20:00 PM,10.944,,,,
76,10/29/2025 11:30:00 PM,10.944,,,,
77,10/29/2025 11:40:00 PM,11.041,,,,
78,10/29/2025 11:50:00 PM,10.944,,,,
79,10/30/2025 12:00:00 AM,11.139,,,,
80,10/30/2025 12:10:00 AM,11.334,,,,
81,10/30/2025 12:20:00 AM,11.528,,,,
82,10/30/2025 12:30:00 AM,11.431,,,,
83,10/30/2025 12:40:00 AM,11.334,,,,
84,10/30/2025 12:50:00 AM,11.236,,,,
85,10/30/2025 01:00:00 AM,11.334,,,,
86,10/30/2025 01:10:00 AM,11.431,,,,
87,10/30/2025 01:20:00 AM,11.431,,,,
88,10/30/2025 01:30:00 AM,11.431,,,,
89,10/30/2025 01:40:00 AM,11.431,,,,
90,10/30/2025 01:50:00 AM,11.625,,,,
91,10/30/2025 02:00:00 AM,11.625,,,,
92,10/30/2025 02:10:00 AM,11.625,,,,
93,10/30/2025 02:20:00 AM,11.819,,,,
94,10/30/2025 02:30:00 AM,12.013,,,,
95,10/30/2025 02:40:00 AM,12.110,,,,
96,10/30/2025 02:50:00 AM,12.013,,,,
97,10/30/2025 03:00:00 AM,12.110,,,,
98,10/30/2025 03:10:00 AM,12.304,,,,
99,10/30/2025 03:20:00 AM,12.110,,,,
100,10/30/2025 03:30:00 AM,11.916,,,,
101,10/30/2025 03:40:00 AM,11.916,,,,
102,10/30/2025 03:50:00 AM,11.916,,,,
103,10/30/2025 04:00:00 AM,11.916,,,,
104,10/30/2025 04:10:00 AM,11.916,,,,
105,10/30/2025 04:20:00 AM,11.916,,,,
106,10/30/2025 04:30:00 AM,11.819,,,,
107,10/30/2025 04:40:00 AM,11.722,,,,
108,10/30/2025 04:50:00 AM,11.625,,,,
109,10/30/2025 05:00:00 AM,11.625,,,,
110,10/30/2025 05:10:00 AM,11.528,,,,
111,10/30/2025 05:20:00 AM,11.236,,,,
112,10/30/2025 05:30:00 AM,10.944,,,,
113,10/30/2025 05:40:00 AM,10.748,,,,
114,10/30/2025 05:50:00 AM,10.651,,,,
115,10/30/2025 06:00:00 AM,10.553,,,,
116,10/30/2025 06:10:00 AM,10.553,,,,
117,10/30/2025 06:20:00 AM,10.357,,,,
118,10/30/2025 06:30:00 AM,10.357,,,,
119,10/30/2025 06:40:00 AM,10.357,,,,
120,10/30/2025 06:50:00 AM,10.357,,,,
121,10/30/2025 07:00:00 AM,10.259,,,,
122,10/30/2025 07:10:00 AM,10.259,,,,
123,10/30/2025 07:20:00 AM,10.161,,,,
124,10/30/2025 07:30:00 AM,10.063,,,,
125,10/30/2025 07:40:00 AM,9.965,,,,
126,10/30/2025 07:50:00 AM,10.063,,,,
127,10/30/2025 08:00:00 AM,10.161,,,,
128,10/30/2025 08:10:00 AM,10.259,,,,
129,10/30/2025 08:20:00 AM,10.455,,,,
130,10/30/2025 08:30:00 AM,10.651,,,,
131,10/30/2025 08:40:00 AM,10.846,,,,
132,10/30/2025 08:50:00 AM,10.944,,,,
133,10/30/2025 09:00:00 AM,11.139,,,,
134,10/30/2025 09:10:00 AM,11.334,,,,
135,10/30/2025 09:20:00 AM,11.334,,,,
136,10/30/2025 09:30:00 AM,11.334,,,,
137,10/30/2025 09:40:00 AM,11.431,,,,
138,10/30/2025 09:50:00 AM,11.431,,,,
139,10/30/2025 10:00:00 AM,11.625,,,,
140,10/30/2025 10:10:00 AM,11.819,,,,
141,10/30/2025 10:20:00 AM,11.819,,,,
142,10/30/2025 10:30:00 AM,11.819,,,,
143,10/30/2025 10:40:00 AM,11.916,,,,
144,10/30/2025 10:50:00 AM,12.013,,,,
145,10/30/2025 11:00:00 AM,11.916,,,,
146,10/30/2025 11:10:00 AM,11.722,,,,
147,10/30/2025 11:20:00 AM,11.528,,,,
148,10/30/2025 11:30:00 AM,11.625,,,,
149,10/30/2025 11:40:00 AM,12.304,,,,
150,10/30/2025 11:50:00 AM,12.594,,,,
151,10/30/2025 12:00:00 PM,12.787,,,,
152,10/30/2025 12:10:00 PM,12.787,,,,
153,10/30/2025 12:20:00 PM,12.690,,,,
154,10/30/2025 12:30:00 PM,12.497,,,,
155,10/30/2025 12:40:00 PM,12.497,,,,
156,10/30/2025 12:50:00 PM,12.497,,,,
157,10/30/2025 01:00:00 PM,12.497,,,,
158,10/30/2025 01:10:00 PM,12.690,,,,
159,10/30/2025 01:20:00 PM,12.787,,,,
160,10/30/2025 01:30:00 PM,12.787,,,,
161,10/30/2025 01:40:00 PM,12.883,,,,
162,10/30/2025 01:50:00 PM,12.883,,,,
163,10/30/2025 02:00:00 PM,12.980,,,,
164,10/30/2025 02:10:00 PM,12.980,,,,
165,10/30/2025 02:20:00 PM,13.076,,,,
166,10/30/2025 02:30:00 PM,13.076,,,,
167,10/30/2025 02:40:00 PM,13.076,,,,
168,10/30/2025 02:50:00 PM,13.269,,,,
169,10/30/2025 03:00:00 PM,13.173,,,,
170,10/30/2025 03:10:00 PM,13.173,,,,
171,10/30/2025 03:20:00 PM,13.365,,,,
172,10/30/2025 03:30:00 PM,13.365,,,,
173,10/30/2025 03:40:00 PM,13.365,,,,
174,10/30/2025 03:50:00 PM,13.269,,,,
175,10/30/2025 04:00:00 PM,13.173,,,,
176,10/30/2025 04:10:00 PM,12.980,,,,
177,10/30/2025 04:20:00 PM,12.690,,,,
178,10/30/2025 04:30:00 PM,12.304,,,,
179,10/30/2025 04:40:00 PM,12.110,,,,
180,10/30/2025 04:50:00 PM,11.916,,,,
181,10/30/2025 05:00:00 PM,11.722,,,,
182,10/30/2025 05:10:00 PM,11.528,,,,
183,10/30/2025 05:20:00 PM,11.334,,,,
184,10/30/2025 05:30:00 PM,11.236,,,,
185,10/30/2025 05:40:00 PM,11.139,,,,
186,10/30/2025 05:50:00 PM,11.041,,,,
187,10/30/2025 06:00:00 PM,10.944,,,,
