"Plot Title: 10347370"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347370, SEN S/N: 10347370)","Bad Battery (LGR S/N: 10347370)","Coupler Attached (LGR S/N: 10347370)","Host Connected (LGR S/N: 10347370)","Stopped (LGR S/N: 10347370)","End Of File (LGR S/N: 10347370)"
1,10/29/2025 10:00:00 AM,21.282,,,,,
2,10/29/2025 10:10:00 AM,21.569,,,,,
3,10/29/2025 10:20:00 AM,21.569,,,,,
4,10/29/2025 10:30:00 AM,21.855,,,,,
5,10/29/2025 10:40:00 AM,15.855,,,,,
6,10/29/2025 10:50:00 AM,15.569,,,,,
7,10/29/2025 11:00:00 AM,15.951,,,,,
8,10/29/2025 11:10:00 AM,16.141,,,,,
9,10/29/2025 11:20:00 AM,16.427,,,,,
10,10/29/2025 11:30:00 AM,14.517,,,,,
11,10/29/2025 11:40:00 AM,8.879,,,,,
12,10/29/2025 11:50:00 AM,6.064,,,,,
13,10/29/2025 12:00:00 PM,5.037,,,,,
14,10/29/2025 12:10:00 PM,4.415,,,,,
15,10/29/2025 12:20:00 PM,6.166,,,,,
16,10/29/2025 12:30:00 PM,9.768,,,,,
17,10/29/2025 12:40:00 PM,10.651,,,,,
18,10/29/2025 12:50:00 PM,12.594,,,,,
19,10/29/2025 01:00:00 PM,15.091,,,,,
20,10/29/2025 01:10:00 PM,15.473,,,,,
21,10/29/2025 01:20:00 PM,16.332,,,,,
22,10/29/2025 01:30:00 PM,17.379,,,,,
23,10/29/2025 01:40:00 PM,18.426,,,,,
24,10/29/2025 01:50:00 PM,19.187,,,,,
25,10/29/2025 02:00:00 PM,19.567,,,,,
26,10/29/2025 02:10:00 PM,19.662,,,,,
27,10/29/2025 02:20:00 PM,19.758,,,,,
28,10/29/2025 02:30:00 PM,19.853,,,,,
29,10/29/2025 02:40:00 PM,19.853,,,,,
30,10/29/2025 02:50:00 PM,19.948,,,,,
31,10/29/2025 03:00:00 PM,19.948,,,,,
32,10/29/2025 03:10:00 PM,19.948,,,,,
33,10/29/2025 03:20:00 PM,19.948,,,,,
34,10/29/2025 03:30:00 PM,19.948,,,,,
35,10/29/2025 03:40:00 PM,19.758,,,,,
36,10/29/2025 03:50:00 PM,18.806,,,,,
37,10/29/2025 04:00:00 PM,18.711,,,,,
38,10/29/2025 04:10:00 PM,15.378,,,,,
