"Plot Title: 10347393"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10347393, SEN S/N: 10347393, LBL: Temp)","Bad Battery (LGR S/N: 10347393)","Host Connected (LGR S/N: 10347393)","Coupler Attached (LGR S/N: 10347393)","Stopped (LGR S/N: 10347393)","End Of File (LGR S/N: 10347393)"
1,10/29/2025 10:00:00 AM,21.187,,,,,
2,10/29/2025 10:10:00 AM,21.664,,,,,
3,10/29/2025 10:20:00 AM,21.760,,,,,
4,10/29/2025 10:30:00 AM,22.238,,,,,
5,10/29/2025 10:40:00 AM,15.855,,,,,
6,10/29/2025 10:50:00 AM,15.569,,,,,
7,10/29/2025 11:00:00 AM,15.855,,,,,
8,10/29/2025 11:10:00 AM,16.141,,,,,
9,10/29/2025 11:20:00 AM,16.332,,,,,
10,10/29/2025 11:30:00 AM,14.517,,,,,
11,10/29/2025 11:40:00 AM,8.680,,,,,
12,10/29/2025 11:50:00 AM,6.471,,,,,
13,10/29/2025 12:00:00 PM,5.037,,,,,
14,10/29/2025 12:10:00 PM,4.727,,,,,
15,10/29/2025 12:20:00 PM,6.775,,,,,
16,10/29/2025 12:30:00 PM,10.455,,,,,
17,10/29/2025 12:40:00 PM,11.819,,,,,
18,10/29/2025 12:50:00 PM,14.134,,,,,
19,10/29/2025 01:00:00 PM,16.237,,,,,
20,10/29/2025 01:10:00 PM,16.332,,,,,
21,10/29/2025 01:20:00 PM,17.189,,,,,
22,10/29/2025 01:30:00 PM,18.426,,,,,
23,10/29/2025 01:40:00 PM,19.662,,,,,
24,10/29/2025 01:50:00 PM,20.138,,,,,
25,10/29/2025 02:00:00 PM,20.234,,,,,
26,10/29/2025 02:10:00 PM,19.853,,,,,
27,10/29/2025 02:20:00 PM,19.758,,,,,
28,10/29/2025 02:30:00 PM,19.662,,,,,
29,10/29/2025 02:40:00 PM,19.758,,,,,
30,10/29/2025 02:50:00 PM,19.758,,,,,
31,10/29/2025 03:00:00 PM,19.853,,,,,
32,10/29/2025 03:10:00 PM,19.853,,,,,
33,10/29/2025 03:20:00 PM,19.853,,,,,
34,10/29/2025 03:30:00 PM,19.853,,,,,
35,10/29/2025 03:40:00 PM,19.758,,,,,
36,10/29/2025 03:50:00 PM,18.806,,,,,
37,10/29/2025 04:00:00 PM,17.475,,,,,
38,10/29/2025 04:10:00 PM,21.378,,,,,
39,10/29/2025 04:20:00 PM,21.473,,,,,
40,10/29/2025 04:30:00 PM,19.567,,,,,
41,10/29/2025 04:40:00 PM,19.567,,,,,
42,10/29/2025 04:50:00 PM,18.236,,,,,
43,10/29/2025 05:00:00 PM,16.046,,,,,
44,10/29/2025 05:10:00 PM,13.750,,,,,
45,10/29/2025 05:20:00 PM,13.173,,,,,
46,10/29/2025 05:30:00 PM,13.076,,,,,
47,10/29/2025 05:40:00 PM,13.269,,,,,
48,10/29/2025 05:50:00 PM,13.654,,,,,
