"Plot Title: 10350017"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350017, SEN S/N: 10350017, LBL: temp)","Good Battery (LGR S/N: 10350017)","Coupler Detached (LGR S/N: 10350017)","Bad Battery (LGR S/N: 10350017)","Coupler Attached (LGR S/N: 10350017)","Host Connected (LGR S/N: 10350017)","Stopped (LGR S/N: 10350017)","End Of File (LGR S/N: 10350017)"
1,10/29/2025 10:09:23 AM,28.456,Logged,,,,,,
2,10/29/2025 10:09:29 AM,,,Logged,,,,,
3,10/29/2025 10:19:23 AM,24.738,,,,,,,
4,10/29/2025 10:29:23 AM,22.812,,,,,,,
5,10/29/2025 10:39:23 AM,15.951,,,,,,,
6,10/29/2025 10:49:23 AM,15.378,,,,,,,
7,10/29/2025 10:59:23 AM,15.760,,,,,,,
8,10/29/2025 11:09:23 AM,16.046,,,,,,,
9,10/29/2025 11:19:23 AM,16.618,,,,,,,
10,10/29/2025 11:29:23 AM,11.722,,,,,,,
11,10/29/2025 11:39:23 AM,8.978,,,,,,,
12,10/29/2025 11:49:23 AM,6.268,,,,,,,
13,10/29/2025 11:59:23 AM,5.141,,,,,,,
14,10/29/2025 12:09:23 PM,5.552,,,,,,,
15,10/29/2025 12:19:23 PM,6.370,,,,,,,
16,10/29/2025 12:29:23 PM,10.063,,,,,,,
17,10/29/2025 12:39:23 PM,11.916,,,,,,,
18,10/29/2025 12:49:23 PM,13.461,,,,,,,
19,10/29/2025 12:59:23 PM,29.452,,,,,,,
20,10/29/2025 01:09:23 PM,25.902,,,,,,,
21,10/29/2025 01:19:23 PM,24.158,,,,,,,
22,10/29/2025 01:29:23 PM,23.388,,,,,,,
23,10/29/2025 01:39:23 PM,23.004,,,,,,,
24,10/29/2025 01:49:23 PM,22.812,,,,,,,
25,10/29/2025 01:59:23 PM,22.717,,,,,,,
26,10/29/2025 02:09:23 PM,22.525,,,,,,,
27,10/29/2025 02:19:23 PM,22.429,,,,,,,
28,10/29/2025 02:29:23 PM,22.717,,,,,,,
29,10/29/2025 02:39:23 PM,23.196,,,,,,,
30,10/29/2025 02:49:23 PM,23.677,,,,,,,
31,10/29/2025 02:59:23 PM,24.062,,,,,,,
32,10/29/2025 03:09:23 PM,24.351,,,,,,,
33,10/29/2025 03:19:23 PM,24.641,,,,,,,
34,10/29/2025 03:29:23 PM,24.835,,,,,,,
35,10/29/2025 03:39:23 PM,24.062,,,,,,,
36,10/29/2025 03:49:23 PM,22.238,,,,,,,
37,10/29/2025 03:59:23 PM,20.710,,,,,,,
38,10/29/2025 04:09:23 PM,20.043,,,,,,,
39,10/29/2025 04:19:23 PM,18.426,,,,,,,
40,10/29/2025 04:29:23 PM,15.664,,,,,,,
41,10/29/2025 04:39:23 PM,14.709,,,,,,,
42,10/29/2025 04:49:23 PM,14.421,,,,,,,
43,10/29/2025 04:59:23 PM,14.230,,,,,,,
44,10/29/2025 05:09:23 PM,14.230,,,,,,,
45,10/29/2025 05:19:23 PM,14.325,,,,,,,
46,10/29/2025 05:29:23 PM,14.421,,,,,,,
47,10/29/2025 05:39:23 PM,14.517,,,,,,,
48,10/29/2025 05:49:23 PM,14.709,,,,,,,
49,10/29/2025 05:59:23 PM,14.804,,,,,,,
50,10/29/2025 06:09:23 PM,14.804,,,,,,,
51,10/29/2025 06:19:23 PM,14.900,,,,,,,
52,10/29/2025 06:29:23 PM,15.091,,,,,,,
53,10/29/2025 06:39:23 PM,15.187,,,,,,,
54,10/29/2025 06:49:23 PM,15.282,,,,,,,
55,10/29/2025 06:59:23 PM,15.282,,,,,,,
56,10/29/2025 07:09:23 PM,15.282,,,,,,,
57,10/29/2025 07:19:23 PM,15.378,,,,,,,
58,10/29/2025 07:29:23 PM,15.282,,,,,,,
59,10/29/2025 07:39:23 PM,15.378,,,,,,,
60,10/29/2025 07:49:23 PM,15.378,,,,,,,
61,10/29/2025 07:59:23 PM,15.282,,,,,,,
62,10/29/2025 08:09:23 PM,15.187,,,,,,,
63,10/29/2025 08:19:23 PM,15.187,,,,,,,
64,10/29/2025 08:29:23 PM,15.187,,,,,,,
65,10/29/2025 08:39:23 PM,15.187,,,,,,,
66,10/29/2025 08:49:23 PM,15.187,,,,,,,
67,10/29/2025 08:59:23 PM,15.091,,,,,,,
68,10/29/2025 09:09:23 PM,14.996,,,,,,,
69,10/29/2025 09:19:23 PM,14.804,,,,,,,
70,10/29/2025 09:29:23 PM,13.654,,,,,,,
71,10/29/2025 09:39:23 PM,12.883,,,,,,,
72,10/29/2025 09:49:23 PM,12.304,,,,,,,
73,10/29/2025 09:59:23 PM,11.528,,,,,,,
74,10/29/2025 10:09:23 PM,11.334,,,,,,,
75,10/29/2025 10:19:23 PM,11.139,,,,,,,
76,10/29/2025 10:29:23 PM,10.944,,,,,,,
77,10/29/2025 10:39:23 PM,10.748,,,,,,,
78,10/29/2025 10:49:23 PM,10.748,,,,,,,
79,10/29/2025 10:59:23 PM,10.651,,,,,,,
80,10/29/2025 11:09:23 PM,10.455,,,,,,,
81,10/29/2025 11:19:23 PM,10.357,,,,,,,
82,10/29/2025 11:29:23 PM,10.357,,,,,,,
83,10/29/2025 11:39:23 PM,10.455,,,,,,,
84,10/29/2025 11:49:23 PM,10.553,,,,,,,
85,10/29/2025 11:59:23 PM,10.651,,,,,,,
86,10/30/2025 12:09:23 AM,10.846,,,,,,,
87,10/30/2025 12:19:23 AM,11.041,,,,,,,
88,10/30/2025 12:29:23 AM,10.944,,,,,,,
89,10/30/2025 12:39:23 AM,10.846,,,,,,,
90,10/30/2025 12:49:23 AM,10.748,,,,,,,
91,10/30/2025 12:59:23 AM,10.748,,,,,,,
92,10/30/2025 01:09:23 AM,10.748,,,,,,,
93,10/30/2025 01:19:23 AM,10.944,,,,,,,
94,10/30/2025 01:29:23 AM,10.944,,,,,,,
95,10/30/2025 01:39:23 AM,11.139,,,,,,,
96,10/30/2025 01:49:23 AM,11.334,,,,,,,
97,10/30/2025 01:59:23 AM,11.236,,,,,,,
98,10/30/2025 02:09:23 AM,11.139,,,,,,,
99,10/30/2025 02:19:23 AM,11.431,,,,,,,
100,10/30/2025 02:29:23 AM,11.528,,,,,,,
101,10/30/2025 02:39:23 AM,11.528,,,,,,,
102,10/30/2025 02:49:23 AM,11.528,,,,,,,
103,10/30/2025 02:59:23 AM,11.431,,,,,,,
104,10/30/2025 03:09:23 AM,11.528,,,,,,,
105,10/30/2025 03:19:23 AM,11.528,,,,,,,
106,10/30/2025 03:29:23 AM,11.431,,,,,,,
107,10/30/2025 03:39:23 AM,11.431,,,,,,,
108,10/30/2025 03:49:23 AM,11.431,,,,,,,
109,10/30/2025 03:59:23 AM,11.528,,,,,,,
110,10/30/2025 04:09:23 AM,11.431,,,,,,,
111,10/30/2025 04:19:23 AM,11.334,,,,,,,
112,10/30/2025 04:29:23 AM,11.236,,,,,,,
113,10/30/2025 04:39:23 AM,11.139,,,,,,,
114,10/30/2025 04:49:23 AM,11.041,,,,,,,
115,10/30/2025 04:59:23 AM,11.041,,,,,,,
116,10/30/2025 05:09:23 AM,10.944,,,,,,,
117,10/30/2025 05:19:23 AM,10.651,,,,,,,
118,10/30/2025 05:29:23 AM,10.259,,,,,,,
119,10/30/2025 05:39:23 AM,10.063,,,,,,,
120,10/30/2025 05:49:23 AM,9.866,,,,,,,
121,10/30/2025 05:59:23 AM,9.768,,,,,,,
