"Plot Title: 10350043"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350043, SEN S/N: 10350043, LBL: temp)","Bad Battery (LGR S/N: 10350043)","Host Connected (LGR S/N: 10350043)","Coupler Attached (LGR S/N: 10350043)","Stopped (LGR S/N: 10350043)","End Of File (LGR S/N: 10350043)"
1,10/29/2025 10:30:00 AM,23.484,,,,,
2,10/29/2025 10:40:00 AM,15.760,,,,,
3,10/29/2025 10:50:00 AM,15.569,,,,,
4,10/29/2025 11:00:00 AM,15.951,,,,,
5,10/29/2025 11:10:00 AM,16.237,,,,,
6,10/29/2025 11:20:00 AM,16.237,,,,,
7,10/29/2025 11:30:00 AM,12.013,,,,,
8,10/29/2025 11:40:00 AM,7.882,,,,,
9,10/29/2025 11:50:00 AM,5.244,,,,,
10,10/29/2025 12:00:00 PM,4.623,,,,,
11,10/29/2025 12:10:00 PM,4.623,,,,,
12,10/29/2025 12:20:00 PM,8.879,,,,,
13,10/29/2025 12:30:00 PM,11.334,,,,,
14,10/29/2025 12:40:00 PM,12.497,,,,,
15,10/29/2025 12:50:00 PM,15.664,,,,,
16,10/29/2025 01:00:00 PM,23.196,,,,,
17,10/29/2025 01:10:00 PM,21.760,,,,,
18,10/29/2025 01:20:00 PM,21.569,,,,,
19,10/29/2025 01:30:00 PM,21.760,,,,,
20,10/29/2025 01:40:00 PM,22.238,,,,,
21,10/29/2025 01:50:00 PM,22.621,,,,,
22,10/29/2025 02:00:00 PM,21.282,,,,,
23,10/29/2025 02:10:00 PM,20.996,,,,,
24,10/29/2025 02:20:00 PM,21.855,,,,,
25,10/29/2025 02:30:00 PM,23.100,,,,,
26,10/29/2025 02:40:00 PM,23.966,,,,,
27,10/29/2025 02:50:00 PM,24.738,,,,,
28,10/29/2025 03:00:00 PM,25.125,,,,,
29,10/29/2025 03:10:00 PM,25.222,,,,,
30,10/29/2025 03:20:00 PM,25.319,,,,,
31,10/29/2025 03:30:00 PM,25.222,,,,,
32,10/29/2025 03:40:00 PM,23.966,,,,,
33,10/29/2025 03:50:00 PM,22.238,,,,,
34,10/29/2025 04:00:00 PM,21.282,,,,,
35,10/29/2025 04:10:00 PM,21.473,,,,,
36,10/29/2025 04:20:00 PM,20.138,,,,,
37,10/29/2025 04:30:00 PM,18.901,,,,,
38,10/29/2025 04:40:00 PM,15.664,,,,,
39,10/29/2025 04:50:00 PM,14.325,,,,,
40,10/29/2025 05:00:00 PM,13.750,,,,,
41,10/29/2025 05:10:00 PM,13.558,,,,,
42,10/29/2025 05:20:00 PM,13.654,,,,,
43,10/29/2025 05:30:00 PM,13.750,,,,,
44,10/29/2025 05:40:00 PM,13.942,,,,,
45,10/29/2025 05:50:00 PM,14.134,,,,,
46,10/29/2025 06:00:00 PM,14.517,,,,,
47,10/29/2025 06:10:00 PM,14.613,,,,,
48,10/29/2025 06:20:00 PM,14.709,,,,,
49,10/29/2025 06:30:00 PM,14.996,,,,,
50,10/29/2025 06:40:00 PM,15.091,,,,,
51,10/29/2025 06:50:00 PM,15.187,,,,,
52,10/29/2025 07:00:00 PM,15.378,,,,,
53,10/29/2025 07:10:00 PM,15.378,,,,,
54,10/29/2025 07:20:00 PM,15.473,,,,,
55,10/29/2025 07:30:00 PM,15.473,,,,,
56,10/29/2025 07:40:00 PM,15.282,,,,,
57,10/29/2025 07:50:00 PM,15.187,,,,,
58,10/29/2025 08:00:00 PM,15.091,,,,,
59,10/29/2025 08:10:00 PM,14.996,,,,,
60,10/29/2025 08:20:00 PM,15.187,,,,,
61,10/29/2025 08:30:00 PM,14.996,,,,,
62,10/29/2025 08:40:00 PM,14.996,,,,,
63,10/29/2025 08:50:00 PM,15.187,,,,,
64,10/29/2025 09:00:00 PM,15.378,,,,,
65,10/29/2025 09:10:00 PM,15.282,,,,,
66,10/29/2025 09:20:00 PM,14.613,,,,,
67,10/29/2025 09:30:00 PM,13.461,,,,,
68,10/29/2025 09:40:00 PM,12.980,,,,,
69,10/29/2025 09:50:00 PM,12.207,,,,,
70,10/29/2025 10:00:00 PM,11.528,,,,,
71,10/29/2025 10:10:00 PM,11.334,,,,,
72,10/29/2025 10:20:00 PM,11.041,,,,,
73,10/29/2025 10:30:00 PM,10.846,,,,,
74,10/29/2025 10:40:00 PM,10.651,,,,,
75,10/29/2025 10:50:00 PM,10.553,,,,,
76,10/29/2025 11:00:00 PM,10.455,,,,,
77,10/29/2025 11:10:00 PM,10.259,,,,,
78,10/29/2025 11:20:00 PM,10.357,,,,,
79,10/29/2025 11:30:00 PM,10.357,,,,,
80,10/29/2025 11:40:00 PM,10.455,,,,,
81,10/29/2025 11:50:00 PM,10.553,,,,,
82,10/30/2025 12:00:00 AM,10.553,,,,,
83,10/30/2025 12:10:00 AM,10.846,,,,,
84,10/30/2025 12:20:00 AM,10.944,,,,,
85,10/30/2025 12:30:00 AM,10.944,,,,,
86,10/30/2025 12:40:00 AM,10.846,,,,,
87,10/30/2025 12:50:00 AM,10.846,,,,,
88,10/30/2025 01:00:00 AM,10.846,,,,,
89,10/30/2025 01:10:00 AM,10.944,,,,,
90,10/30/2025 01:20:00 AM,11.041,,,,,
91,10/30/2025 01:30:00 AM,11.139,,,,,
92,10/30/2025 01:40:00 AM,11.236,,,,,
93,10/30/2025 01:50:00 AM,11.431,,,,,
94,10/30/2025 02:00:00 AM,11.431,,,,,
95,10/30/2025 02:10:00 AM,11.431,,,,,
96,10/30/2025 02:20:00 AM,11.625,,,,,
97,10/30/2025 02:30:00 AM,11.819,,,,,
98,10/30/2025 02:40:00 AM,11.819,,,,,
99,10/30/2025 02:50:00 AM,11.722,,,,,
100,10/30/2025 03:00:00 AM,11.722,,,,,
101,10/30/2025 03:10:00 AM,11.819,,,,,
102,10/30/2025 03:20:00 AM,11.625,,,,,
103,10/30/2025 03:30:00 AM,11.528,,,,,
104,10/30/2025 03:40:00 AM,11.431,,,,,
105,10/30/2025 03:50:00 AM,11.528,,,,,
106,10/30/2025 04:00:00 AM,11.625,,,,,
107,10/30/2025 04:10:00 AM,11.528,,,,,
108,10/30/2025 04:20:00 AM,11.431,,,,,
109,10/30/2025 04:30:00 AM,11.334,,,,,
110,10/30/2025 04:40:00 AM,11.236,,,,,
111,10/30/2025 04:50:00 AM,11.139,,,,,
112,10/30/2025 05:00:00 AM,11.139,,,,,
113,10/30/2025 05:10:00 AM,11.041,,,,,
114,10/30/2025 05:20:00 AM,10.651,,,,,
115,10/30/2025 05:30:00 AM,10.357,,,,,
116,10/30/2025 05:40:00 AM,10.063,,,,,
117,10/30/2025 05:50:00 AM,9.866,,,,,
118,10/30/2025 06:00:00 AM,9.866,,,,,
119,10/30/2025 06:10:00 AM,9.866,,,,,
120,10/30/2025 06:20:00 AM,9.768,,,,,
121,10/30/2025 06:30:00 AM,9.669,,,,,
122,10/30/2025 06:40:00 AM,9.669,,,,,
123,10/30/2025 06:50:00 AM,9.669,,,,,
124,10/30/2025 07:00:00 AM,9.669,,,,,
125,10/30/2025 07:10:00 AM,9.571,,,,,
