"Plot Title: 10350107"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10350107, SEN S/N: 10350107, LBL: temp)","Coupler Detached (LGR S/N: 10350107)","Bad Battery (LGR S/N: 10350107)","Coupler Attached (LGR S/N: 10350107)","Host Connected (LGR S/N: 10350107)","Stopped (LGR S/N: 10350107)","End Of File (LGR S/N: 10350107)"
1,10/29/2025 10:23:11 AM,25.416,,,,,,
2,10/29/2025 10:23:20 AM,,Logged,,,,,
3,10/29/2025 10:33:11 AM,24.448,,,,,,
4,10/29/2025 10:43:11 AM,15.664,,,,,,
5,10/29/2025 10:53:11 AM,15.569,,,,,,
6,10/29/2025 11:03:11 AM,16.046,,,,,,
7,10/29/2025 11:13:11 AM,16.618,,,,,,
8,10/29/2025 11:23:11 AM,16.237,,,,,,
9,10/29/2025 11:33:11 AM,11.431,,,,,,
10,10/29/2025 11:43:11 AM,7.481,,,,,,
11,10/29/2025 11:53:11 AM,4.934,,,,,,
12,10/29/2025 12:03:11 PM,4.623,,,,,,
13,10/29/2025 12:13:11 PM,3.893,,,,,,
14,10/29/2025 12:23:11 PM,7.481,,,,,,
15,10/29/2025 12:33:11 PM,9.669,,,,,,
16,10/29/2025 12:43:11 PM,11.041,,,,,,
17,10/29/2025 12:53:11 PM,15.855,,,,,,
18,10/29/2025 01:03:11 PM,25.902,,,,,,
19,10/29/2025 01:13:11 PM,24.255,,,,,,
20,10/29/2025 01:23:11 PM,19.758,,,,,,
21,10/29/2025 01:33:11 PM,18.901,,,,,,
22,10/29/2025 01:43:11 PM,19.472,,,,,,
23,10/29/2025 01:53:11 PM,20.615,,,,,,
24,10/29/2025 02:03:11 PM,21.282,,,,,,
25,10/29/2025 02:13:11 PM,20.805,,,,,,
26,10/29/2025 02:23:11 PM,21.187,,,,,,
27,10/29/2025 02:33:11 PM,21.760,,,,,,
28,10/29/2025 02:43:11 PM,22.046,,,,,,
29,10/29/2025 02:53:11 PM,22.333,,,,,,
30,10/29/2025 03:03:11 PM,22.429,,,,,,
31,10/29/2025 03:13:11 PM,22.429,,,,,,
32,10/29/2025 03:23:11 PM,22.333,,,,,,
33,10/29/2025 03:33:11 PM,22.046,,,,,,
34,10/29/2025 03:43:11 PM,21.760,,,,,,
35,10/29/2025 03:53:11 PM,21.378,,,,,,
36,10/29/2025 04:03:11 PM,19.187,,,,,,
37,10/29/2025 04:13:11 PM,17.665,,,,,,
38,10/29/2025 04:23:11 PM,16.808,,,,,,
39,10/29/2025 04:33:11 PM,16.427,,,,,,
40,10/29/2025 04:43:11 PM,15.569,,,,,,
41,10/29/2025 04:53:11 PM,14.804,,,,,,
42,10/29/2025 05:03:11 PM,14.613,,,,,,
43,10/29/2025 05:13:11 PM,14.709,,,,,,
44,10/29/2025 05:23:11 PM,14.804,,,,,,
45,10/29/2025 05:33:11 PM,15.091,,,,,,
