"Plot Title: 10760709"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760709, SEN S/N: 10760709, LBL: temp)","Good Battery (LGR S/N: 10760709)","Bad Battery (LGR S/N: 10760709)","Coupler Attached (LGR S/N: 10760709)","Host Connected (LGR S/N: 10760709)","Stopped (LGR S/N: 10760709)","End Of File (LGR S/N: 10760709)"
1,10/29/2025 11:00:00 AM,16.046,,,,,,
2,10/29/2025 11:10:00 AM,16.332,,,,,,
3,10/29/2025 11:20:00 AM,16.332,,,,,,
4,10/29/2025 11:30:00 AM,12.401,,,,,,
5,10/29/2025 11:40:00 AM,7.882,,,,,,
6,10/29/2025 11:50:00 AM,5.450,,,,,,
7,10/29/2025 12:00:00 PM,4.623,,,,,,
8,10/29/2025 12:10:00 PM,4.102,,,,,,
9,10/29/2025 12:20:00 PM,8.779,,,,,,
10,10/29/2025 12:30:00 PM,11.236,,,,,,
11,10/29/2025 12:40:00 PM,12.304,,,,,,
12,10/29/2025 12:50:00 PM,15.569,,,,,,
13,10/29/2025 01:00:00 PM,24.351,Logged,,,,,
14,10/29/2025 01:10:00 PM,26.390,,,,,,
15,10/29/2025 01:20:00 PM,28.853,,,,,,
16,10/29/2025 01:30:00 PM,28.258,,,,,,
17,10/29/2025 01:40:00 PM,26.879,,,,,,
18,10/29/2025 01:50:00 PM,24.448,,,,,,
19,10/29/2025 02:00:00 PM,23.004,,,,,,
20,10/29/2025 02:10:00 PM,21.951,,,,,,
21,10/29/2025 02:20:00 PM,21.569,,,,,,
22,10/29/2025 02:30:00 PM,21.664,,,,,,
23,10/29/2025 02:40:00 PM,22.142,,,,,,
24,10/29/2025 02:50:00 PM,22.621,,,,,,
25,10/29/2025 03:00:00 PM,23.100,,,,,,
26,10/29/2025 03:10:00 PM,23.388,,,,,,
27,10/29/2025 03:20:00 PM,23.677,,,,,,
28,10/29/2025 03:30:00 PM,23.773,,,,,,
29,10/29/2025 03:40:00 PM,23.484,,,,,,
30,10/29/2025 03:50:00 PM,22.717,,,,,,
31,10/29/2025 04:00:00 PM,22.142,,,,,,
32,10/29/2025 04:10:00 PM,21.282,,,,,,
33,10/29/2025 04:20:00 PM,20.043,,,,,,
34,10/29/2025 04:30:00 PM,17.094,,,,,,
35,10/29/2025 04:40:00 PM,15.664,,,,,,
36,10/29/2025 04:50:00 PM,15.378,,,,,,
37,10/29/2025 05:00:00 PM,15.569,,,,,,
38,10/29/2025 05:10:00 PM,15.664,,,,,,
39,10/29/2025 05:20:00 PM,15.855,,,,,,
40,10/29/2025 05:30:00 PM,16.046,,,,,,
41,10/29/2025 05:40:00 PM,16.332,,,,,,
42,10/29/2025 05:50:00 PM,16.523,,,,,,
43,10/29/2025 06:00:00 PM,16.903,,,,,,
44,10/29/2025 06:10:00 PM,16.808,,,,,,
45,10/29/2025 06:20:00 PM,16.808,,,,,,
46,10/29/2025 06:30:00 PM,16.903,,,,,,
47,10/29/2025 06:40:00 PM,16.808,,,,,,
48,10/29/2025 06:50:00 PM,16.903,,,,,,
49,10/29/2025 07:00:00 PM,16.903,,,,,,
50,10/29/2025 07:10:00 PM,16.999,,,,,,
51,10/29/2025 07:20:00 PM,16.903,,,,,,
52,10/29/2025 07:30:00 PM,16.808,,,,,,
53,10/29/2025 07:40:00 PM,16.999,,,,,,
54,10/29/2025 07:50:00 PM,16.903,,,,,,
55,10/29/2025 08:00:00 PM,16.808,,,,,,
56,10/29/2025 08:10:00 PM,16.713,,,,,,
57,10/29/2025 08:20:00 PM,16.808,,,,,,
58,10/29/2025 08:30:00 PM,16.713,,,,,,
59,10/29/2025 08:40:00 PM,16.618,,,,,,
60,10/29/2025 08:50:00 PM,16.523,,,,,,
61,10/29/2025 09:00:00 PM,16.332,,,,,,
62,10/29/2025 09:10:00 PM,16.237,,,,,,
63,10/29/2025 09:20:00 PM,15.378,,,,,,
64,10/29/2025 09:30:00 PM,14.517,,,,,,
65,10/29/2025 09:40:00 PM,13.942,,,,,,
66,10/29/2025 09:50:00 PM,13.173,,,,,,
67,10/29/2025 10:00:00 PM,12.690,,,,,,
68,10/29/2025 10:10:00 PM,12.594,,,,,,
69,10/29/2025 10:20:00 PM,12.013,,,,,,
70,10/29/2025 10:30:00 PM,11.722,,,,,,
71,10/29/2025 10:40:00 PM,11.625,,,,,,
72,10/29/2025 10:50:00 PM,11.625,,,,,,
73,10/29/2025 11:00:00 PM,11.236,,,,,,
74,10/29/2025 11:10:00 PM,11.139,,,,,,
75,10/29/2025 11:20:00 PM,11.139,,,,,,
76,10/29/2025 11:30:00 PM,11.334,,,,,,
77,10/29/2025 11:40:00 PM,11.431,,,,,,
78,10/29/2025 11:50:00 PM,11.528,,,,,,
79,10/30/2025 12:00:00 AM,11.722,,,,,,
80,10/30/2025 12:10:00 AM,12.207,,,,,,
81,10/30/2025 12:20:00 AM,12.013,,,,,,
82,10/30/2025 12:30:00 AM,11.916,,,,,,
83,10/30/2025 12:40:00 AM,11.625,,,,,,
84,10/30/2025 12:50:00 AM,11.528,,,,,,
85,10/30/2025 01:00:00 AM,11.528,,,,,,
86,10/30/2025 01:10:00 AM,11.916,,,,,,
87,10/30/2025 01:20:00 AM,11.819,,,,,,
88,10/30/2025 01:30:00 AM,11.916,,,,,,
89,10/30/2025 01:40:00 AM,11.916,,,,,,
90,10/30/2025 01:50:00 AM,12.304,,,,,,
91,10/30/2025 02:00:00 AM,12.304,,,,,,
92,10/30/2025 02:10:00 AM,12.497,,,,,,
93,10/30/2025 02:20:00 AM,12.594,,,,,,
94,10/30/2025 02:30:00 AM,12.883,,,,,,
95,10/30/2025 02:40:00 AM,12.690,,,,,,
96,10/30/2025 02:50:00 AM,12.497,,,,,,
97,10/30/2025 03:00:00 AM,12.594,,,,,,
98,10/30/2025 03:10:00 AM,12.594,,,,,,
99,10/30/2025 03:20:00 AM,12.304,,,,,,
100,10/30/2025 03:30:00 AM,12.110,,,,,,
101,10/30/2025 03:40:00 AM,12.110,,,,,,
102,10/30/2025 03:50:00 AM,12.110,,,,,,
103,10/30/2025 04:00:00 AM,12.207,,,,,,
104,10/30/2025 04:10:00 AM,12.110,,,,,,
105,10/30/2025 04:20:00 AM,12.013,,,,,,
106,10/30/2025 04:30:00 AM,11.819,,,,,,
107,10/30/2025 04:40:00 AM,11.722,,,,,,
108,10/30/2025 04:50:00 AM,11.528,,,,,,
109,10/30/2025 05:00:00 AM,11.431,,,,,,
110,10/30/2025 05:10:00 AM,11.334,,,,,,
111,10/30/2025 05:20:00 AM,10.846,,,,,,
112,10/30/2025 05:30:00 AM,10.553,,,,,,
113,10/30/2025 05:40:00 AM,10.357,,,,,,
114,10/30/2025 05:50:00 AM,10.259,,,,,,
115,10/30/2025 06:00:00 AM,10.161,,,,,,
116,10/30/2025 06:10:00 AM,10.063,,,,,,
117,10/30/2025 06:20:00 AM,9.965,,,,,,
118,10/30/2025 06:30:00 AM,10.161,,,,,,
119,10/30/2025 06:40:00 AM,10.259,,,,,,
120,10/30/2025 06:50:00 AM,10.357,,,,,,
121,10/30/2025 07:00:00 AM,10.259,,,,,,
122,10/30/2025 07:10:00 AM,10.357,,,,,,
123,10/30/2025 07:20:00 AM,10.357,,,,,,
124,10/30/2025 07:30:00 AM,10.357,,,,,,
125,10/30/2025 07:40:00 AM,10.553,,,,,,
126,10/30/2025 07:50:00 AM,10.553,,,,,,
127,10/30/2025 08:00:00 AM,10.651,,,,,,
128,10/30/2025 08:10:00 AM,10.748,,,,,,
129,10/30/2025 08:20:00 AM,10.651,,,,,,
130,10/30/2025 08:30:00 AM,10.651,,,,,,
131,10/30/2025 08:40:00 AM,10.553,,,,,,
132,10/30/2025 08:50:00 AM,10.553,,,,,,
133,10/30/2025 09:00:00 AM,10.553,,,,,,
134,10/30/2025 09:10:00 AM,10.748,,,,,,
135,10/30/2025 09:20:00 AM,10.846,,,,,,
136,10/30/2025 09:30:00 AM,10.846,,,,,,
137,10/30/2025 09:40:00 AM,11.041,,,,,,
138,10/30/2025 09:50:00 AM,11.916,,,,,,
139,10/30/2025 10:00:00 AM,11.722,,,,,,
140,10/30/2025 10:10:00 AM,11.625,,,,,,
141,10/30/2025 10:20:00 AM,11.334,,,,,,
142,10/30/2025 10:30:00 AM,11.236,,,,,,
143,10/30/2025 10:40:00 AM,11.334,,,,,,
144,10/30/2025 10:50:00 AM,11.528,,,,,,
145,10/30/2025 11:00:00 AM,11.916,,,,,,
146,10/30/2025 11:10:00 AM,11.722,,,,,,
147,10/30/2025 11:20:00 AM,11.431,,,,,,
148,10/30/2025 11:30:00 AM,11.722,,,,,,
149,10/30/2025 11:40:00 AM,12.883,,,,,,
150,10/30/2025 11:50:00 AM,12.690,,,,,,
151,10/30/2025 12:00:00 PM,13.654,,,,,,
152,10/30/2025 12:10:00 PM,13.750,,,,,,
153,10/30/2025 12:20:00 PM,13.654,,,,,,
154,10/30/2025 12:30:00 PM,13.365,,,,,,
155,10/30/2025 12:40:00 PM,13.269,,,,,,
156,10/30/2025 12:50:00 PM,13.365,,,,,,
157,10/30/2025 01:00:00 PM,13.558,,,,,,
158,10/30/2025 01:10:00 PM,14.134,,,,,,
159,10/30/2025 01:20:00 PM,14.134,,,,,,
160,10/30/2025 01:30:00 PM,14.230,,,,,,
161,10/30/2025 01:40:00 PM,14.804,,,,,,
162,10/30/2025 01:50:00 PM,14.709,,,,,,
163,10/30/2025 02:00:00 PM,14.134,,,,,,
164,10/30/2025 02:10:00 PM,14.038,,,,,,
165,10/30/2025 02:20:00 PM,14.517,,,,,,
166,10/30/2025 02:30:00 PM,14.517,,,,,,
167,10/30/2025 02:40:00 PM,14.900,,,,,,
168,10/30/2025 02:50:00 PM,14.421,,,,,,
169,10/30/2025 03:00:00 PM,14.421,,,,,,
170,10/30/2025 03:10:00 PM,14.325,,,,,,
171,10/30/2025 03:20:00 PM,14.517,,,,,,
172,10/30/2025 03:30:00 PM,14.613,,,,,,
