"Plot Title: 10760710"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760710, SEN S/N: 10760710, LBL: temp)","Coupler Detached (LGR S/N: 10760710)","Coupler Attached (LGR S/N: 10760710)","Host Connected (LGR S/N: 10760710)","Stopped (LGR S/N: 10760710)","End Of File (LGR S/N: 10760710)"
1,10/29/2025 10:19:27 AM,26.000,,,,,
2,10/29/2025 10:19:48 AM,,Logged,,,,
3,10/29/2025 10:29:27 AM,25.319,,,,,
4,10/29/2025 10:39:27 AM,16.332,,,,,
5,10/29/2025 10:49:27 AM,15.664,,,,,
6,10/29/2025 10:59:27 AM,16.141,,,,,
7,10/29/2025 11:09:27 AM,16.332,,,,,
8,10/29/2025 11:19:27 AM,16.618,,,,,
9,10/29/2025 11:29:27 AM,14.804,,,,,
10,10/29/2025 11:39:27 AM,8.282,,,,,
11,10/29/2025 11:49:27 AM,6.471,,,,,
12,10/29/2025 11:59:27 AM,5.037,,,,,
13,10/29/2025 12:09:27 PM,4.934,,,,,
14,10/29/2025 12:19:27 PM,5.860,,,,,
15,10/29/2025 12:29:27 PM,10.553,,,,,
16,10/29/2025 12:39:27 PM,11.916,,,,,
17,10/29/2025 12:49:27 PM,13.269,,,,,
18,10/29/2025 12:59:27 PM,27.567,,,,,
19,10/29/2025 01:09:27 PM,26.488,,,,,
20,10/29/2025 01:19:27 PM,23.388,,,,,
21,10/29/2025 01:29:27 PM,22.142,,,,,
22,10/29/2025 01:39:27 PM,21.664,,,,,
23,10/29/2025 01:49:27 PM,21.569,,,,,
24,10/29/2025 01:59:27 PM,21.664,,,,,
25,10/29/2025 02:09:27 PM,21.664,,,,,
26,10/29/2025 02:19:27 PM,21.664,,,,,
27,10/29/2025 02:29:27 PM,22.046,,,,,
28,10/29/2025 02:39:27 PM,22.429,,,,,
29,10/29/2025 02:49:27 PM,22.812,,,,,
30,10/29/2025 02:59:27 PM,23.100,,,,,
31,10/29/2025 03:09:27 PM,23.388,,,,,
32,10/29/2025 03:19:27 PM,23.581,,,,,
33,10/29/2025 03:29:27 PM,23.677,,,,,
34,10/29/2025 03:39:27 PM,23.581,,,,,
35,10/29/2025 03:49:27 PM,23.004,,,,,
36,10/29/2025 03:59:27 PM,19.853,,,,,
37,10/29/2025 04:09:27 PM,18.236,,,,,
38,10/29/2025 04:19:27 PM,20.901,,,,,
39,10/29/2025 04:29:27 PM,24.351,,,,,
40,10/29/2025 04:39:27 PM,23.677,,,,,
41,10/29/2025 04:49:27 PM,17.570,,,,,
42,10/29/2025 04:59:27 PM,14.804,,,,,
43,10/29/2025 05:09:27 PM,14.134,,,,,
44,10/29/2025 05:19:27 PM,13.942,,,,,
45,10/29/2025 05:29:27 PM,13.942,,,,,
46,10/29/2025 05:39:27 PM,13.846,,,,,
47,10/29/2025 05:49:27 PM,14.038,,,,,
48,10/29/2025 05:59:27 PM,14.038,,,,,
49,10/29/2025 06:09:27 PM,14.325,,,,,
50,10/29/2025 06:19:27 PM,14.325,,,,,
51,10/29/2025 06:29:27 PM,14.421,,,,,
52,10/29/2025 06:39:27 PM,14.613,,,,,
53,10/29/2025 06:49:27 PM,14.517,,,,,
54,10/29/2025 06:59:27 PM,14.613,,,,,
55,10/29/2025 07:09:27 PM,14.804,,,,,
56,10/29/2025 07:19:27 PM,14.517,,,,,
57,10/29/2025 07:29:27 PM,14.613,,,,,
58,10/29/2025 07:39:27 PM,14.613,,,,,
59,10/29/2025 07:49:27 PM,14.613,,,,,
60,10/29/2025 07:59:27 PM,14.517,,,,,
61,10/29/2025 08:09:27 PM,14.421,,,,,
62,10/29/2025 08:19:27 PM,14.230,,,,,
63,10/29/2025 08:29:27 PM,14.325,,,,,
64,10/29/2025 08:39:27 PM,14.230,,,,,
65,10/29/2025 08:49:27 PM,14.325,,,,,
66,10/29/2025 08:59:27 PM,14.134,,,,,
67,10/29/2025 09:09:27 PM,14.325,,,,,
68,10/29/2025 09:19:27 PM,14.134,,,,,
69,10/29/2025 09:29:27 PM,13.076,,,,,
70,10/29/2025 09:39:27 PM,12.497,,,,,
71,10/29/2025 09:49:27 PM,12.207,,,,,
72,10/29/2025 09:59:27 PM,11.528,,,,,
73,10/29/2025 10:09:27 PM,11.334,,,,,
74,10/29/2025 10:19:27 PM,11.041,,,,,
75,10/29/2025 10:29:27 PM,10.651,,,,,
76,10/29/2025 10:39:27 PM,10.455,,,,,
77,10/29/2025 10:49:27 PM,10.259,,,,,
78,10/29/2025 10:59:27 PM,10.161,,,,,
79,10/29/2025 11:09:27 PM,9.965,,,,,
80,10/29/2025 11:19:27 PM,9.965,,,,,
81,10/29/2025 11:29:27 PM,9.965,,,,,
82,10/29/2025 11:39:27 PM,9.965,,,,,
83,10/29/2025 11:49:27 PM,9.965,,,,,
84,10/29/2025 11:59:27 PM,10.063,,,,,
85,10/30/2025 12:09:27 AM,10.357,,,,,
86,10/30/2025 12:19:27 AM,10.455,,,,,
