"Plot Title: 10760811"
"#","Date Time, GMT+01:00","Temp, °C (LGR S/N: 10760811, SEN S/N: 10760811, LBL: Temp °C)","Bad Battery (LGR S/N: 10760811)","Coupler Attached (LGR S/N: 10760811)","Host Connected (LGR S/N: 10760811)","Stopped (LGR S/N: 10760811)","End Of File (LGR S/N: 10760811)"
1,10/29/2025 10:00:00 AM,21.473,,,,,
2,10/29/2025 10:10:00 AM,21.664,,,,,
3,10/29/2025 10:20:00 AM,21.569,,,,,
4,10/29/2025 10:30:00 AM,21.664,,,,,
5,10/29/2025 10:40:00 AM,16.046,,,,,
6,10/29/2025 10:50:00 AM,15.664,,,,,
7,10/29/2025 11:00:00 AM,15.951,,,,,
8,10/29/2025 11:10:00 AM,16.332,,,,,
9,10/29/2025 11:20:00 AM,16.427,,,,,
10,10/29/2025 11:30:00 AM,14.421,,,,,
11,10/29/2025 11:40:00 AM,8.978,,,,,
12,10/29/2025 11:50:00 AM,6.674,,,,,
13,10/29/2025 12:00:00 PM,5.655,,,,,
14,10/29/2025 12:10:00 PM,5.655,,,,,
15,10/29/2025 12:20:00 PM,6.268,,,,,
16,10/29/2025 12:30:00 PM,9.965,,,,,
17,10/29/2025 12:40:00 PM,11.236,,,,,
18,10/29/2025 12:50:00 PM,12.883,,,,,
19,10/29/2025 01:00:00 PM,14.709,,,,,
20,10/29/2025 01:10:00 PM,15.282,,,,,
21,10/29/2025 01:20:00 PM,16.046,,,,,
22,10/29/2025 01:30:00 PM,16.903,,,,,
23,10/29/2025 01:40:00 PM,17.760,,,,,
24,10/29/2025 01:50:00 PM,18.521,,,,,
25,10/29/2025 02:00:00 PM,18.996,,,,,
26,10/29/2025 02:10:00 PM,19.092,,,,,
27,10/29/2025 02:20:00 PM,19.282,,,,,
28,10/29/2025 02:30:00 PM,19.282,,,,,
29,10/29/2025 02:40:00 PM,19.377,,,,,
30,10/29/2025 02:50:00 PM,19.472,,,,,
31,10/29/2025 03:00:00 PM,19.567,,,,,
32,10/29/2025 03:10:00 PM,19.567,,,,,
33,10/29/2025 03:20:00 PM,19.662,,,,,
34,10/29/2025 03:30:00 PM,19.662,,,,,
35,10/29/2025 03:40:00 PM,19.567,,,,,
36,10/29/2025 03:50:00 PM,18.806,,,,,
37,10/29/2025 04:00:00 PM,18.140,,,,,
38,10/29/2025 04:10:00 PM,19.092,,,,,
39,10/29/2025 04:20:00 PM,18.331,,,,,
40,10/29/2025 04:30:00 PM,17.570,,,,,
41,10/29/2025 04:40:00 PM,17.379,,,,,
42,10/29/2025 04:50:00 PM,17.094,,,,,
43,10/29/2025 05:00:00 PM,16.618,,,,,
44,10/29/2025 05:10:00 PM,16.427,,,,,
45,10/29/2025 05:20:00 PM,15.091,,,,,
46,10/29/2025 05:30:00 PM,15.378,,,,,
47,10/29/2025 05:40:00 PM,16.046,,,,,
48,10/29/2025 05:50:00 PM,16.713,,,,,
49,10/29/2025 06:00:00 PM,16.903,,,,,
50,10/29/2025 06:10:00 PM,16.903,,,,,
51,10/29/2025 06:20:00 PM,16.999,,,,,
52,10/29/2025 06:30:00 PM,17.284,,,,,
53,10/29/2025 06:40:00 PM,17.665,,,,,
54,10/29/2025 06:50:00 PM,17.475,,,,,
55,10/29/2025 07:00:00 PM,17.284,,,,,
56,10/29/2025 07:10:00 PM,17.570,,,,,
57,10/29/2025 07:20:00 PM,17.760,,,,,
58,10/29/2025 07:30:00 PM,17.475,,,,,
59,10/29/2025 07:40:00 PM,17.665,,,,,
60,10/29/2025 07:50:00 PM,17.950,,,,,
61,10/29/2025 08:00:00 PM,17.950,,,,,
62,10/29/2025 08:10:00 PM,17.855,,,,,
63,10/29/2025 08:20:00 PM,17.475,,,,,
64,10/29/2025 08:30:00 PM,16.903,,,,,
65,10/29/2025 08:40:00 PM,16.618,,,,,
66,10/29/2025 08:50:00 PM,16.903,,,,,
67,10/29/2025 09:00:00 PM,16.332,,,,,
68,10/29/2025 09:10:00 PM,16.141,,,,,
69,10/29/2025 09:20:00 PM,15.664,,,,,
70,10/29/2025 09:30:00 PM,15.378,,,,,
71,10/29/2025 09:40:00 PM,14.996,,,,,
72,10/29/2025 09:50:00 PM,14.134,,,,,
73,10/29/2025 10:00:00 PM,13.654,,,,,
74,10/29/2025 10:10:00 PM,13.654,,,,,
75,10/29/2025 10:20:00 PM,13.365,,,,,
76,10/29/2025 10:30:00 PM,12.883,,,,,
77,10/29/2025 10:40:00 PM,12.594,,,,,
78,10/29/2025 10:50:00 PM,12.401,,,,,
79,10/29/2025 11:00:00 PM,12.110,,,,,
80,10/29/2025 11:10:00 PM,11.722,,,,,
81,10/29/2025 11:20:00 PM,11.528,,,,,
82,10/29/2025 11:30:00 PM,11.528,,,,,
83,10/29/2025 11:40:00 PM,11.528,,,,,
84,10/29/2025 11:50:00 PM,11.625,,,,,
85,10/30/2025 12:00:00 AM,11.625,,,,,
86,10/30/2025 12:10:00 AM,11.722,,,,,
87,10/30/2025 12:20:00 AM,12.304,,,,,
88,10/30/2025 12:30:00 AM,12.497,,,,,
89,10/30/2025 12:40:00 AM,12.110,,,,,
