Logger_id,Location_id,time,PM10,PM25
5001-C1A5,0,2019-01-18 10:56:15+00,9.2,7.1
5001-C1A5,0,2019-01-18 10:56:19+00,9.6,7.4
5001-C1A5,0,2019-01-18 10:56:21+00,9.5,7.5
5001-C1A5,0,2019-01-18 10:56:23+00,9.5,7.6
5001-C1A5,0,2019-01-18 10:56:25+00,10.5,7.8
5001-C1A5,0,2019-01-18 10:56:29+00,10.3,7.9
5001-C1A5,0,2019-01-18 10:56:31+00,10,7.9
5001-C1A5,0,2019-01-18 10:56:33+00,9.7,7.9
5001-C1A5,0,2019-01-18 10:56:35+00,9.8,8
5001-C1A5,0,2019-01-18 10:56:39+00,10.4,8
5001-C1A5,0,2019-01-18 10:56:41+00,11.3,8
5001-C1A5,0,2019-01-18 10:56:43+00,11.3,7.9
5001-C1A5,0,2019-01-18 10:56:45+00,11.4,7.8
5001-C1A5,0,2019-01-18 10:56:49+00,10.9,7.7
5001-C1A5,0,2019-01-18 10:56:51+00,11,7.7
5001-C1A5,0,2019-01-18 10:56:53+00,11,7.4
5001-C1A5,0,2019-01-18 10:56:55+00,11,7.3
5001-C1A5,0,2019-01-18 10:56:59+00,11.1,7.1
5001-C1A5,0,2019-01-18 10:57:01+00,11.2,7.1
5001-C1A5,0,2019-01-18 10:57:03+00,11.1,7
5001-C1A5,0,2019-01-18 10:57:05+00,11.6,7
5001-C1A5,0,2019-01-18 10:57:09+00,12.7,7.2
5001-C1A5,0,2019-01-18 10:57:11+00,11.3,7.2
5001-C1A5,0,2019-01-18 10:57:13+00,12.1,7.4
5001-C1A5,0,2019-01-18 10:57:15+00,12.4,7.6
5001-C1A5,0,2019-01-18 10:57:19+00,13.3,7.6
5001-C1A5,0,2019-01-18 10:57:21+00,13.8,7.7
5001-C1A5,0,2019-01-18 10:57:24+00,13.1,8
5001-C1A5,0,2019-01-18 10:57:26+00,13.1,8
5001-C1A5,0,2019-01-18 10:57:30+00,14.3,8.1
5001-C1A5,0,2019-01-18 10:57:32+00,15.1,8.2
5001-C1A5,0,2019-01-18 10:57:34+00,15,8.2
5001-C1A5,0,2019-01-18 10:57:36+00,15.1,8.2
5001-C1A5,0,2019-01-18 10:57:40+00,14.7,8.1
5001-C1A5,0,2019-01-18 10:57:42+00,14,7.8
5001-C1A5,0,2019-01-18 10:57:44+00,13.9,7.6
5001-C1A5,0,2019-01-18 10:57:46+00,12.5,7.4
5001-C1A5,0,2019-01-18 10:57:50+00,15.4,7.7
5001-C1A5,0,2019-01-18 10:57:52+00,15.2,7.5
5001-C1A5,0,2019-01-18 10:57:54+00,15.4,7.6
5001-C1A5,0,2019-01-18 10:57:56+00,16.2,8
5001-C1A5,0,2019-01-18 10:58:00+00,16.5,8.7
5001-C1A5,0,2019-01-18 10:58:02+00,15.9,9
5001-C1A5,0,2019-01-18 10:58:04+00,15.9,9.1
5001-C1A5,0,2019-01-18 10:58:08+00,15.3,9.1
5001-C1A5,0,2019-01-18 10:58:10+00,15.8,9.2
5001-C1A5,0,2019-01-18 10:58:12+00,15.5,9.2
5001-C1A5,0,2019-01-18 10:58:14+00,16.2,9.5
5001-C1A5,0,2019-01-18 10:58:16+00,16.8,9.5
5001-C1A5,0,2019-01-18 10:58:20+00,13.6,9.2
5001-C1A5,0,2019-01-18 10:58:22+00,13.3,9.4
5001-C1A5,0,2019-01-18 10:58:24+00,13.6,9.6
5001-C1A5,0,2019-01-18 10:58:26+00,13.7,9.9
5001-C1A5,0,2019-01-18 10:58:30+00,14.3,10.4
5001-C1A5,0,2019-01-18 10:58:32+00,14.3,10.2
5001-C1A5,0,2019-01-18 10:58:34+00,15.1,10.3
5001-C1A5,0,2019-01-18 10:58:36+00,15.1,10.4
5001-C1A5,0,2019-01-18 10:58:40+00,13.8,10.3
5001-C1A5,0,2019-01-18 10:58:42+00,14,10.3
5001-C1A5,0,2019-01-18 10:58:44+00,13.3,10
5001-C1A5,0,2019-01-18 10:58:47+00,13,10
5001-C1A5,0,2019-01-18 10:58:51+00,13.1,10.2
5001-C1A5,0,2019-01-18 10:58:53+00,12.7,9.8
5001-C1A5,0,2019-01-18 10:58:55+00,11.8,9.2
5001-C1A5,0,2019-01-18 10:58:57+00,10.3,8.4
5001-C1A5,0,2019-01-18 10:59:01+00,9.6,7.9
5001-C1A5,0,2019-01-18 10:59:03+00,9.1,8
5001-C1A5,0,2019-01-18 10:59:05+00,9.6,8
5001-C1A5,0,2019-01-18 10:59:07+00,10,8.1
5001-C1A5,0,2019-01-18 10:59:11+00,10.1,8.2
