# AirTemp.+2m@Ecosense_MainTower.20251029.csv generated at 2025-12-21 01:48:39 (UTC-08:00) by AQUARIUS Time-Series 25.1.69.0
# 
# Time-series identifier: AirTemp.+2m@Ecosense_MainTower
# Location: Ecosense_MainTower
# UTC offset: (UTC+00:00)
# Value units: degC
# Value parameter: AirTemp
# Interpolation type: Instantaneous Values
# Time-series type: Basic
# 
# Export options: Raw signal from 2025-10-29T00:00:00Z to 2025-11-06T00:00:00Z
# 
# CSV data starts at line 15.
# 
ISO 8601 UTC,Timestamp (UTC+00:00),Value,Approval Level,Grade,Qualifiers
2025-10-29T00:00:00Z,2025-10-29 00:00:00,9.943,Working,-1,
2025-10-29T00:01:00Z,2025-10-29 00:01:00,9.950666,Working,-1,
2025-10-29T00:02:00Z,2025-10-29 00:02:00,9.947999,Working,-1,
2025-10-29T00:03:00Z,2025-10-29 00:03:00,9.966666,Working,-1,
2025-10-29T00:04:00Z,2025-10-29 00:04:00,9.971999,Working,-1,
2025-10-29T00:05:00Z,2025-10-29 00:05:00,9.969333,Working,-1,
2025-10-29T00:06:00Z,2025-10-29 00:06:00,9.970333,Working,-1,
2025-10-29T00:07:00Z,2025-10-29 00:07:00,9.978999,Working,-1,
2025-10-29T00:08:00Z,2025-10-29 00:08:00,9.974666,Working,-1,
2025-10-29T00:09:00Z,2025-10-29 00:09:00,9.964999,Working,-1,
2025-10-29T00:10:00Z,2025-10-29 00:10:00,9.962833,Working,-1,
2025-10-29T00:11:00Z,2025-10-29 00:11:00,9.960166,Working,-1,
2025-10-29T00:12:00Z,2025-10-29 00:12:00,9.96,Working,-1,
2025-10-29T00:13:00Z,2025-10-29 00:13:00,9.945666,Working,-1,
2025-10-29T00:14:00Z,2025-10-29 00:14:00,9.945333,Working,-1,
2025-10-29T00:15:00Z,2025-10-29 00:15:00,9.936666,Working,-1,
2025-10-29T00:16:00Z,2025-10-29 00:16:00,9.9225,Working,-1,
2025-10-29T00:17:00Z,2025-10-29 00:17:00,9.919,Working,-1,
