UTC,Locale Time, Air Temperature (°C)
2020-11-30 00:00:00,2020-11-30 01:00:00,-1.116397
2020-11-30 01:00:00,2020-11-30 02:00:00,-1.169864
2020-11-30 02:00:00,2020-11-30 03:00:00,-1.711983
2020-11-30 03:00:00,2020-11-30 04:00:00,-2.131967
2020-11-30 04:00:00,2020-11-30 05:00:00,-2.240185
2020-11-30 05:00:00,2020-11-30 06:00:00,-2.186079
2020-11-30 06:00:00,2020-11-30 07:00:00,-2.324236
2020-11-30 07:00:00,2020-11-30 08:00:00,-2.458555
2020-11-30 08:00:00,2020-11-30 09:00:00,-2.345105
2020-11-30 09:00:00,2020-11-30 10:00:00,-1.770904
2020-11-30 10:00:00,2020-11-30 11:00:00,-0.6514486
2020-11-30 11:00:00,2020-11-30 12:00:00,1.716789
2020-11-30 12:00:00,2020-11-30 13:00:00,3.584268
2020-11-30 13:00:00,2020-11-30 14:00:00,4.12308
2020-11-30 14:00:00,2020-11-30 15:00:00,3.979415
2020-11-30 15:00:00,2020-11-30 16:00:00,2.885691
2020-11-30 16:00:00,2020-11-30 17:00:00,1.835096
2020-11-30 17:00:00,2020-11-30 18:00:00,0.5484848
2020-11-30 18:00:00,2020-11-30 19:00:00,-0.02985139
2020-11-30 19:00:00,2020-11-30 20:00:00,-0.4806388
2020-11-30 20:00:00,2020-11-30 21:00:00,-0.8082388
2020-11-30 21:00:00,2020-11-30 22:00:00,-0.8906083
2020-11-30 22:00:00,2020-11-30 23:00:00,-1.075687
2020-11-30 23:00:00,2020-12-01 00:00:00,-0.779111
2020-12-01 00:00:00,2020-12-01 01:00:00,-0.3241069
2020-12-01 01:00:00,2020-12-01 02:00:00,-0.1258708
2020-12-01 02:00:00,2020-12-01 03:00:00,0.6145805
2020-12-01 03:00:00,2020-12-01 04:00:00,1.449679
2020-12-01 04:00:00,2020-12-01 05:00:00,2.223212
2020-12-01 05:00:00,2020-12-01 06:00:00,3.358578
2020-12-01 06:00:00,2020-12-01 07:00:00,2.700733
2020-12-01 07:00:00,2020-12-01 08:00:00,1.16211
2020-12-01 08:00:00,2020-12-01 09:00:00,1.168464
2020-12-01 09:00:00,2020-12-01 10:00:00,1.519376
2020-12-01 10:00:00,2020-12-01 11:00:00,1.822944
2020-12-01 11:00:00,2020-12-01 12:00:00,2.002058
2020-12-01 12:00:00,2020-12-01 13:00:00,2.407594
2020-12-01 13:00:00,2020-12-01 14:00:00,2.787583
2020-12-01 14:00:00,2020-12-01 15:00:00,3.230014
2020-12-01 15:00:00,2020-12-01 16:00:00,3.3201
2020-12-01 16:00:00,2020-12-01 17:00:00,3.260975
