UTC,Locale Time, Air Temperature (°C), Precipitation (mm)
2020-11-30 00:00:00,2020-11-30 01:00:00,-0.02016659,0
2020-11-30 01:00:00,2020-11-30 02:00:00,-0.1188845,0
2020-11-30 02:00:00,2020-11-30 03:00:00,-0.6387243,0
2020-11-30 03:00:00,2020-11-30 04:00:00,-0.7213045,0
2020-11-30 04:00:00,2020-11-30 05:00:00,-0.0262423,0
2020-11-30 05:00:00,2020-11-30 06:00:00,-0.7380796,0
2020-11-30 06:00:00,2020-11-30 07:00:00,-0.7062163,0
2020-11-30 07:00:00,2020-11-30 08:00:00,2.132812,0
2020-11-30 08:00:00,2020-11-30 09:00:00,-0.8148101,0
2020-11-30 09:00:00,2020-11-30 10:00:00,-0.922981,0
2020-11-30 10:00:00,2020-11-30 11:00:00,0.2687316,0
2020-11-30 11:00:00,2020-11-30 12:00:00,0.6963602,0
2020-11-30 12:00:00,2020-11-30 13:00:00,1.404352,0
2020-11-30 13:00:00,2020-11-30 14:00:00,1.898878,0
2020-11-30 14:00:00,2020-11-30 15:00:00,2.296541,0
2020-11-30 15:00:00,2020-11-30 16:00:00,2.195936,0
2020-11-30 16:00:00,2020-11-30 17:00:00,2.144185,0
2020-11-30 17:00:00,2020-11-30 18:00:00,1.570017,0
2020-11-30 18:00:00,2020-11-30 19:00:00,1.490498,0
2020-11-30 19:00:00,2020-11-30 20:00:00,1.304496,0
2020-11-30 20:00:00,2020-11-30 21:00:00,1.085406,0
2020-11-30 21:00:00,2020-11-30 22:00:00,0.8385686,0
2020-11-30 22:00:00,2020-11-30 23:00:00,0.5001665,0
2020-11-30 23:00:00,2020-12-01 00:00:00,0.2017152,0
2020-12-01 00:00:00,2020-12-01 01:00:00,0.8516209,0.0705
2020-12-01 01:00:00,2020-12-01 02:00:00,0.8982677,2.629
2020-12-01 02:00:00,2020-12-01 03:00:00,1.145784,0.7051667
2020-12-01 03:00:00,2020-12-01 04:00:00,2.330073,1.759667
2020-12-01 04:00:00,2020-12-01 05:00:00,2.991039,0.1571667
2020-12-01 05:00:00,2020-12-01 06:00:00,3.756941,0.8001666
2020-12-01 06:00:00,2020-12-01 07:00:00,2.257571,4.011667
2020-12-01 07:00:00,2020-12-01 08:00:00,0.6994186,7.193
2020-12-01 08:00:00,2020-12-01 09:00:00,0.7594456,1.6325
2020-12-01 09:00:00,2020-12-01 10:00:00,1.300908,1.297333
2020-12-01 10:00:00,2020-12-01 11:00:00,1.633159,0.3848333
2020-12-01 11:00:00,2020-12-01 12:00:00,2.016196,0.1813333
2020-12-01 12:00:00,2020-12-01 13:00:00,2.495595,0.0045
2020-12-01 13:00:00,2020-12-01 14:00:00,2.413882,0.052
2020-12-01 14:00:00,2020-12-01 15:00:00,2.584867,0.0095
2020-12-01 15:00:00,2020-12-01 16:00:00,2.860323,0.0045
2020-12-01 16:00:00,2020-12-01 17:00:00,2.735382,0
2020-12-01 17:00:00,2020-12-01 18:00:00,2.532933,0.0005
2020-12-01 18:00:00,2020-12-01 19:00:00,2.475801,0
2020-12-01 19:00:00,2020-12-01 20:00:00,2.522815,0
2020-12-01 20:00:00,2020-12-01 21:00:00,2.412987,0
2020-12-01 21:00:00,2020-12-01 22:00:00,2.408085,0
2020-12-01 22:00:00,2020-12-01 23:00:00,2.46965,0
2020-12-01 23:00:00,2020-12-02 00:00:00,2.378027,0
2020-12-02 00:00:00,2020-12-02 01:00:00,2.449491,0
2020-12-02 01:00:00,2020-12-02 02:00:00,1.566845,0
2020-12-02 02:00:00,2020-12-02 03:00:00,1.618319,0
2020-12-02 03:00:00,2020-12-02 04:00:00,1.360418,0
2020-12-02 04:00:00,2020-12-02 05:00:00,1.334101,0
2020-12-02 05:00:00,2020-12-02 06:00:00,1.303075,0.0003333333
2020-12-02 06:00:00,2020-12-02 07:00:00,1.511452,0.005
2020-12-02 07:00:00,2020-12-02 08:00:00,1.612211,0.0003333333
2020-12-02 08:00:00,2020-12-02 09:00:00,1.712011,0
2020-12-02 09:00:00,2020-12-02 10:00:00,1.821042,0.0003333333
2020-12-02 10:00:00,2020-12-02 11:00:00,1.723219,0.005166666
2020-12-02 11:00:00,2020-12-02 12:00:00,2.134231,0
2020-12-02 12:00:00,2020-12-02 13:00:00,2.534901,0
2020-12-02 13:00:00,2020-12-02 14:00:00,3.126662,0
2020-12-02 14:00:00,2020-12-02 15:00:00,3.396285,0
2020-12-02 15:00:00,2020-12-02 16:00:00,3.287457,0
2020-12-02 16:00:00,2020-12-02 17:00:00,2.77098,0
2020-12-02 17:00:00,2020-12-02 18:00:00,1.91384,0
2020-12-02 18:00:00,2020-12-02 19:00:00,1.52702,0
2020-12-02 19:00:00,2020-12-02 20:00:00,1.292238,0
2020-12-02 20:00:00,2020-12-02 21:00:00,1.296319,0
2020-12-02 21:00:00,2020-12-02 22:00:00,1.275689,0
2020-12-02 22:00:00,2020-12-02 23:00:00,1.193564,0
2020-12-02 23:00:00,2020-12-03 00:00:00,1.49698,0
2020-12-03 00:00:00,2020-12-03 01:00:00,1.49393,0
2020-12-03 01:00:00,2020-12-03 02:00:00,0.9888186,0
2020-12-03 02:00:00,2020-12-03 03:00:00,0.9060914,0.0008333333
2020-12-03 03:00:00,2020-12-03 04:00:00,1.368329,0
2020-12-03 04:00:00,2020-12-03 05:00:00,1.719693,0
2020-12-03 05:00:00,2020-12-03 06:00:00,1.798902,0
2020-12-03 06:00:00,2020-12-03 07:00:00,2.00611,0
2020-12-03 07:00:00,2020-12-03 08:00:00,2.596957,0
2020-12-03 08:00:00,2020-12-03 09:00:00,2.549119,0
2020-12-03 09:00:00,2020-12-03 10:00:00,2.85112,0
2020-12-03 10:00:00,2020-12-03 11:00:00,3.078895,0
2020-12-03 11:00:00,2020-12-03 12:00:00,3.43034,0
2020-12-03 12:00:00,2020-12-03 13:00:00,3.911571,0
2020-12-03 13:00:00,2020-12-03 14:00:00,4.802788,0
2020-12-03 14:00:00,2020-12-03 15:00:00,5.916254,0
2020-12-03 15:00:00,2020-12-03 16:00:00,6.084289,0
2020-12-03 16:00:00,2020-12-03 17:00:00,5.29958,0
2020-12-03 17:00:00,2020-12-03 18:00:00,4.237816,0
2020-12-03 18:00:00,2020-12-03 19:00:00,3.912442,0
2020-12-03 19:00:00,2020-12-03 20:00:00,4.365431,0
2020-12-03 20:00:00,2020-12-03 21:00:00,4.779927,0
2020-12-03 21:00:00,2020-12-03 22:00:00,5.237239,0
2020-12-03 22:00:00,2020-12-03 23:00:00,6.190034,0
2020-12-03 23:00:00,2020-12-04 00:00:00,6.664184,0.007
2020-12-04 00:00:00,2020-12-04 01:00:00,8.511973,0.005666667
2020-12-04 01:00:00,2020-12-04 02:00:00,8.948934,0
2020-12-04 02:00:00,2020-12-04 03:00:00,8.636361,0
2020-12-04 03:00:00,2020-12-04 04:00:00,8.51675,0
2020-12-04 04:00:00,2020-12-04 05:00:00,8.465911,0.06466667
2020-12-04 05:00:00,2020-12-04 06:00:00,8.600577,0.139
2020-12-04 06:00:00,2020-12-04 07:00:00,8.021574,0.1916667
2020-12-04 07:00:00,2020-12-04 08:00:00,7.733643,0.4286666
2020-12-04 08:00:00,2020-12-04 09:00:00,6.348761,0.4103333
2020-12-04 09:00:00,2020-12-04 10:00:00,6.286457,0
2020-12-04 10:00:00,2020-12-04 11:00:00,5.48825,0
2020-12-04 11:00:00,2020-12-04 12:00:00,4.846991,0
2020-12-04 12:00:00,2020-12-04 13:00:00,4.995512,0.0335
2020-12-04 13:00:00,2020-12-04 14:00:00,5.328548,0.01133333
2020-12-04 14:00:00,2020-12-04 15:00:00,4.347022,0.4198333
2020-12-04 15:00:00,2020-12-04 16:00:00,4.521308,0.01366667
2020-12-04 16:00:00,2020-12-04 17:00:00,4.735311,0.01083333
2020-12-04 17:00:00,2020-12-04 18:00:00,4.53993,0.03433333
2020-12-04 18:00:00,2020-12-04 19:00:00,4.393618,0.013
2020-12-04 19:00:00,2020-12-04 20:00:00,3.540034,0
2020-12-04 20:00:00,2020-12-04 21:00:00,3.319651,0.003833334
2020-12-04 21:00:00,2020-12-04 22:00:00,3.612738,0.1873333
