temp,dttm
4.34,2021-12-13T00:00:00Z
4.36,2021-12-13T01:00:00Z
4.14,2021-12-13T02:00:00Z
3.6,2021-12-13T03:00:00Z
3.01,2021-12-13T04:00:00Z
2.46,2021-12-13T05:00:00Z
2.16,2021-12-13T06:00:00Z
2.08,2021-12-13T07:00:00Z
1.82,2021-12-13T08:00:00Z
2,2021-12-13T09:00:00Z
4.07,2021-12-13T10:00:00Z
5.25,2021-12-13T11:00:00Z
6.54,2021-12-13T12:00:00Z
7.8,2021-12-13T13:00:00Z
8.36,2021-12-13T14:00:00Z
8.23,2021-12-13T15:00:00Z
6.77,2021-12-13T16:00:00Z
5.14,2021-12-13T17:00:00Z
3.72,2021-12-13T18:00:00Z
3.12,2021-12-13T19:00:00Z
2.73,2021-12-13T20:00:00Z
1.98,2021-12-13T21:00:00Z
2.11,2021-12-13T22:00:00Z
1.65,2021-12-13T23:00:00Z
1.16,2021-12-14T00:00:00Z
0.89,2021-12-14T01:00:00Z
0.66,2021-12-14T02:00:00Z
0.49,2021-12-14T03:00:00Z
-0.14,2021-12-14T04:00:00Z
0.25,2021-12-14T05:00:00Z
1.01,2021-12-14T06:00:00Z
1.47,2021-12-14T07:00:00Z
1.58,2021-12-14T08:00:00Z
1.89,2021-12-14T09:00:00Z
2.51,2021-12-14T10:00:00Z
3.14,2021-12-14T11:00:00Z
2.28,2021-12-14T12:00:00Z
3,2021-12-14T13:00:00Z
3.4,2021-12-14T14:00:00Z
3.94,2021-12-14T15:00:00Z
3.54,2021-12-14T16:00:00Z
3.35,2021-12-14T17:00:00Z
3.34,2021-12-14T18:00:00Z
2.88,2021-12-14T19:00:00Z
2.62,2021-12-14T20:00:00Z
2.22,2021-12-14T21:00:00Z
2.35,2021-12-14T22:00:00Z
2.4,2021-12-14T23:00:00Z
2.6,2021-12-15T00:00:00Z
2.7,2021-12-15T01:00:00Z
2.64,2021-12-15T02:00:00Z
2.5,2021-12-15T03:00:00Z
2.58,2021-12-15T04:00:00Z
2.64,2021-12-15T05:00:00Z
2.69,2021-12-15T06:00:00Z
2.63,2021-12-15T07:00:00Z
2.27,2021-12-15T08:00:00Z
2.14,2021-12-15T09:00:00Z
2.78,2021-12-15T10:00:00Z
3.12,2021-12-15T11:00:00Z
3.64,2021-12-15T12:00:00Z
3.97,2021-12-15T13:00:00Z
3.87,2021-12-15T14:00:00Z
3.73,2021-12-15T15:00:00Z
3.89,2021-12-15T16:00:00Z
3.91,2021-12-15T17:00:00Z
3.86,2021-12-15T18:00:00Z
3.91,2021-12-15T19:00:00Z
3.78,2021-12-15T20:00:00Z
3.61,2021-12-15T21:00:00Z
3.55,2021-12-15T22:00:00Z
3.6,2021-12-15T23:00:00Z
3.49,2021-12-16T00:00:00Z
3.42,2021-12-16T01:00:00Z
3.37,2021-12-16T02:00:00Z
3.19,2021-12-16T03:00:00Z
2.85,2021-12-16T04:00:00Z
2.68,2021-12-16T05:00:00Z
2.59,2021-12-16T06:00:00Z
2.19,2021-12-16T07:00:00Z
2.16,2021-12-16T08:00:00Z
3.04,2021-12-16T09:00:00Z
3.71,2021-12-16T10:00:00Z
4.25,2021-12-16T11:00:00Z
4.46,2021-12-16T12:00:00Z
4.79,2021-12-16T13:00:00Z
5,2021-12-16T14:00:00Z
5.04,2021-12-16T15:00:00Z
4.96,2021-12-16T16:00:00Z
4.7,2021-12-16T17:00:00Z
4.39,2021-12-16T18:00:00Z
3.34,2021-12-16T19:00:00Z
2.63,2021-12-16T20:00:00Z
1.96,2021-12-16T21:00:00Z
1.53,2021-12-16T22:00:00Z
1.09,2021-12-16T23:00:00Z
0.97,2021-12-17T00:00:00Z
0.73,2021-12-17T01:00:00Z
1.53,2021-12-17T02:00:00Z
0.7,2021-12-17T03:00:00Z
0.85,2021-12-17T04:00:00Z
0.49,2021-12-17T05:00:00Z
-0.41,2021-12-17T06:00:00Z
-1.49,2021-12-17T07:00:00Z
-0.54,2021-12-17T08:00:00Z
-0.39,2021-12-17T09:00:00Z
0.44,2021-12-17T10:00:00Z
2.18,2021-12-17T11:00:00Z
3.56,2021-12-17T12:00:00Z
3.66,2021-12-17T13:00:00Z
4.46,2021-12-17T14:00:00Z
4.68,2021-12-17T15:00:00Z
2.85,2021-12-17T16:00:00Z
1.02,2021-12-17T17:00:00Z
0.35,2021-12-17T18:00:00Z
-0.37,2021-12-17T19:00:00Z
-0.94,2021-12-17T20:00:00Z
-0.79,2021-12-17T21:00:00Z
-0.38,2021-12-17T22:00:00Z
-1.01,2021-12-17T23:00:00Z
-1.83,2021-12-18T00:00:00Z
-1.86,2021-12-18T01:00:00Z
-1.34,2021-12-18T02:00:00Z
-1.29,2021-12-18T03:00:00Z
-0.93,2021-12-18T04:00:00Z
-0.95,2021-12-18T05:00:00Z
-0.83,2021-12-18T06:00:00Z
-0.67,2021-12-18T07:00:00Z
-0.79,2021-12-18T08:00:00Z
-0.85,2021-12-18T09:00:00Z
-0.66,2021-12-18T10:00:00Z
-0.68,2021-12-18T11:00:00Z
-0.4,2021-12-18T12:00:00Z
0.09,2021-12-18T13:00:00Z
0.64,2021-12-18T14:00:00Z
1.03,2021-12-18T15:00:00Z
0.81,2021-12-18T16:00:00Z
0.39,2021-12-18T17:00:00Z
1.1,2021-12-18T18:00:00Z
1.7,2021-12-18T19:00:00Z
1.51,2021-12-18T20:00:00Z
1.33,2021-12-18T21:00:00Z
0.69,2021-12-18T22:00:00Z
0.72,2021-12-18T23:00:00Z
0.86,2021-12-19T00:00:00Z
0.96,2021-12-19T01:00:00Z
0.94,2021-12-19T02:00:00Z
0.82,2021-12-19T03:00:00Z
0.56,2021-12-19T04:00:00Z
0.38,2021-12-19T05:00:00Z
0.29,2021-12-19T06:00:00Z
-0.08,2021-12-19T07:00:00Z
-0.18,2021-12-19T08:00:00Z
-0.2,2021-12-19T09:00:00Z
-0.17,2021-12-19T10:00:00Z
0.16,2021-12-19T11:00:00Z
0.33,2021-12-19T12:00:00Z
0.68,2021-12-19T13:00:00Z
0.69,2021-12-19T14:00:00Z
0.55,2021-12-19T15:00:00Z
0.37,2021-12-19T16:00:00Z
0.08,2021-12-19T17:00:00Z
-0.22,2021-12-19T18:00:00Z
-0.4,2021-12-19T19:00:00Z
-0.51,2021-12-19T20:00:00Z
-0.49,2021-12-19T21:00:00Z
-0.6,2021-12-19T22:00:00Z
-0.65,2021-12-19T23:00:00Z
-0.65,2021-12-20T00:00:00Z
-0.76,2021-12-20T01:00:00Z
-1.06,2021-12-20T02:00:00Z
-0.98,2021-12-20T03:00:00Z
-1.14,2021-12-20T04:00:00Z
-1.08,2021-12-20T05:00:00Z
-1.91,2021-12-20T06:00:00Z
-2.37,2021-12-20T07:00:00Z
-2.22,2021-12-20T08:00:00Z
