Tag;Stunde;AVG_TA200
13.12.2021;00:00;4,34
13.12.2021;01:00;4,36
13.12.2021;02:00;4,14
13.12.2021;03:00;3,6
13.12.2021;04:00;3,01
13.12.2021;05:00;2,46
13.12.2021;06:00;2,16
13.12.2021;07:00;2,08
13.12.2021;08:00;1,82
13.12.2021;09:00;2
13.12.2021;10:00;4,07
13.12.2021;11:00;5,25
13.12.2021;12:00;6,54
13.12.2021;13:00;7,8
13.12.2021;14:00;8,36
13.12.2021;15:00;8,23
13.12.2021;16:00;6,77
13.12.2021;17:00;5,14
13.12.2021;18:00;3,72
13.12.2021;19:00;3,12
13.12.2021;20:00;2,73
13.12.2021;21:00;1,98
13.12.2021;22:00;2,11
13.12.2021;23:00;1,65
14.12.2021;00:00;1,16
14.12.2021;01:00;0,89
14.12.2021;02:00;0,66
14.12.2021;03:00;0,49
14.12.2021;04:00;-0,14
14.12.2021;05:00;0,25
14.12.2021;06:00;1,01
14.12.2021;07:00;1,47
14.12.2021;08:00;1,58
14.12.2021;09:00;1,89
14.12.2021;10:00;2,51
14.12.2021;11:00;3,14
14.12.2021;12:00;2,28
14.12.2021;13:00;3
14.12.2021;14:00;3,4
14.12.2021;15:00;3,94
14.12.2021;16:00;3,54
14.12.2021;17:00;3,35
14.12.2021;18:00;3,34
14.12.2021;19:00;2,88
14.12.2021;20:00;2,62
14.12.2021;21:00;2,22
14.12.2021;22:00;2,35
14.12.2021;23:00;2,4
15.12.2021;00:00;2,6
15.12.2021;01:00;2,7
15.12.2021;02:00;2,64
15.12.2021;03:00;2,5
15.12.2021;04:00;2,58
15.12.2021;05:00;2,64
15.12.2021;06:00;2,69
15.12.2021;07:00;2,63
15.12.2021;08:00;2,27
15.12.2021;09:00;2,14
15.12.2021;10:00;2,78
15.12.2021;11:00;3,12
15.12.2021;12:00;3,64
15.12.2021;13:00;3,97
15.12.2021;14:00;3,87
15.12.2021;15:00;3,73
15.12.2021;16:00;3,89
15.12.2021;17:00;3,91
15.12.2021;18:00;3,86
15.12.2021;19:00;3,91
15.12.2021;20:00;3,78
15.12.2021;21:00;3,61
15.12.2021;22:00;3,55
15.12.2021;23:00;3,6
16.12.2021;00:00;3,49
16.12.2021;01:00;3,42
16.12.2021;02:00;3,37
16.12.2021;03:00;3,19
16.12.2021;04:00;2,85
16.12.2021;05:00;2,68
16.12.2021;06:00;2,59
16.12.2021;07:00;2,19
16.12.2021;08:00;2,16
16.12.2021;09:00;3,04
16.12.2021;10:00;3,71
16.12.2021;11:00;4,25
16.12.2021;12:00;4,46
16.12.2021;13:00;4,79
16.12.2021;14:00;5
16.12.2021;15:00;5,04
16.12.2021;16:00;4,96
16.12.2021;17:00;4,7
16.12.2021;18:00;4,39
16.12.2021;19:00;3,34
16.12.2021;20:00;2,63
16.12.2021;21:00;1,96
16.12.2021;22:00;1,53
16.12.2021;23:00;1,09
17.12.2021;00:00;0,97
17.12.2021;01:00;0,73
17.12.2021;02:00;1,53
17.12.2021;03:00;0,7
17.12.2021;04:00;0,85
17.12.2021;05:00;0,49
17.12.2021;06:00;-0,41
17.12.2021;07:00;-1,49
17.12.2021;08:00;-0,54
17.12.2021;09:00;-0,39
17.12.2021;10:00;0,44
17.12.2021;11:00;2,18
17.12.2021;12:00;3,56
17.12.2021;13:00;3,66
17.12.2021;14:00;4,46
17.12.2021;15:00;4,68
17.12.2021;16:00;2,85
17.12.2021;17:00;1,02
17.12.2021;18:00;0,35
17.12.2021;19:00;-0,37
17.12.2021;20:00;-0,94
